extraction_date,is_start_date_verified,is_end_date_verified,is_start_position_verified,is_end_position_verified,types_of_incident,start_date,end_date,location_method,vehicle_impact,beginning_accuracy,ending_accuracy,start_date_accuracy,end_date_accuracy,Id,_id,core_details.name,core_details.data_source_id,core_details.event_type,core_details.road_names,core_details.direction,core_details.description,types_of_work,data_source_id,organization_name,update_date,contact_name,contact_email,update_frequency
2026-04-08,False,False,False,False,"[{'incident_category': 'winter', 'incident_type': 'ice', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}, {'incident_category': 'winter', 'incident_type': 'snowfall', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}]",2025-10-10T07:00:00Z,2026-07-01T06:59:59Z,unknown,all-lanes-closed,estimated,estimated,estimated,estimated,15f8a679-7d6e-3621-9b75-9d2d9e58f9f5,0,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",eastbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov,
2026-04-08,False,False,False,False,"[{'incident_category': 'winter', 'incident_type': 'ice', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}, {'incident_category': 'winter', 'incident_type': 'snowfall', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}]",2025-10-10T07:00:00Z,2026-07-01T06:59:59Z,unknown,all-lanes-closed,estimated,estimated,estimated,estimated,5e4b608d-7300-07e4-5b07-d59c21f8de48,1,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",northbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov,
2026-04-08,False,False,False,False,"[{'incident_category': 'winter', 'incident_type': 'ice', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}, {'incident_category': 'winter', 'incident_type': 'snowfall', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}]",2025-10-10T07:00:00Z,2026-07-01T06:59:59Z,unknown,all-lanes-closed,estimated,estimated,estimated,estimated,7bdfc8c1-579e-9a0c-f25f-88a3cb9adfc8,2,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",northbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov,
2026-04-08,False,False,False,False,"[{'incident_category': 'winter', 'incident_type': 'ice', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}, {'incident_category': 'winter', 'incident_type': 'snowfall', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}]",2025-10-10T07:00:00Z,2026-07-01T06:59:59Z,unknown,all-lanes-closed,estimated,estimated,estimated,estimated,8b85394a-40a6-42d9-6df7-86c1996395cd,3,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",southbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov,
2026-04-08,False,False,False,False,"[{'incident_category': 'winter', 'incident_type': 'ice', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}, {'incident_category': 'winter', 'incident_type': 'snowfall', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}]",2025-10-10T07:00:00Z,2026-07-01T06:59:59Z,unknown,all-lanes-closed,estimated,estimated,estimated,estimated,9b917660-f67d-04eb-e8c7-115ad87550b5,4,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",northbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov,
2026-04-08,False,False,False,False,"[{'incident_category': 'winter', 'incident_type': 'snowfall', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}, {'incident_category': 'winter', 'incident_type': 'ice', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}]",2025-10-10T07:00:00Z,2026-07-01T06:59:59Z,unknown,all-lanes-closed,estimated,estimated,estimated,estimated,c17ed80c-7206-8b28-02fe-54c872739b9b,5,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",southbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov,
2026-04-08,False,False,False,False,"[{'incident_category': 'winter', 'incident_type': 'ice', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}, {'incident_category': 'winter', 'incident_type': 'snowfall', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}]",2025-10-10T07:00:00Z,2026-07-01T06:59:59Z,unknown,all-lanes-closed,estimated,estimated,estimated,estimated,f3b356f1-08a3-8a1a-4ba2-5de729f879d5,6,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",southbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov,
2026-04-08,False,False,False,False,"[{'incident_category': 'winter', 'incident_type': 'ice', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}, {'incident_category': 'winter', 'incident_type': 'snowfall', 'description': 'Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. '}]",2025-10-10T07:00:00Z,2026-07-01T06:59:59Z,unknown,all-lanes-closed,estimated,estimated,estimated,estimated,f789de0c-2907-1431-bf3f-f4b198b0bcd3,7,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",westbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov,
2026-04-08,False,False,False,False,"[{'incident_category': 'special-event', 'incident_type': 'major', 'description': 'East Rim Drive is closed to motorized vehicles from 7:00 PM Friday (9/6) through 4:00 PM Saturday (9/7) for annual Ride the Rim Event.'}]",2025-09-27T06:27:00Z,,unknown,all-lanes-closed,estimated,estimated,estimated,estimated,9053325d-42ec-175c-0ec8-a28cdbe16d8e,8,Ride the Rim ,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,['East Rim Drive'],eastbound,East Rim Drive is closed to motorized vehicles from 7:00 PM Friday (9/6) through 4:00 PM Saturday (9/7) for annual Ride the Rim Event.,,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov,
2026-04-08,False,False,False,False,"[{'incident_category': 'special-event', 'incident_type': 'major', 'description': 'East Rim Drive is closed to motorized vehicles from 7:00 PM Friday (9/6) through 4:00 PM Saturday (9/7) for annual Ride the Rim Event.'}]",2025-09-27T06:27:00Z,,unknown,all-lanes-closed,estimated,estimated,estimated,estimated,e305a348-f09b-e247-3cda-ef67a2d0e9e5,9,Ride the Rim ,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,['East Rim Drive'],westbound,East Rim Drive is closed to motorized vehicles from 7:00 PM Friday (9/6) through 4:00 PM Saturday (9/7) for annual Ride the Rim Event.,,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov,
