extraction_date,name,data_source_id,event_type,road_names,direction,description,organization_name,update_date,contact_name,contact_email
2026-03-15,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",eastbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov
2026-03-15,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",northbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov
2026-03-15,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",northbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov
2026-03-15,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",southbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov
2026-03-15,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",northbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov
2026-03-15,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",southbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov
2026-03-15,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",southbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov
2026-03-15,North Entrance Road and Rim Drive are CLOSED for the Season,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,"['North Entrance Road', 'West Rim Drive', 'East Rim Drive']",westbound,Seasonal closure of North Entrance Road and Rim Drive due to snow from October through June. ,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov
2026-03-15,Ride the Rim ,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,['East Rim Drive'],eastbound,East Rim Drive is closed to motorized vehicles from 7:00 PM Friday (9/6) through 4:00 PM Saturday (9/7) for annual Ride the Rim Event.,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov
2026-03-15,Ride the Rim ,02e0312b-cbd4-40bb-2c4e-08d4c7ad36e2,incident,['East Rim Drive'],westbound,East Rim Drive is closed to motorized vehicles from 7:00 PM Friday (9/6) through 4:00 PM Saturday (9/7) for annual Ride the Rim Event.,Crater Lake National Park,2024-02-01T01:07:37.430224Z,Crater Lake National Park,CRLA_Superintendent@nps.gov
