Data Periods,Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,0: All Days (M-Su),0: All Day (12am-12am),77,3811,4211,21.1,20.3,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,0: All Days (M-Su),2: Peak AM (6am-10am),12,3838,5738,18.4,22.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),46,3289,3659,17.1,16.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),18,6204,4830,41.9,28.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,0: All Days (M-Su),5: Late PM (7pm-12am),2,2168,2168,8.6,8.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,1: Monday (M-M),0: All Day (12am-12am),75,5591,5244,15.1,13.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,1: Monday (M-M),2: Peak AM (6am-10am),15,0,6314,0,22.5,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,1: Monday (M-M),3: Mid-Day (10am-3pm),15,0,5225,0,11.2,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,1: Monday (M-M),4: Peak PM (3pm-7pm),45,5591,4893,15.1,11.5,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,2: Tuesday (Tu-Tu),0: All Day (12am-12am),60,3482,5801,24.7,28.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),30,5857,9308,56.2,48.1,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),30,2294,2294,9,9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,3: Wednesday (W-W),0: All Day (12am-12am),60,3257,3220,7.2,6.8,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,3: Wednesday (W-W),2: Peak AM (6am-10am),30,1035,1035,5.1,5.1,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,3: Wednesday (W-W),3: Mid-Day (10am-3pm),15,7701,7701,11.5,11.5,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,3: Wednesday (W-W),4: Peak PM (3pm-7pm),15,0,3110,0,5.5,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,4: Thursday (Th-Th),0: All Day (12am-12am),104,2620,2613,14.6,15.1,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),75,2711,2711,15.8,15.8,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),15,0,2571,0,18.3,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,4: Thursday (Th-Th),5: Late PM (7pm-12am),15,2168,2168,8.6,8.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,5: Friday (F-F),0: All Day (12am-12am),24,1225,2248,7.5,13.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,5: Friday (F-F),4: Peak PM (3pm-7pm),24,1225,2248,7.5,13.7,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,6: Saturday (Sa-Sa),0: All Day (12am-12am),131,4866,4982,33.1,31.9,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),119,3993,4208,24,23.6,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),12,12720,12720,115.1,115.1,,
"Apr 01, 2022 - Apr 30, 2022",All Vehicles LBS Plus - StL All Vehicles Volume,Trip Pass-Through,,Great Meadow Drive / 11443185 / 1,yes,352,yes,7: Sunday (Su-Su),0: All Day (12am-12am),89,3465,4054,16.5,16.2,,
