ID,ZONE NAME,DATE,HOURS,HOUR GROUP,FOTSC SUM
4702,Ocean Drive,2021-05-01,0,,0.0
4702,Ocean Drive,2021-05-01,1,,0.0
4702,Ocean Drive,2021-05-01,2,,0.0
4702,Ocean Drive,2021-05-01,3,,0.0
4702,Ocean Drive,2021-05-01,4,,2.0
4702,Ocean Drive,2021-05-01,5,,3.0
4702,Ocean Drive,2021-05-01,6,6-9,8.0
4702,Ocean Drive,2021-05-01,7,6-9,41.0
4702,Ocean Drive,2021-05-01,8,6-9,34.0
4702,Ocean Drive,2021-05-01,9,6-9,84.0
4702,Ocean Drive,2021-05-01,10,9-12,122.0
4702,Ocean Drive,2021-05-01,11,9-12,95.0
4702,Ocean Drive,2021-05-01,12,9-12,118.0
4702,Ocean Drive,2021-05-01,13,12-15,129.0
4702,Ocean Drive,2021-05-01,14,12-15,95.0
4702,Ocean Drive,2021-05-01,15,12-15,87.0
4702,Ocean Drive,2021-05-01,16,15-18,61.0
4702,Ocean Drive,2021-05-01,17,15-18,38.0
4702,Ocean Drive,2021-05-01,18,15-18,27.0
4702,Ocean Drive,2021-05-01,19,18-21,20.0
4702,Ocean Drive,2021-05-01,20,18-21,9.0
4702,Ocean Drive,2021-05-01,21,18-21,5.0
4702,Ocean Drive,2021-05-01,22,,3.0
4702,Ocean Drive,2021-05-01,23,,1.0
4702,Ocean Drive,2021-05-02,0,,0.0
4702,Ocean Drive,2021-05-02,1,,0.0
4702,Ocean Drive,2021-05-02,2,,0.0
4702,Ocean Drive,2021-05-02,3,,1.0
4702,Ocean Drive,2021-05-02,4,,3.0
4702,Ocean Drive,2021-05-02,5,,7.0
4702,Ocean Drive,2021-05-02,6,6-9,6.0
4702,Ocean Drive,2021-05-02,7,6-9,13.0
4702,Ocean Drive,2021-05-02,8,6-9,29.0
4702,Ocean Drive,2021-05-02,9,6-9,57.0
4702,Ocean Drive,2021-05-02,10,9-12,84.0
4702,Ocean Drive,2021-05-02,11,9-12,105.0
4702,Ocean Drive,2021-05-02,12,9-12,124.0
4702,Ocean Drive,2021-05-02,13,12-15,112.0
4702,Ocean Drive,2021-05-02,14,12-15,90.0
4702,Ocean Drive,2021-05-02,15,12-15,77.0
4702,Ocean Drive,2021-05-02,16,15-18,58.0
4702,Ocean Drive,2021-05-02,17,15-18,42.0
4702,Ocean Drive,2021-05-02,18,15-18,23.0
4702,Ocean Drive,2021-05-02,19,18-21,13.0
4702,Ocean Drive,2021-05-02,20,18-21,4.0
4702,Ocean Drive,2021-05-02,21,18-21,3.0
4702,Ocean Drive,2021-05-02,22,,0.0
4702,Ocean Drive,2021-05-02,23,,1.0
4702,Ocean Drive,2021-05-03,0,,0.0
4702,Ocean Drive,2021-05-03,1,,0.0
4702,Ocean Drive,2021-05-03,2,,0.0
4702,Ocean Drive,2021-05-03,3,,0.0
4702,Ocean Drive,2021-05-03,4,,4.0
4702,Ocean Drive,2021-05-03,5,,7.0
4702,Ocean Drive,2021-05-03,6,6-9,10.0
4702,Ocean Drive,2021-05-03,7,6-9,10.0
4702,Ocean Drive,2021-05-03,8,6-9,31.0
4702,Ocean Drive,2021-05-03,9,6-9,48.0
4702,Ocean Drive,2021-05-03,10,9-12,68.0
4702,Ocean Drive,2021-05-03,11,9-12,51.0
4702,Ocean Drive,2021-05-03,12,9-12,61.0
4702,Ocean Drive,2021-05-03,13,12-15,62.0
4702,Ocean Drive,2021-05-03,14,12-15,61.0
4702,Ocean Drive,2021-05-03,15,12-15,47.0
4702,Ocean Drive,2021-05-03,16,15-18,36.0
4702,Ocean Drive,2021-05-03,17,15-18,33.0
4702,Ocean Drive,2021-05-03,18,15-18,11.0
4702,Ocean Drive,2021-05-03,19,18-21,5.0
4702,Ocean Drive,2021-05-03,20,18-21,2.0
4702,Ocean Drive,2021-05-03,21,18-21,0.0
4702,Ocean Drive,2021-05-03,22,,1.0
4702,Ocean Drive,2021-05-03,23,,2.0
4702,Ocean Drive,2021-05-04,0,,0.0
4702,Ocean Drive,2021-05-04,1,,0.0
4702,Ocean Drive,2021-05-04,2,,0.0
4702,Ocean Drive,2021-05-04,3,,0.0
4702,Ocean Drive,2021-05-04,4,,0.0
4702,Ocean Drive,2021-05-04,5,,5.0
4702,Ocean Drive,2021-05-04,6,6-9,4.0
4702,Ocean Drive,2021-05-04,7,6-9,13.0
4702,Ocean Drive,2021-05-04,8,6-9,21.0
4702,Ocean Drive,2021-05-04,9,6-9,46.0
4702,Ocean Drive,2021-05-04,10,9-12,55.0
4702,Ocean Drive,2021-05-04,11,9-12,54.0
4702,Ocean Drive,2021-05-04,12,9-12,42.0
4702,Ocean Drive,2021-05-04,13,12-15,44.0
4702,Ocean Drive,2021-05-04,14,12-15,52.0
4702,Ocean Drive,2021-05-04,15,12-15,42.0
4702,Ocean Drive,2021-05-04,16,15-18,47.0
4702,Ocean Drive,2021-05-04,17,15-18,28.0
4702,Ocean Drive,2021-05-04,18,15-18,25.0
4702,Ocean Drive,2021-05-04,19,18-21,4.0
4702,Ocean Drive,2021-05-04,20,18-21,2.0
4702,Ocean Drive,2021-05-04,21,18-21,3.0
4702,Ocean Drive,2021-05-04,22,,1.0
4702,Ocean Drive,2021-05-04,23,,1.0
