shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10,37.67111,-112.15693,1,
10,37.6712285802,-112.1568905839,2,
10,37.67127,-112.15713,3,
10,37.67239,-112.15686,4,
10,37.67251,-112.15683,5,
10,37.67358,-112.15653,6,
10,37.67358,-112.15653,7,
10,37.67397,-112.15642,8,
10,37.67572,-112.156,9,
10,37.67577,-112.15599,10,
10,37.67577,-112.15599,11,
10,37.67575,-112.15553,12,
10,37.67573,-112.15529,13,
10,37.67572,-112.15508,14,
10,37.67572,-112.15495,15,
10,37.6757,-112.15465,16,
10,37.67568,-112.15435,17,
10,37.67565,-112.15396,18,
10,37.67565,-112.15396,19,
10,37.6751787706,-112.1539939067,20,
10,37.67472,-112.15402,21,
10,37.67463,-112.15401,22,
10,37.67455,-112.15399,23,
10,37.67448,-112.15399,24,
10,37.67448,-112.15399,25,
10,37.67446,-112.15399,26,
10,37.67434,-112.15401,27,
10,37.67425,-112.15404,28,
10,37.67424,-112.15405,29,
10,37.67416,-112.15413,30,
10,37.67407,-112.15422,31,
10,37.67398,-112.15429,32,
10,37.67389,-112.15431,33,
10,37.6738,-112.15434,34,
10,37.67366,-112.15442,35,
10,37.67317,-112.15471,36,
10,37.67317,-112.15471,37,
10,37.6733,-112.15504,38,
10,37.67351,-112.15533,39,
10,37.67358,-112.15542,40,
10,37.67367,-112.15554,41,
10,37.67381,-112.15575,42,
10,37.67389,-112.15603,43,
10,37.67389,-112.15604,44,
10,37.67397,-112.15642,45,
10,37.67397,-112.15642,46,
10,37.6736801396,-112.1565080466,47,
10,37.6733499413,-112.1565987754,48,
10,37.67342,-112.15658,49,
10,37.67251,-112.15684,50,
10,37.67243,-112.15686,51,
10,37.671530073,-112.1570657434,52,
10,37.6709714136,-112.1571763558,53,
10,37.6702293587,-112.1574344641,54,
10,37.669521266,-112.1576322227,55,
10,37.6689415725,-112.1577715889,56,
10,37.6678260935,-112.1580860932,57,
10,37.6678260935,-112.1580860932,58,
10,37.667,-112.1583,59,
10,37.66643,-112.15846,60,
10,37.66639,-112.15848,61,
10,37.66286,-112.15981,62,
10,37.66251,-112.15994,63,
10,37.662,-112.16013,64,
