shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
BA,37.671028,-112.156942,1,0
BA,37.671138,-112.156923,2,1.20000000000005E-02
BA,37.671195,-112.156929,3,1.89999999999984E-02
BA,37.671222,-112.156962,4,2.29999999999997E-02
BA,37.671241,-112.157015,5,2.79999999999987E-02
BA,37.671257,-112.157047,6,3.09999999999988E-02
BA,37.671298,-112.157061,7,3.60000000000014E-02
BA,37.671403,-112.157032,8,4.80000000000018E-02
BA,37.671667,-112.156959,9,7.79999999999994E-02
BA,37.672279,-112.156798,10,0.146999999999998
BA,37.67269,-112.156688,11,0.193999999999999
BA,37.673238,-112.156539,12,0.256
BA,37.6734,-112.156494,13,0.274999999999999
BA,37.67348,-112.156475,14,0.283999999999999
BA,37.673527,-112.156458,15,0.289000000000001
BA,37.673545,-112.156443,16,0.292000000000002
BA,37.673564,-112.156433,17,0.294
BA,37.673581,-112.15643,18,0.295999999999999
BA,37.673597,-112.156434,19,0.298000000000002
BA,37.673617,-112.156438,20,0.300000000000001
BA,37.673839,-112.156383,21,0.324999999999999
BA,37.674074,-112.156324,22,0.352
BA,37.674361,-112.156247,23,0.384
BA,37.674641,-112.156176,24,0.416
BA,37.674945,-112.156096,25,0.451000000000001
BA,37.675199,-112.156031,26,0.48
BA,37.675425,-112.155971,27,0.504999999999999
BA,37.675547,-112.155943,28,0.518999999999998
BA,37.675595,-112.155919,29,0.524999999999999
BA,37.675624,-112.155894,30,0.529
BA,37.675664,-112.155837,31,0.535
BA,37.675695,-112.155754,32,0.542999999999999
BA,37.675712,-112.155673,33,0.550999999999998
BA,37.675721,-112.155525,34,0.564
BA,37.675712,-112.15532,35,0.582000000000001
BA,37.675682,-112.154823,36,0.626000000000001
BA,37.675654,-112.154326,37,0.670000000000002
BA,37.675645,-112.154111,38,0.689
BA,37.675639,-112.154077,39,0.692
BA,37.675624,-112.154046,40,0.695
BA,37.675605,-112.154021,41,0.698
BA,37.675574,-112.154005,42,0.702000000000002
BA,37.675418,-112.154013,43,0.719000000000001
BA,37.675204,-112.154033,44,0.742999999999999
BA,37.674983,-112.154062,45,0.768000000000001
BA,37.674849,-112.154068,46,0.782
BA,37.674711,-112.154051,47,0.798000000000002
BA,37.674621,-112.154029,48,0.808
BA,37.674506,-112.154025,49,0.821000000000002
BA,37.674426,-112.154036,50,0.830000000000002
BA,37.67432,-112.154065,51,0.841999999999999
BA,37.674258,-112.154112,52,0.850000000000001
BA,37.674186,-112.154187,53,0.859999999999999
BA,37.674124,-112.154248,54,0.869
BA,37.67404,-112.154308,55,0.879999999999999
BA,37.673928,-112.154343,56,0.893000000000001
BA,37.673823,-112.154372,57,0.905000000000001
BA,37.673729,-112.154413,58,0.916
BA,37.673633,-112.154469,59,0.927
BA,37.673398,-112.154628,60,0.957000000000001
BA,37.673252,-112.154723,61,0.975000000000001
BA,37.673218,-112.154772,62,0.981000000000002
BA,37.673188,-112.154832,63,0.987000000000002
BA,37.673185,-112.154896,64,0.992999999999999
BA,37.673254,-112.155052,65,1.009
BA,37.673317,-112.155136,66,1.019
BA,37.673412,-112.155281,67,1.035
BA,37.673564,-112.155441,68,1.057
BA,37.673653,-112.155538,69,1.07
BA,37.67375,-112.155722,70,1.09
BA,37.673833,-112.15598,71,1.114
BA,37.673902,-112.156251,72,1.139
BA,37.673928,-112.156385,73,1.152
BA,37.673938,-112.156464,74,1.159
BA,37.673922,-112.156518,75,1.164
BA,37.673875,-112.156555,76,1.17
BA,37.673697,-112.156604,77,1.19
BA,37.673594,-112.156631,78,1.202
BA,37.673558,-112.156659,79,1.207
BA,37.67351,-112.15668,80,1.212
BA,37.673443,-112.156696,81,1.22
BA,37.673402,-112.156695,82,1.224
BA,37.67335,-112.156693,83,1.23
BA,37.671285,-112.157234,84,1.465
BA,37.670614,-112.15741,85,1.541
BA,37.66984,-112.15761,86,1.629
BA,37.668112,-112.158065,87,1.825
BA,37.667875,-112.158151,88,1.852
BA,37.667619,-112.158208,89,1.881
BA,37.667475,-112.158187,90,1.897
BA,37.667099,-112.158284,91,1.94
BA,37.666687,-112.158412,92,1.987
BA,37.666354,-112.158519,93,2.025
BA,37.665983,-112.158654,94,2.068
BA,37.665238,-112.15893,95,2.155
BA,37.664898,-112.15906,96,2.194
BA,37.664567,-112.159188,97,2.233
BA,37.663876,-112.159451,98,2.313
BA,37.663056,-112.15976,99,2.408
BA,37.662358,-112.160025,100,2.489
BA,37.661662,-112.160288,101,2.57
BA,37.660542,-112.160723,102,2.7
BA,37.659808,-112.161007,103,2.786
BA,37.658797,-112.161386,104,2.903
BA,37.658155,-112.161631,105,2.977
BA,37.657649,-112.161823,106,3.036
BA,37.656889,-112.16211,107,3.124
BA,37.655958,-112.162462,108,3.232
BA,37.655436,-112.162649,109,3.293
BA,37.654883,-112.162825,110,3.356
BA,37.65409,-112.163059,111,3.447
BA,37.653387,-112.163264,112,3.527
BA,37.65238,-112.163559,113,3.642
BA,37.651497,-112.163834,114,3.743
BA,37.651023,-112.164018,115,3.798
BA,37.650686,-112.164167,116,3.838
BA,37.650142,-112.164409,117,3.902
BA,37.649442,-112.164703,118,3.984
BA,37.648917,-112.164893,119,4.045
BA,37.648256,-112.165119,120,4.121
BA,37.64774,-112.1653,121,4.18
BA,37.647043,-112.165535,122,4.261
BA,37.646363,-112.165764,123,4.339
BA,37.645656,-112.166024,124,4.421
BA,37.645395,-112.166138,125,4.451
BA,37.645237,-112.166225,126,4.471
BA,37.645044,-112.166338,127,4.494
BA,37.644871,-112.166451,128,4.516
BA,37.64464,-112.166617,129,4.546
BA,37.64427,-112.166889,130,4.593
BA,37.643533,-112.167434,131,4.688
BA,37.643011,-112.167816,132,4.755
BA,37.642768,-112.16798,133,4.786
BA,37.642562,-112.168107,134,4.811
BA,37.642339,-112.168221,135,4.838
BA,37.64213,-112.168316,136,4.863
BA,37.641829,-112.168461,137,4.899
BA,37.64163,-112.168551,138,4.922
BA,37.641456,-112.168658,139,4.944
BA,37.641332,-112.168739,140,4.959
BA,37.641127,-112.168838,141,4.984
BA,37.640717,-112.169041,142,5.032
BA,37.640519,-112.169133,143,5.056
BA,37.640325,-112.169221,144,5.079
BA,37.640163,-112.169293,145,5.098
BA,37.63997,-112.169403,146,5.122
BA,37.639714,-112.169625,147,5.156
BA,37.639288,-112.169963,148,5.212
BA,37.638432,-112.170715,149,5.328
BA,37.638267,-112.170863,150,5.35
BA,37.637582,-112.171396,151,5.439
BA,37.636713,-112.17196,152,5.548
BA,37.636052,-112.172299,153,5.627
BA,37.635384,-112.172634,154,5.707
BA,37.634321,-112.173131,155,5.833
BA,37.633737,-112.173365,156,5.902
BA,37.633038,-112.17355,157,5.981
BA,37.63253,-112.173636,158,6.038
BA,37.631809,-112.173712,159,6.118
BA,37.631336,-112.173703,160,6.171
BA,37.630575,-112.173623,161,6.256
BA,37.630048,-112.173516,162,6.315
BA,37.629505,-112.17335,163,6.377
BA,37.62838,-112.172869,164,6.509
BA,37.627287,-112.172296,165,6.641
BA,37.626291,-112.171798,166,6.76
BA,37.625491,-112.171416,167,6.855
BA,37.624845,-112.171247,168,6.929
BA,37.623781,-112.171277,169,7.047
BA,37.623193,-112.171441,170,7.114
BA,37.622761,-112.171658,171,7.166
BA,37.622313,-112.171973,172,7.223
BA,37.622214,-112.172119,173,7.24
BA,37.622026,-112.172224,174,7.262
BA,37.621926,-112.172301,175,7.275
BA,37.620009,-112.173829,176,7.528
BA,37.618803,-112.17485,177,7.689
BA,37.617845,-112.175702,178,7.819
BA,37.617722,-112.175692,179,7.833
BA,37.617539,-112.175348,180,7.87
BA,37.617377,-112.17511,181,7.897
BA,37.61719,-112.174957,182,7.922
BA,37.616977,-112.174864,183,7.947
BA,37.61674,-112.174816,184,7.974
BA,37.616426,-112.174876,185,8.009
BA,37.616037,-112.175111,186,8.057
BA,37.61574,-112.175283,187,8.093
BA,37.615235,-112.175459,188,8.152
BA,37.6149,-112.175522,189,8.189
BA,37.614462,-112.175524,190,8.238
BA,37.613926,-112.175418,191,8.298
BA,37.613257,-112.175156,192,8.376
BA,37.612499,-112.174871,193,8.464
BA,37.611706,-112.174536,194,8.557
BA,37.611373,-112.17434,195,8.598
BA,37.611024,-112.174046,196,8.645
BA,37.610624,-112.173576,197,8.705
BA,37.610165,-112.172781,198,8.792
BA,37.609946,-112.172482,199,8.828
BA,37.609626,-112.172148,200,8.874
BA,37.609242,-112.171815,201,8.926
BA,37.608489,-112.17123,202,9.024
BA,37.608187,-112.171014,203,9.063
BA,37.607744,-112.170712,204,9.119
BA,37.607057,-112.170344,205,9.202
BA,37.60647,-112.169981,206,9.274
BA,37.605971,-112.169609,207,9.339
BA,37.605176,-112.168996,208,9.442
BA,37.604623,-112.168563,209,9.515
BA,37.603282,-112.167495,210,9.691
BA,37.602741,-112.16705,211,9.763
BA,37.601499,-112.166084,212,9.925
BA,37.601173,-112.165673,213,9.976
BA,37.600855,-112.165116,214,10.037
BA,37.600687,-112.16466,215,10.081
BA,37.60056,-112.16412,216,10.131
BA,37.600502,-112.163476,217,10.188
BA,37.600526,-112.16305,218,10.225
BA,37.600598,-112.162582,219,10.267
BA,37.600729,-112.16213,220,10.31
BA,37.600915,-112.161725,221,10.351
BA,37.601115,-112.161366,222,10.39
BA,37.601351,-112.161051,223,10.428
BA,37.601739,-112.160602,224,10.487
BA,37.601925,-112.160374,225,10.515
BA,37.602112,-112.160124,226,10.546
BA,37.602273,-112.15974,227,10.584
BA,37.602496,-112.159066,228,10.648
BA,37.602745,-112.158327,229,10.719
BA,37.603039,-112.157411,230,10.806
BA,37.603223,-112.156881,231,10.857
BA,37.603299,-112.156667,232,10.878
BA,37.60341,-112.156517,233,10.896
BA,37.603628,-112.156391,234,10.922
BA,37.603823,-112.156391,235,10.944
BA,37.603977,-112.156481,236,10.963
