trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
2807,08:00:00,08:00:00,1,1,,0,0,1
2807,08:02:00,08:02:00,12,2,,0,0,1
2807,08:03:00,08:03:00,13,3,,0,0,1
2807,08:04:00,08:04:00,14,4,,0,0,1
2807,08:06:00,08:06:00,15,5,,0,0,1
2807,08:12:00,08:12:00,2,6,,0,0,1
2807,08:16:00,08:16:00,3,7,,0,0,1
2807,08:22:00,08:22:00,4,8,,0,0,1
2807,08:29:00,08:29:00,5,9,,0,0,1
2807,08:31:00,08:31:00,6,10,,0,0,1
2807,08:34:00,08:34:00,7,11,,0,0,1
2807,08:38:00,08:38:00,8,12,,0,0,1
2807,08:41:00,08:41:00,9,13,,0,0,1
2807,08:45:00,08:45:00,10,14,,0,0,1
2807,08:49:00,08:49:00,11,15,,0,0,1
2807,08:50:00,08:50:00,25,16,,0,0,1
2808,09:00:00,09:00:00,1,1,,0,0,1
2808,09:02:00,09:02:00,12,2,,0,0,1
2808,09:03:00,09:03:00,13,3,,0,0,1
2808,09:04:00,09:04:00,14,4,,0,0,1
2808,09:06:00,09:06:00,15,5,,0,0,1
2808,09:12:00,09:12:00,2,6,,0,0,1
2808,09:16:00,09:16:00,3,7,,0,0,1
2808,09:22:00,09:22:00,4,8,,0,0,1
2808,09:29:00,09:29:00,5,9,,0,0,1
2808,09:31:00,09:31:00,6,10,,0,0,1
2808,09:34:00,09:34:00,7,11,,0,0,1
2808,09:38:00,09:38:00,8,12,,0,0,1
2808,09:41:00,09:41:00,9,13,,0,0,1
2808,09:45:00,09:45:00,10,14,,0,0,1
2808,09:49:00,09:49:00,11,15,,0,0,1
2808,09:50:00,09:50:00,25,16,,0,0,1
2809,10:00:00,10:00:00,1,1,,0,0,1
2809,10:02:00,10:02:00,12,2,,0,0,1
2809,10:03:00,10:03:00,13,3,,0,0,1
2809,10:04:00,10:04:00,14,4,,0,0,1
2809,10:06:00,10:06:00,15,5,,0,0,1
2809,10:12:00,10:12:00,2,6,,0,0,1
2809,10:16:00,10:16:00,3,7,,0,0,1
2809,10:22:00,10:22:00,4,8,,0,0,1
2809,10:29:00,10:29:00,5,9,,0,0,1
2809,10:31:00,10:31:00,6,10,,0,0,1
2809,10:34:00,10:34:00,7,11,,0,0,1
2809,10:38:00,10:38:00,8,12,,0,0,1
2809,10:41:00,10:41:00,9,13,,0,0,1
2809,10:45:00,10:45:00,10,14,,0,0,1
2809,10:49:00,10:49:00,11,15,,0,0,1
2809,10:50:00,10:50:00,25,16,,0,0,1
2810,11:00:00,11:00:00,1,1,,0,0,1
2810,11:02:00,11:02:00,12,2,,0,0,1
2810,11:03:00,11:03:00,13,3,,0,0,1
2810,11:04:00,11:04:00,14,4,,0,0,1
2810,11:06:00,11:06:00,15,5,,0,0,1
2810,11:12:00,11:12:00,2,6,,0,0,1
2810,11:16:00,11:16:00,3,7,,0,0,1
2810,11:22:00,11:22:00,4,8,,0,0,1
2810,11:29:00,11:29:00,5,9,,0,0,1
2810,11:31:00,11:31:00,6,10,,0,0,1
2810,11:34:00,11:34:00,7,11,,0,0,1
2810,11:38:00,11:38:00,8,12,,0,0,1
2810,11:41:00,11:41:00,9,13,,0,0,1
2810,11:45:00,11:45:00,10,14,,0,0,1
2810,11:49:00,11:49:00,11,15,,0,0,1
2810,11:50:00,11:50:00,25,16,,0,0,1
2811,12:00:00,12:00:00,1,1,,0,0,1
2811,12:02:00,12:02:00,12,2,,0,0,1
