route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
10,59,2807,,,,1A-0800,10
10,59,2808,,,,1A-0900,10
10,59,2809,,,,1A-1000,10
10,59,2810,,,,1A-1100,10
10,59,2811,,,,1A-1200,10
10,59,2812,,,,1P-1300,10
10,59,2813,,,,1P-1400,10
10,59,2814,,,,1P-1500,10
10,59,2815,,,,1P-1600,10
10,59,2816,,,,1P-1700,10
10,59,2817,,,,2A-0820,10
10,59,2818,,,,2A-0924,10
10,59,2819,,,,2A-1020,10
10,59,2820,,,,2P-1220,10
10,59,2821,,,,2P-1320,10
10,59,2822,,,,2P-1420,10
10,59,2823,,,,2P-1520,10
10,59,2824,,,,3A-0840,10
10,59,2825,,,,3A-0948,10
10,59,2826,,,,3A-1050,10
10,59,2827,,,,3A-1150,10
10,59,2828,,,,3A-1250,10
10,59,2829,,,,3P-1450,10
10,59,2830,,,,3P-1550,10
10,59,2831,,,,4A-0912,10
10,59,2832,,,,4A-1010,10
10,59,2833,,,,4A-1110,10
10,59,2834,,,,4A-1210,10
10,59,2835,,,,4P-1410,10
10,59,2836,,,,4P-1510,10
10,59,2837,,,,4P-1615,10
10,59,2838,,,,4P-1715,10
10,59,2839,,,,4P-1310,10
10,59,2840,,,,5A-0936,10
10,59,2841,,,,5A-1040,10
10,59,2842,,,,5A-1140,10
10,59,2843,,,,5P-1340,10
10,59,2844,,,,5P-1440,10
10,59,2845,,,,5P-1540,10
10,59,2846,,,,5P-1645,10
10,59,2847,,,,6A-1030,10
10,59,2848,,,,6A-1130,10
10,59,2849,,,,6A-1230,10
10,59,2850,,,,6A-1330,10
10,59,2851,,,,6A-1430,10
10,59,2852,,,,6P-1630,10
10,59,2853,,,,6P-1745,10
10,59,2854,,,,2D-1120,10
10,59,2855,,,,5D-1240,10
10,59,2856,,,,3D-1350,10
10,59,2857,,,,6D-1530,10
10,59,2858,,,,PDF 1,10
10,59,2859,,,,PDF 2,10
10,59,2860,,,,PDF 3,10
10,59,2861,,,,PDF 4,10
10,59,2862,,,,PDF 5,10
