shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Fort Sumter Visitor Center-Fort Sumter Outbound,32.790789,-79.92477,1,0
Fort Sumter Visitor Center-Fort Sumter Outbound,32.790795,-79.924647,2,0.012
Fort Sumter Visitor Center-Fort Sumter Outbound,32.790785,-79.924424,3,0.032
Fort Sumter Visitor Center-Fort Sumter Outbound,32.790756,-79.924231,4,0.051
Fort Sumter Visitor Center-Fort Sumter Outbound,32.790713,-79.924107,5,0.063
Fort Sumter Visitor Center-Fort Sumter Outbound,32.790655,-79.924017,6,0.074
Fort Sumter Visitor Center-Fort Sumter Outbound,32.789188,-79.922952,7,0.265
Fort Sumter Visitor Center-Fort Sumter Outbound,32.780565,-79.919637,8,1.273
Fort Sumter Visitor Center-Fort Sumter Outbound,32.78015,-79.919465,9,1.321
Fort Sumter Visitor Center-Fort Sumter Outbound,32.778508,-79.918543,10,1.523
Fort Sumter Visitor Center-Fort Sumter Outbound,32.778129,-79.918242,11,1.574
Fort Sumter Visitor Center-Fort Sumter Outbound,32.768278,-79.907396,12,3.067
Fort Sumter Visitor Center-Fort Sumter Outbound,32.767484,-79.906516,13,3.187
Fort Sumter Visitor Center-Fort Sumter Outbound,32.767177,-79.906054,14,3.243
Fort Sumter Visitor Center-Fort Sumter Outbound,32.762495,-79.896559,15,4.272
Fort Sumter Visitor Center-Fort Sumter Outbound,32.758336,-79.888084,16,5.189
Fort Sumter Visitor Center-Fort Sumter Outbound,32.756892,-79.885176,17,5.505
Fort Sumter Visitor Center-Fort Sumter Outbound,32.753743,-79.877269,18,6.323
Fort Sumter Visitor Center-Fort Sumter Outbound,32.753536,-79.876228,19,6.423
Fort Sumter Visitor Center-Fort Sumter Outbound,32.75351,-79.875582,20,6.484
Fort Sumter Visitor Center-Fort Sumter Outbound,32.753487,-79.875398,21,6.501
Patriot's Point-Fort Sumter Outbound,32.790556,-79.906265,1,0
Patriot's Point-Fort Sumter Outbound,32.790567,-79.907034,2,0.072
Patriot's Point-Fort Sumter Outbound,32.790671,-79.907345,3,0.103
Patriot's Point-Fort Sumter Outbound,32.790846,-79.90763,4,0.136
Patriot's Point-Fort Sumter Outbound,32.791,-79.907753,5,0.157
Patriot's Point-Fort Sumter Outbound,32.79136,-79.907839,6,0.198
Patriot's Point-Fort Sumter Outbound,32.791685,-79.907919,7,0.235
Patriot's Point-Fort Sumter Outbound,32.791893,-79.90808,8,0.262
Patriot's Point-Fort Sumter Outbound,32.792037,-79.908279,9,0.287
Patriot's Point-Fort Sumter Outbound,32.792127,-79.908563,10,0.315
Patriot's Point-Fort Sumter Outbound,32.792127,-79.909845,11,0.435
Patriot's Point-Fort Sumter Outbound,32.792077,-79.910038,12,0.454
Patriot's Point-Fort Sumter Outbound,32.791915,-79.910242,13,0.48
Patriot's Point-Fort Sumter Outbound,32.790882,-79.91161,14,0.652
Patriot's Point-Fort Sumter Outbound,32.790707,-79.91175,15,0.675
Patriot's Point-Fort Sumter Outbound,32.790156,-79.911755,16,0.737
Patriot's Point-Fort Sumter Outbound,32.785989,-79.91175,17,1.2
Patriot's Point-Fort Sumter Outbound,32.785227,-79.911734,18,1.285
Patriot's Point-Fort Sumter Outbound,32.784961,-79.911691,19,1.315
Patriot's Point-Fort Sumter Outbound,32.780248,-79.908901,20,1.9
Patriot's Point-Fort Sumter Outbound,32.779815,-79.908536,21,1.959
Patriot's Point-Fort Sumter Outbound,32.76964,-79.895769,22,3.604
