trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Fort Sumter Visitor Center-Fort Sumter Winter (Outbound)_T01,11:00:00,11:00:00,2,1,Fort Sumter,,,,,0,1
Fort Sumter Visitor Center-Fort Sumter Winter (Outbound)_T01,11:35:00,11:35:00,3,2,,,,,,6.501,1
Fort Sumter Visitor Center-Fort Sumter Winter (Outbound)_T02,14:00:00,14:00:00,2,1,Fort Sumter,,,,,0,1
Fort Sumter Visitor Center-Fort Sumter Winter (Outbound)_T02,14:35:00,14:35:00,3,2,,,,,,6.501,1
Fort Sumter Visitor Center-Fort Sumter Winter (Inbound)_T01,12:35:00,12:35:00,3,1,Fort Sumter Visitor Center,,,,,0,1
Fort Sumter Visitor Center-Fort Sumter Winter (Inbound)_T01,13:10:00,13:10:00,2,2,,,,,,6.501,1
Fort Sumter Visitor Center-Fort Sumter Winter (Inbound)_T02,15:35:00,15:35:00,3,1,Fort Sumter Visitor Center,,,,,0,1
Fort Sumter Visitor Center-Fort Sumter Winter (Inbound)_T02,16:10:00,16:10:00,2,2,,,,,,6.501,1
Patriot's Point-Fort Sumter Winter (Outbound)_T01,12:30:00,12:30:00,1,1,Fort Sumter,,,,,0,1
Patriot's Point-Fort Sumter Winter (Outbound)_T01,13:05:00,13:05:00,3,2,,,,,,6.223,1
Patriot's Point-Fort Sumter Winter (Inbound)_T01,14:05:00,14:05:00,3,1,Patriot's Point,,,,,0,1
Patriot's Point-Fort Sumter Winter (Inbound)_T01,14:40:00,14:40:00,1,2,,,,,,6.223,1
Fort Sumter Visitor Center-Fort Sumter Regular (Outbound)_T01,09:30:00,09:30:00,2,1,Fort Sumter,,,,,0,1
Fort Sumter Visitor Center-Fort Sumter Regular (Outbound)_T01,10:05:00,10:05:00,3,2,,,,,,6.501,1
Fort Sumter Visitor Center-Fort Sumter Regular (Outbound)_T02,12:00:00,12:00:00,2,1,Fort Sumter,,,,,0,1
Fort Sumter Visitor Center-Fort Sumter Regular (Outbound)_T02,12:35:00,12:35:00,3,2,,,,,,6.501,1
Fort Sumter Visitor Center-Fort Sumter Regular (Outbound)_T03,14:45:00,14:45:00,2,1,Fort Sumter,,,,,0,1
Fort Sumter Visitor Center-Fort Sumter Regular (Outbound)_T03,15:20:00,15:20:00,3,2,,,,,,6.501,1
Fort Sumter Visitor Center-Fort Sumter Regular (Inbound)_T01,11:05:00,11:05:00,3,1,Fort Sumter Visitor Center,,,,,0,1
Fort Sumter Visitor Center-Fort Sumter Regular (Inbound)_T01,11:40:00,11:40:00,2,2,,,,,,6.501,1
Fort Sumter Visitor Center-Fort Sumter Regular (Inbound)_T02,13:35:00,13:35:00,3,1,Fort Sumter Visitor Center,,,,,0,1
Fort Sumter Visitor Center-Fort Sumter Regular (Inbound)_T02,14:10:00,14:10:00,2,2,,,,,,6.501,1
Fort Sumter Visitor Center-Fort Sumter Regular (Inbound)_T03,16:20:00,16:20:00,3,1,Fort Sumter Visitor Center,,,,,0,1
Fort Sumter Visitor Center-Fort Sumter Regular (Inbound)_T03,16:55:00,16:55:00,2,2,,,,,,6.501,1
Patriot's Point-Fort Sumter Regular (Outbound)_T01,10:45:00,10:45:00,1,1,Fort Sumter,,,,,0,1
Patriot's Point-Fort Sumter Regular (Outbound)_T01,11:20:00,11:20:00,3,2,,,,,,6.223,1
Patriot's Point-Fort Sumter Regular (Outbound)_T02,13:30:00,13:30:00,1,1,Fort Sumter,,,,,0,1
Patriot's Point-Fort Sumter Regular (Outbound)_T02,14:05:00,14:05:00,3,2,,,,,,6.223,1
Patriot's Point-Fort Sumter Regular (Inbound)_T01,12:20:00,12:20:00,3,1,Patriot's Point,,,,,0,1
Patriot's Point-Fort Sumter Regular (Inbound)_T01,12:55:00,12:55:00,1,2,,,,,,6.223,1
Patriot's Point-Fort Sumter Regular (Inbound)_T02,15:05:00,15:05:00,3,1,Patriot's Point,,,,,0,1
