trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
village_winter_T01,08:00:00,08:00:00,1,1,,,,,,0.0,1
village_winter_T01,,,2,2,,,,,,1.367,0
village_winter_T01,,,3,3,,,,,,1.88,0
village_winter_T01,,,4,4,,,,,,3.203,0
village_winter_T01,,,5,5,,,,,,3.569,0
village_winter_T01,,,6,6,,,,,,3.814,0
village_winter_T01,,,7,7,,,,,,4.369,0
village_winter_T01,,,8,8,,,,,,4.704,0
village_winter_T01,,,9,9,,,,,,5.364,0
village_winter_T01,,,10,10,,,,,,5.849,0
village_winter_T01,,,11,11,,,,,,6.849,0
village_winter_T01,,,12,12,,,,,,7.329,0
village_winter_T01,,,13,13,,,,,,7.891,0
village_winter_T01,,,14,14,,,,,,8.614,0
village_winter_T01,08:50:00,08:50:00,1,15,,,,,,10.432,1
village_winter_T02,08:20:00,08:20:00,1,1,,,,,,0.0,1
village_winter_T02,,,2,2,,,,,,1.367,0
village_winter_T02,,,3,3,,,,,,1.88,0
village_winter_T02,,,4,4,,,,,,3.203,0
village_winter_T02,,,5,5,,,,,,3.569,0
village_winter_T02,,,6,6,,,,,,3.814,0
village_winter_T02,,,7,7,,,,,,4.369,0
village_winter_T02,,,8,8,,,,,,4.704,0
village_winter_T02,,,9,9,,,,,,5.364,0
village_winter_T02,,,10,10,,,,,,5.849,0
village_winter_T02,,,11,11,,,,,,6.849,0
village_winter_T02,,,12,12,,,,,,7.329,0
village_winter_T02,,,13,13,,,,,,7.891,0
village_winter_T02,,,14,14,,,,,,8.614,0
village_winter_T02,09:10:00,09:10:00,1,15,,,,,,10.432,1
village_winter_T03,08:40:00,08:40:00,1,1,,,,,,0.0,1
village_winter_T03,,,2,2,,,,,,1.367,0
village_winter_T03,,,3,3,,,,,,1.88,0
village_winter_T03,,,4,4,,,,,,3.203,0
village_winter_T03,,,5,5,,,,,,3.569,0
village_winter_T03,,,6,6,,,,,,3.814,0
village_winter_T03,,,7,7,,,,,,4.369,0
village_winter_T03,,,8,8,,,,,,4.704,0
village_winter_T03,,,9,9,,,,,,5.364,0
village_winter_T03,,,10,10,,,,,,5.849,0
village_winter_T03,,,11,11,,,,,,6.849,0
village_winter_T03,,,12,12,,,,,,7.329,0
village_winter_T03,,,13,13,,,,,,7.891,0
village_winter_T03,,,14,14,,,,,,8.614,0
village_winter_T03,09:30:00,09:30:00,1,15,,,,,,10.432,1
village_winter_T04,09:00:00,09:00:00,1,1,,,,,,0.0,1
village_winter_T04,,,2,2,,,,,,1.367,0
village_winter_T04,,,3,3,,,,,,1.88,0
village_winter_T04,,,4,4,,,,,,3.203,0
village_winter_T04,,,5,5,,,,,,3.569,0
village_winter_T04,,,6,6,,,,,,3.814,0
village_winter_T04,,,7,7,,,,,,4.369,0
village_winter_T04,,,8,8,,,,,,4.704,0
village_winter_T04,,,9,9,,,,,,5.364,0
village_winter_T04,,,10,10,,,,,,5.849,0
village_winter_T04,,,11,11,,,,,,6.849,0
village_winter_T04,,,12,12,,,,,,7.329,0
