route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
village,winter,village_winter_T01,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T02,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T03,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T04,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T05,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T06,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T07,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T08,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T09,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T10,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T11,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T12,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T13,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T14,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T15,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T16,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T17,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T18,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T19,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T20,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T21,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T22,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T23,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T24,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T25,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T26,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T27,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T28,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T29,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T30,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T31,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T32,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T33,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T34,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T35,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T36,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T37,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T38,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T39,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T40,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T41,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T42,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T43,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T44,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T45,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T46,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T47,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T48,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T49,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T50,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T51,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T52,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T53,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T54,Grand Canyon Visitor Center,1,,village,1,1
village,winter,village_winter_T55,Grand Canyon Visitor Center,1,,village,1,1
kaibab,winter,kaibab_T01,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T02,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T03,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T04,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T05,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T06,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T07,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T08,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T09,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T10,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T11,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T12,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T13,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T14,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T15,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T16,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T17,Grand Canyon Visitor Center,1,,kaibab,1,1
kaibab,winter,kaibab_T18,Grand Canyon Visitor Center,1,,kaibab,1,1
