trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
village_spring_T01,07:00:00,07:00:00,1,1,Market Plaza Westbound,,,,,0,1
village_spring_T01,07:05:00,07:05:00,2,2,Shrine of the Ages Westbound,,,,,1.367,1
village_spring_T01,07:08:00,07:08:00,3,3,Train Depot,,,,,1.88,1
village_spring_T01,07:12:00,07:12:00,4,4,Bright Angel Lodge,,,,,3.203,1
village_spring_T01,07:15:00,07:15:00,5,5,Hermits Rest Transfer,,,,,3.569,1
village_spring_T01,07:18:00,07:18:00,6,6,Maswik Lodge,,,,,3.814,1
village_spring_T01,07:21:00,07:21:00,7,7,Backcountry Info Center,,,,,4.369,1
village_spring_T01,07:25:00,07:25:00,8,8,Center Road,,,,,4.704,1
village_spring_T01,07:29:00,07:29:00,9,9,Village East,,,,,5.364,1
village_spring_T01,07:32:00,07:32:00,10,10,Shrine of the Ages Eastbound,,,,,5.849,1
village_spring_T01,07:35:00,07:35:00,11,11,Mather Campground,,,,,6.849,1
village_spring_T01,07:38:00,07:38:00,12,12,Trailer Village,,,,,7.329,1
village_spring_T01,07:42:00,07:42:00,13,13,Market Plaza Eastbound,,,,,7.891,1
village_spring_T01,07:44:00,07:44:00,14,14,Grand Canyon Visitor Center,,,,,8.614,1
village_spring_T01,07:50:00,07:50:00,1,15,,,,,,10.432,1
village_spring_T02,07:15:00,07:15:00,1,1,Market Plaza Westbound,,,,,0,1
village_spring_T02,07:20:00,07:20:00,2,2,Shrine of the Ages Westbound,,,,,1.367,1
village_spring_T02,07:23:00,07:23:00,3,3,Train Depot,,,,,1.88,1
village_spring_T02,07:27:00,07:27:00,4,4,Bright Angel Lodge,,,,,3.203,1
village_spring_T02,07:30:00,07:30:00,5,5,Hermits Rest Transfer,,,,,3.569,1
village_spring_T02,07:33:00,07:33:00,6,6,Maswik Lodge,,,,,3.814,1
village_spring_T02,07:36:00,07:36:00,7,7,Backcountry Info Center,,,,,4.369,1
village_spring_T02,07:40:00,07:40:00,8,8,Center Road,,,,,4.704,1
village_spring_T02,07:44:00,07:44:00,9,9,Village East,,,,,5.364,1
village_spring_T02,07:47:00,07:47:00,10,10,Shrine of the Ages Eastbound,,,,,5.849,1
village_spring_T02,07:50:00,07:50:00,11,11,Mather Campground,,,,,6.849,1
village_spring_T02,07:53:00,07:53:00,12,12,Trailer Village,,,,,7.329,1
village_spring_T02,07:57:00,07:57:00,13,13,Market Plaza Eastbound,,,,,7.891,1
village_spring_T02,07:59:00,07:59:00,14,14,Grand Canyon Visitor Center,,,,,8.614,1
village_spring_T02,08:05:00,08:05:00,1,15,,,,,,10.432,1
village_spring_T03,07:30:00,07:30:00,1,1,Market Plaza Westbound,,,,,0,1
village_spring_T03,07:35:00,07:35:00,2,2,Shrine of the Ages Westbound,,,,,1.367,1
village_spring_T03,07:38:00,07:38:00,3,3,Train Depot,,,,,1.88,1
village_spring_T03,07:42:00,07:42:00,4,4,Bright Angel Lodge,,,,,3.203,1
village_spring_T03,07:45:00,07:45:00,5,5,Hermits Rest Transfer,,,,,3.569,1
village_spring_T03,07:48:00,07:48:00,6,6,Maswik Lodge,,,,,3.814,1
village_spring_T03,07:51:00,07:51:00,7,7,Backcountry Info Center,,,,,4.369,1
village_spring_T03,07:55:00,07:55:00,8,8,Center Road,,,,,4.704,1
village_spring_T03,07:59:00,07:59:00,9,9,Village East,,,,,5.364,1
village_spring_T03,08:02:00,08:02:00,10,10,Shrine of the Ages Eastbound,,,,,5.849,1
village_spring_T03,08:05:00,08:05:00,11,11,Mather Campground,,,,,6.849,1
village_spring_T03,08:08:00,08:08:00,12,12,Trailer Village,,,,,7.329,1
village_spring_T03,08:12:00,08:12:00,13,13,Market Plaza Eastbound,,,,,7.891,1
village_spring_T03,08:14:00,08:14:00,14,14,Grand Canyon Visitor Center,,,,,8.614,1
village_spring_T03,08:20:00,08:20:00,1,15,,,,,,10.432,1
village_spring_T04,07:45:00,07:45:00,1,1,Market Plaza Westbound,,,,,0,1
village_spring_T04,07:50:00,07:50:00,2,2,Shrine of the Ages Westbound,,,,,1.367,1
village_spring_T04,07:53:00,07:53:00,3,3,Train Depot,,,,,1.88,1
village_spring_T04,07:57:00,07:57:00,4,4,Bright Angel Lodge,,,,,3.203,1
village_spring_T04,08:00:00,08:00:00,5,5,Hermits Rest Transfer,,,,,3.569,1
village_spring_T04,08:03:00,08:03:00,6,6,Maswik Lodge,,,,,3.814,1
village_spring_T04,08:06:00,08:06:00,7,7,Backcountry Info Center,,,,,4.369,1
village_spring_T04,08:10:00,08:10:00,8,8,Center Road,,,,,4.704,1
village_spring_T04,08:14:00,08:14:00,9,9,Village East,,,,,5.364,1
village_spring_T04,08:17:00,08:17:00,10,10,Shrine of the Ages Eastbound,,,,,5.849,1
village_spring_T04,08:20:00,08:20:00,11,11,Mather Campground,,,,,6.849,1
village_spring_T04,08:23:00,08:23:00,12,12,Trailer Village,,,,,7.329,1
village_spring_T04,08:27:00,08:27:00,13,13,Market Plaza Eastbound,,,,,7.891,1
village_spring_T04,08:29:00,08:29:00,14,14,Grand Canyon Visitor Center,,,,,8.614,1
village_spring_T04,08:35:00,08:35:00,1,15,,,,,,10.432,1
village_spring_T05,08:00:00,08:00:00,1,1,Market Plaza Westbound,,,,,0,1
village_spring_T05,08:05:00,08:05:00,2,2,Shrine of the Ages Westbound,,,,,1.367,1
village_spring_T05,08:08:00,08:08:00,3,3,Train Depot,,,,,1.88,1
village_spring_T05,08:12:00,08:12:00,4,4,Bright Angel Lodge,,,,,3.203,1
village_spring_T05,08:15:00,08:15:00,5,5,Hermits Rest Transfer,,,,,3.569,1
village_spring_T05,08:18:00,08:18:00,6,6,Maswik Lodge,,,,,3.814,1
village_spring_T05,08:21:00,08:21:00,7,7,Backcountry Info Center,,,,,4.369,1
village_spring_T05,08:25:00,08:25:00,8,8,Center Road,,,,,4.704,1
village_spring_T05,08:29:00,08:29:00,9,9,Village East,,,,,5.364,1
village_spring_T05,08:32:00,08:32:00,10,10,Shrine of the Ages Eastbound,,,,,5.849,1
village_spring_T05,08:35:00,08:35:00,11,11,Mather Campground,,,,,6.849,1
village_spring_T05,08:38:00,08:38:00,12,12,Trailer Village,,,,,7.329,1
village_spring_T05,08:42:00,08:42:00,13,13,Market Plaza Eastbound,,,,,7.891,1
village_spring_T05,08:44:00,08:44:00,14,14,Grand Canyon Visitor Center,,,,,8.614,1
village_spring_T05,08:50:00,08:50:00,1,15,,,,,,10.432,1
village_spring_T06,08:15:00,08:15:00,1,1,Market Plaza Westbound,,,,,0,1
village_spring_T06,08:20:00,08:20:00,2,2,Shrine of the Ages Westbound,,,,,1.367,1
village_spring_T06,08:23:00,08:23:00,3,3,Train Depot,,,,,1.88,1
village_spring_T06,08:27:00,08:27:00,4,4,Bright Angel Lodge,,,,,3.203,1
village_spring_T06,08:30:00,08:30:00,5,5,Hermits Rest Transfer,,,,,3.569,1
