trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
lower_town_est_T01,09:00:00,09:00:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T01,09:07:00,09:07:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T01,09:14:00,09:14:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T02,09:15:00,09:15:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T02,09:22:00,09:22:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T02,09:29:00,09:29:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T03,09:30:00,09:30:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T03,09:37:00,09:37:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T03,09:44:00,09:44:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T04,09:45:00,09:45:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T04,09:52:00,09:52:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T04,09:59:00,09:59:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T05,10:00:00,10:00:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T05,10:07:00,10:07:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T05,10:14:00,10:14:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T06,10:15:00,10:15:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T06,10:22:00,10:22:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T06,10:29:00,10:29:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T07,10:30:00,10:30:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T07,10:37:00,10:37:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T07,10:44:00,10:44:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T08,10:45:00,10:45:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T08,10:52:00,10:52:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T08,10:59:00,10:59:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T09,11:00:00,11:00:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T09,11:07:00,11:07:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T09,11:14:00,11:14:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T10,11:15:00,11:15:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T10,11:22:00,11:22:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T10,11:29:00,11:29:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T11,11:30:00,11:30:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T11,11:37:00,11:37:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T11,11:44:00,11:44:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T12,11:45:00,11:45:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T12,11:52:00,11:52:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T12,11:59:00,11:59:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T13,12:00:00,12:00:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T13,12:07:00,12:07:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T13,12:14:00,12:14:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T14,12:15:00,12:15:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T14,12:22:00,12:22:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T14,12:29:00,12:29:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T15,12:30:00,12:30:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T15,12:37:00,12:37:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T15,12:44:00,12:44:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T16,12:45:00,12:45:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T16,12:52:00,12:52:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T16,12:59:00,12:59:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T17,13:00:00,13:00:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T17,13:07:00,13:07:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T17,13:14:00,13:14:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T18,13:15:00,13:15:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T18,13:22:00,13:22:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T18,13:29:00,13:29:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T19,13:30:00,13:30:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T19,13:37:00,13:37:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T19,13:44:00,13:44:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T20,13:45:00,13:45:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T20,13:52:00,13:52:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T20,13:59:00,13:59:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T21,14:00:00,14:00:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T21,14:07:00,14:07:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
lower_town_est_T21,14:14:00,14:14:00,1,3,,,,,,5.93838209931493,1
lower_town_est_T22,14:15:00,14:15:00,1,1,Lower Town,,,,,0.0,1
lower_town_est_T22,14:22:00,14:22:00,2,2,Harpers Ferry National Historical Park Visitor Center,,,,,2.96129640523541,1
