shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
lowertown,39.31644,-77.75726,1,0
lowertown,39.31646,-77.75729,2,3.40936846178556E-03
lowertown,39.31647,-77.75732,3,6.22469378131707E-03
lowertown,39.31647,-77.75736,4,9.67426128999791E-03
lowertown,39.31647,-77.7574,5,1.31238287986788E-02
lowertown,39.31646,-77.75743,6,1.59391541167979E-02
lowertown,39.31645,-77.75748,7,2.03917465782224E-02
lowertown,39.31642,-77.75754,8,2.65453747021833E-02
lowertown,39.31638,-77.7576,9,3.33641144007886E-02
lowertown,39.31628,-77.75769,10,4.69103068115545E-02
lowertown,39.31641,-77.75785,11,6.68777452560873E-02
lowertown,39.31646,-77.7579,12,7.39067893322325E-02
lowertown,39.3164,-77.75798,13,8.34969365540576E-02
lowertown,39.31623,-77.75822,14,0.111507639415266
lowertown,39.31621,-77.75824,15,0.114319260220378
lowertown,39.31612,-77.75834,16,0.12751817776252
lowertown,39.31609,-77.75837,17,0.131735611514339
lowertown,39.31607,-77.75839,18,0.134547234386179
lowertown,39.31602,-77.75844,19,0.141576292854263
lowertown,39.31594,-77.75849,20,0.151449399182801
lowertown,39.31592,-77.75851,21,0.154261024267808
lowertown,39.31588,-77.75853,22,0.159025074077536
lowertown,39.31578,-77.75859,23,0.171273835919777
lowertown,39.31576,-77.7586,24,0.173655861355073
lowertown,39.31574,-77.75861,25,0.17603788687385
lowertown,39.3156,-77.75866,26,0.192167940459692
lowertown,39.31558,-77.75867,27,0.194549966632179
lowertown,39.31545,-77.75869,28,0.209085459907781
lowertown,39.31541,-77.7587,29,0.213609283720842
lowertown,39.31536,-77.7587,30,0.21916035904096
lowertown,39.31525,-77.7587,31,0.231372724577322
lowertown,39.31516,-77.7587,32,0.241364659844041
lowertown,39.31506,-77.75867,33,0.252764285894985
lowertown,39.31494,-77.75863,34,0.266526231573448
lowertown,39.3149,-77.75862,35,0.271050056197448
lowertown,39.31488,-77.7586,36,0.273861696634536
lowertown,39.31482,-77.75858,37,0.280742670229128
lowertown,39.31473,-77.75853,38,0.291625346674725
lowertown,39.31471,-77.75852,39,0.294007376403351
lowertown,39.31468,-77.7585,40,0.297758139539076
lowertown,39.31458,-77.75842,41,0.310829416233024
lowertown,39.31455,-77.7584,42,0.31458018077215
lowertown,39.31454,-77.75839,43,0.315986003534845
lowertown,39.31436,-77.75821,44,0.341290825910819
lowertown,39.3143,-77.75813,45,0.350881119839619
lowertown,39.31419,-77.758,46,0.367459371187028
lowertown,39.31417,-77.75796,47,0.371561882586582
lowertown,39.31406,-77.75777,48,0.391998189567362
lowertown,39.31405,-77.75775,49,0.394049447833251
lowertown,39.31404,-77.75774,50,0.39545527428691
lowertown,39.31395,-77.75742,51,0.424805937306875
lowertown,39.31394,-77.75734,52,0.43179407459956
lowertown,39.31393,-77.75731,53,0.434609485356097
lowertown,39.3139,-77.75711,54,0.452176577689754
lowertown,39.31389,-77.75706,55,0.456629322210834
lowertown,39.31391,-77.75664,56,0.49291909962334
lowertown,39.31399,-77.75627,57,0.526041755171852
lowertown,39.31401,-77.75621,58,0.531672572300784
lowertown,39.3141,-77.75597,59,0.554656278759586
lowertown,39.31417,-77.75579,60,0.572016506005173
lowertown,39.31418,-77.75576,61,0.574831908658368
lowertown,39.31426,-77.75553,62,0.596565244330087
lowertown,39.31459,-77.75466,63,0.680062663418837
lowertown,39.31464,-77.75456,64,0.690318897235072
lowertown,39.31464,-77.75454,65,0.692043725922743
lowertown,39.31474,-77.7543,66,0.715531212082189
lowertown,39.3149,-77.75389,67,0.755101294324495
lowertown,39.31496,-77.75373,68,0.770423610950996
lowertown,39.31499,-77.75368,69,0.775872187005268
lowertown,39.31519,-77.7533,70,0.81545759417804
lowertown,39.3152,-77.75328,71,0.817508829024899
lowertown,39.31529,-77.75314,72,0.833180871872071
lowertown,39.31531,-77.75312,73,0.835992506255059
lowertown,39.31541,-77.75297,74,0.853039499541613
lowertown,39.31542,-77.75295,75,0.85509072987142
lowertown,39.31552,-77.75281,76,0.871492893565122
lowertown,39.31553,-77.7528,77,0.872898709096918
lowertown,39.31566,-77.75264,78,0.892866248000504
lowertown,39.31568,-77.75262,79,0.895677876923618
lowertown,39.3158,-77.75249,80,0.913090011491942
lowertown,39.31582,-77.75247,81,0.915901638346915
lowertown,39.31593,-77.75233,82,0.933074682392873
lowertown,39.31595,-77.75231,83,0.935886307328615
lowertown,39.31602,-77.75223,84,0.946278373086089
lowertown,39.31609,-77.75216,85,0.956119054424955
lowertown,39.31623,-77.75201,86,0.976340915688876
lowertown,39.31635,-77.75189,87,0.993210634313727
lowertown,39.31637,-77.75187,88,0.996022253052463
lowertown,39.31649,-77.75174,89,1.01343431792462
lowertown,39.31651,-77.75172,90,1.01624593459592
lowertown,39.3172,-77.75099,91,1.11540007468309
lowertown,39.31734,-77.75084,92,1.13562180746629
lowertown,39.31746,-77.75072,93,1.15249142778341
lowertown,39.31748,-77.7507,94,1.15530303013864
lowertown,39.31774,-77.75043,95,1.19238910731346
lowertown,39.3179,-77.75026,96,1.21542097323501
lowertown,39.31816,-77.74999,97,1.25250696462403
lowertown,39.31818,-77.74997,98,1.25531855664385
lowertown,39.3183,-77.74984,99,1.27273043868824
lowertown,39.31837,-77.74978,100,1.28206686453684
lowertown,39.31844,-77.7497,101,1.2924587749177
lowertown,39.31858,-77.74955,102,1.31268036416878
lowertown,39.31862,-77.74951,103,1.31830353551589
lowertown,39.31872,-77.7494,104,1.33290635514464
lowertown,39.31896,-77.74913,105,1.36829138856404
lowertown,39.31899,-77.74909,106,1.37308637327576
lowertown,39.31915,-77.74887,107,1.39907625493946
lowertown,39.31922,-77.74873,108,1.41343432509194
lowertown,39.31925,-77.74868,109,1.41888269568
lowertown,39.31931,-77.74856,110,1.43118960124236
lowertown,39.31932,-77.74854,111,1.43324075145001
lowertown,39.31941,-77.74834,112,1.45317319464612
lowertown,39.3195,-77.74816,113,1.47163352063277
lowertown,39.31951,-77.74814,114,1.47368466693713
lowertown,39.31969,-77.74778,115,1.5106052652865
lowertown,39.31971,-77.74776,116,1.51341683472192
lowertown,39.31983,-77.74759,117,1.53322608101598
lowertown,39.31986,-77.74755,118,1.53802103533643
lowertown,39.32005,-77.74729,119,1.5688052169482
lowertown,39.32029,-77.74698,120,1.60654915935298
lowertown,39.32032,-77.74691,121,1.61344346893818
lowertown,39.32036,-77.74683,122,1.62164798553636
lowertown,39.3204,-77.7467,123,1.63370600853558
lowertown,39.32043,-77.74663,124,1.64060030987448
lowertown,39.32046,-77.74638,125,1.66241465037307
lowertown,39.3205,-77.74603,126,1.69292159952329
lowertown,39.3205,-77.74602,127,1.6937839419212
lowertown,39.32057,-77.7458,128,1.7142855296688
lowertown,39.32059,-77.74574,129,1.71991590235429
lowertown,39.32077,-77.74542,130,1.75398691009128
lowertown,39.32081,-77.74534,131,1.76219138970831
lowertown,39.32088,-77.74524,132,1.77379996934031
lowertown,39.3209,-77.74521,133,1.77720921481028
lowertown,39.32096,-77.74504,134,1.79331140681992
lowertown,39.32097,-77.74502,135,1.795362523129
lowertown,39.32104,-77.74484,136,1.8127213968871
lowertown,39.32104,-77.74483,137,1.81358373265468
lowertown,39.32108,-77.74466,138,1.82890131065903
lowertown,39.32109,-77.7446,139,1.83419309416836
lowertown,39.3211,-77.74438,140,1.85319692368595
lowertown,39.3211,-77.74437,141,1.85405925871681
lowertown,39.3211,-77.74414,142,1.87389296442059
lowertown,39.3211,-77.74393,143,1.89200200006264
lowertown,39.3211,-77.74391,144,1.89372667012437
lowertown,39.3211,-77.74367,145,1.91442271085901
lowertown,39.32109,-77.7436,146,1.92056030392454
lowertown,39.32111,-77.74344,147,1.93453519126287
lowertown,39.32117,-77.74322,148,1.95464204016705
lowertown,39.32125,-77.74312,149,1.96702133962608
lowertown,39.32125,-77.74311,150,1.96788367281517
lowertown,39.3213,-77.74306,151,1.97491253828004
lowertown,39.3213,-77.74305,152,1.9757748708552
lowertown,39.32137,-77.74297,153,1.98616659310863
lowertown,39.3215,-77.74281,154,2.00613334973504
lowertown,39.32164,-77.74266,155,2.02635458478199
lowertown,39.3217,-77.74259,156,2.03534400955528
lowertown,39.32174,-77.74253,157,2.04216245451038
lowertown,39.32185,-77.74238,158,2.05995160226022
lowertown,39.32187,-77.74234,159,2.06405379810311
lowertown,39.32188,-77.74232,160,2.06610489571609
lowertown,39.3219,-77.74229,161,2.06951411348414
lowertown,39.32191,-77.74227,162,2.071565210483
lowertown,39.32191,-77.74225,163,2.07328986065339
lowertown,39.32192,-77.74223,164,2.07534095744354
lowertown,39.32193,-77.7422,165,2.07815609836011
lowertown,39.32194,-77.74218,166,2.08020719474097
lowertown,39.32199,-77.74191,167,2.10414255303061
lowertown,39.32202,-77.74168,168,2.12425371825159
lowertown,39.32206,-77.74146,169,2.14373767462113
lowertown,39.3221,-77.74123,170,2.16406219648452
lowertown,39.32212,-77.74111,171,2.17464561592215
lowertown,39.32214,-77.741,172,2.18438758227901
lowertown,39.32218,-77.74077,173,2.20471208210837
lowertown,39.32222,-77.74055,174,2.22419599642116
lowertown,39.32225,-77.74032,175,2.24430709760608
lowertown,39.32228,-77.74017,176,2.25766383958965
lowertown,39.32235,-77.73987,177,2.28467555592194
lowertown,39.32238,-77.73975,178,2.29554619951333
lowertown,39.32241,-77.73965,179,2.3047902598946
lowertown,39.32246,-77.73943,180,2.32455673996432
lowertown,39.32251,-77.73923,181,2.34267445126572
lowertown,39.32251,-77.73921,182,2.34439908670156
lowertown,39.32254,-77.73898,183,2.36451010714604
lowertown,39.32257,-77.73882,184,2.37870350326781
lowertown,39.32256,-77.73855,185,2.40201251841919
lowertown,39.32256,-77.73852,186,2.40459946973113
lowertown,39.32255,-77.73828,187,2.42532483908847
lowertown,39.32253,-77.73805,188,2.4452820451222
lowertown,39.32252,-77.73782,189,2.46514639759383
lowertown,39.3225,-77.73759,190,2.48510361204609
lowertown,39.32249,-77.73736,191,2.50496797297669
lowertown,39.32248,-77.73719,192,2.51966935988563
lowertown,39.32247,-77.73713,193,2.52496104332705
lowertown,39.32246,-77.73689,194,2.54568643916786
lowertown,39.32244,-77.73666,195,2.56564367045737
lowertown,39.32242,-77.73641,196,2.58731568662056
lowertown,39.32241,-77.73629,197,2.59772290027451
lowertown,39.3224,-77.73618,198,2.60727316010813
lowertown,39.32237,-77.73583,199,2.63763755501945
lowertown,39.32235,-77.7356,200,2.65759481156437
lowertown,39.32234,-77.73545,201,2.67057716620529
lowertown,39.32233,-77.73537,202,2.67756449013977
lowertown,39.3223,-77.73514,203,2.697675569051
lowertown,39.32228,-77.73502,204,2.70825896257146
lowertown,39.32226,-77.73491,205,2.71800091052949
lowertown,39.32222,-77.73469,206,2.73748481433011
lowertown,39.3221,-77.73401,207,2.79761712296311
lowertown,39.32207,-77.73391,208,2.80686121878859
lowertown,39.32206,-77.73388,209,2.80967635497494
lowertown,39.32203,-77.73371,210,2.82470945552624
lowertown,39.32203,-77.73368,211,2.82729642636027
lowertown,39.32202,-77.73351,212,2.84199790900954
lowertown,39.32202,-77.73327,213,2.86269367863108
lowertown,39.32202,-77.73322,214,2.86700529730254
lowertown,39.32203,-77.73303,215,2.88342701902941
lowertown,39.32207,-77.73266,216,2.91564055435643
lowertown,39.32209,-77.73253,217,2.92706854115318
lowertown,39.32202,-77.7325,218,2.93525931944777
lowertown,39.32196,-77.73248,219,2.94214025703007
lowertown,39.32193,-77.73246,220,2.94589094199567
lowertown,39.32192,-77.73245,221,2.94729671029088
lowertown,39.32192,-77.73243,222,2.9490213602157
lowertown,39.32194,-77.73229,223,2.96129640523541
lowertown,39.32192,-77.73243,224,2.97357145025512
lowertown,39.32192,-77.73245,225,2.97529610017994
lowertown,39.32193,-77.73246,226,2.97670186847515
lowertown,39.32196,-77.73248,227,2.98045255344075
