trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
WinterFullOutbound_T01,10:00:00,10:00:00,3,1,,,,,,0.0,1
WinterFullOutbound_T01,10:09:00,10:09:00,4,2,,,,,,3.572,1
WinterFullOutbound_T01,10:18:00,10:18:00,5,3,,,,,,6.426,1
WinterFullOutbound_T01,10:23:00,10:23:00,7,4,,,,,,11.294,1
WinterFullOutbound_T01,10:30:00,10:30:00,9,5,,,,,,15.374,1
WinterFullOutbound_T02,10:15:00,10:15:00,3,1,,,,,,0.0,1
WinterFullOutbound_T02,10:24:00,10:24:00,4,2,,,,,,3.572,1
WinterFullOutbound_T02,10:33:00,10:33:00,5,3,,,,,,6.426,1
WinterFullOutbound_T02,10:38:00,10:38:00,7,4,,,,,,11.294,1
WinterFullOutbound_T02,10:45:00,10:45:00,9,5,,,,,,15.374,1
WinterFullOutbound_T03,10:30:00,10:30:00,3,1,,,,,,0.0,1
WinterFullOutbound_T03,10:39:00,10:39:00,4,2,,,,,,3.572,1
WinterFullOutbound_T03,10:48:00,10:48:00,5,3,,,,,,6.426,1
WinterFullOutbound_T03,10:53:00,10:53:00,7,4,,,,,,11.294,1
WinterFullOutbound_T03,11:00:00,11:00:00,9,5,,,,,,15.374,1
WinterFullOutbound_T04,10:45:00,10:45:00,3,1,,,,,,0.0,1
WinterFullOutbound_T04,10:54:00,10:54:00,4,2,,,,,,3.572,1
WinterFullOutbound_T04,11:03:00,11:03:00,5,3,,,,,,6.426,1
WinterFullOutbound_T04,11:08:00,11:08:00,7,4,,,,,,11.294,1
WinterFullOutbound_T04,11:15:00,11:15:00,9,5,,,,,,15.374,1
WinterFullOutbound_T05,11:00:00,11:00:00,3,1,,,,,,0.0,1
WinterFullOutbound_T05,11:09:00,11:09:00,4,2,,,,,,3.572,1
WinterFullOutbound_T05,11:18:00,11:18:00,5,3,,,,,,6.426,1
WinterFullOutbound_T05,11:23:00,11:23:00,7,4,,,,,,11.294,1
WinterFullOutbound_T05,11:30:00,11:30:00,9,5,,,,,,15.374,1
WinterFullOutbound_T06,11:15:00,11:15:00,3,1,,,,,,0.0,1
WinterFullOutbound_T06,11:24:00,11:24:00,4,2,,,,,,3.572,1
WinterFullOutbound_T06,11:33:00,11:33:00,5,3,,,,,,6.426,1
WinterFullOutbound_T06,11:38:00,11:38:00,7,4,,,,,,11.294,1
WinterFullOutbound_T06,11:45:00,11:45:00,9,5,,,,,,15.374,1
WinterFullOutbound_T07,11:30:00,11:30:00,3,1,,,,,,0.0,1
WinterFullOutbound_T07,11:39:00,11:39:00,4,2,,,,,,3.572,1
WinterFullOutbound_T07,11:48:00,11:48:00,5,3,,,,,,6.426,1
WinterFullOutbound_T07,11:53:00,11:53:00,7,4,,,,,,11.294,1
