trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Route1OutboundDailyEarly_T01,08:00:00,08:00:00,8,1,,,,,,0,1
Route1OutboundDailyEarly_T01,08:06:00,08:06:00,7,2,,,,,,0.736,1
Route1OutboundDailyEarly_T01,08:16:00,08:16:00,4,3,,,,,,4.464,1
Route1OutboundDailyEarly_T01,08:24:00,08:24:00,3,4,,,,,,8.046,1
Route1OutboundDailyEarly_T02,08:23:00,08:23:00,8,1,,,,,,0,1
Route1OutboundDailyEarly_T02,08:29:00,08:29:00,7,2,,,,,,0.736,1
Route1OutboundDailyEarly_T02,08:39:00,08:39:00,4,3,,,,,,4.464,1
Route1OutboundDailyEarly_T02,08:47:00,08:47:00,3,4,,,,,,8.046,1
Route1OutboundDailyEarly_T03,08:51:00,08:51:00,8,1,,,,,,0,1
Route1OutboundDailyEarly_T03,08:57:00,08:57:00,7,2,,,,,,0.736,1
Route1OutboundDailyEarly_T03,09:07:00,09:07:00,4,3,,,,,,4.464,1
Route1OutboundDailyEarly_T03,09:15:00,09:15:00,3,4,,,,,,8.046,1
Route1OutboundDailyEarly_T04,09:02:00,09:02:00,8,1,,,,,,0,1
Route1OutboundDailyEarly_T04,09:08:00,09:08:00,7,2,,,,,,0.736,1
Route1OutboundDailyEarly_T04,09:18:00,09:18:00,4,3,,,,,,4.464,1
Route1OutboundDailyEarly_T04,09:26:00,09:26:00,3,4,,,,,,8.046,1
Route1OutboundDailyEarly_T05,09:14:00,09:14:00,8,1,,,,,,0,1
Route1OutboundDailyEarly_T05,09:20:00,09:20:00,7,2,,,,,,0.736,1
Route1OutboundDailyEarly_T05,09:30:00,09:30:00,4,3,,,,,,4.464,1
Route1OutboundDailyEarly_T05,09:38:00,09:38:00,3,4,,,,,,8.046,1
Route1OutboundDailyEarly_T06,09:25:00,09:25:00,8,1,,,,,,0,1
Route1OutboundDailyEarly_T06,09:31:00,09:31:00,7,2,,,,,,0.736,1
Route1OutboundDailyEarly_T06,09:41:00,09:41:00,4,3,,,,,,4.464,1
Route1OutboundDailyEarly_T06,09:49:00,09:49:00,3,4,,,,,,8.046,1
Route1OutboundDailyEarly_T07,09:42:00,09:42:00,8,1,,,,,,0,1
Route1OutboundDailyEarly_T07,09:48:00,09:48:00,7,2,,,,,,0.736,1
Route1OutboundDailyEarly_T07,09:58:00,09:58:00,4,3,,,,,,4.464,1
Route1OutboundDailyEarly_T07,10:06:00,10:06:00,3,4,,,,,,8.046,1
Route1OutboundDailyEarly_T08,09:53:00,09:53:00,8,1,,,,,,0,1
Route1OutboundDailyEarly_T08,09:59:00,09:59:00,7,2,,,,,,0.736,1
Route1OutboundDailyEarly_T08,10:09:00,10:09:00,4,3,,,,,,4.464,1
