route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1ob,12dailyearly,Route1OutboundDailyEarly_T01,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T02,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T03,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T04,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T05,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T06,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T07,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T08,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T09,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T10,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T11,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T12,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T13,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T14,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T15,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T16,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T17,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T18,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T19,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T20,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T21,Giant Forest Museum,0,,1ob,,
1ob,12dailyearly,Route1OutboundDailyEarly_T22,Giant Forest Museum,0,,1ob,,
