shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
NJ,40.707675,-74.033775,1,0
NJ,40.707383,-74.031185,2,0.221
NJ,40.696712,100,3,1.552
NJ,40.698939,-74.040506,4,1.859
NJ,40.698201,-74.040076,5,1.949
NJ,40.696118,-74.03793,6,2.243
NJ,40.693483,-74.036128,7,2.573
NJ,40.687495,-74.041063,8,3.358
NJ,40.686486,-74.042394,9,3.517
NJ,40.686128,-74.043853,10,3.646
NJ,40.686128,-74.045226,11,3.762
NJ,40.687235,-74.047372,12,3.981
NJ,40.688341,-74.048316,13,4.127
NJ,40.689703,-74.04705,14,4.312
NJ,40.688341,-74.048316,15,4.498
NJ,40.686398,-74.046037,16,4.787
NJ,40.686486,-74.042394,17,5.094
NJ,40.687495,-74.041063,18,5.253
NJ,40.693483,-74.036128,19,6.038
NJ,40.698438,-74.034192,20,6.613
NJ,40.707383,-74.031185,21,7.639
NJ,40.707675,-74.033775,22,7.86
EILSP,40.698939,-74.040506,1,0
EILSP,40.698171,-74.040118,2,0.091
EILSP,40.697695,-74.039144,3,0.189
EILSP,40.698037,-74.037535,4,0.33
EILSP,40.698623,-74.035904,5,0.482
EILSP,40.699208,-74.034274,6,0.634
EILSP,40.700607,-74.0326,7,0.844
EILSP,40.701649,-74.03187,8,0.975
EILSP,40.702917,-74.031484,9,1.12
EILSP,40.704544,-74.031012,10,1.305
EILSP,40.706171,-74.031312,11,1.488
EILSP,40.707435,-74.032417,12,1.657
EILSP,40.707509,-74.033552,13,1.753
EILILSP,40.698903,-74.040432,1,0
EILILSP,40.698699,-74.040471,2,0.023
EILILSP,40.698162,-74.039956,3,0.097
EILILSP,40.697641,-74.039366,4,0.173
EILILSP,40.697169,-74.038776,5,0.245
EILILSP,40.696511,-74.038197,6,0.333
EILILSP,40.695925,-74.037671,7,0.412
EILILSP,40.695342,-74.037216,8,0.488
EILILSP,40.694796,-74.036822,9,0.557
EILILSP,40.694471,-74.036769,10,0.593
EILILSP,40.69329,-74.037645,11,0.744
EILILSP,40.691891,-74.038504,12,0.915
EILILSP,40.689646,-74.041036,13,1.244
EILILSP,40.688311,-74.042495,14,1.437
EILILSP,40.688149,-74.04507,15,1.655
EILILSP,40.688767,-74.047001,16,1.831
EILILSP,40.689478,-74.047864,17,1.939
EILILSP,40.689819,-74.04781,18,1.977
EILILSP,40.689468,-74.048039,19,2.02
EILILSP,40.688768,-74.048071,20,2.098
EILILSP,40.687458,-74.046278,21,2.308
EILILSP,40.686905,-74.043875,22,2.52
EILILSP,40.687783,-74.038339,23,2.997
EILILSP,40.688694,-74.034906,24,3.304
EILILSP,40.691688,-74.031387,25,3.749
EILILSP,40.697285,-74.030357,26,4.378
EILILSP,40.700473,-74.030013,27,4.734
EILILSP,40.703597,-74.029842,28,5.081
EILILSP,40.705744,-74.030528,29,5.327
EILILSP,40.707435,-74.032417,30,5.573
EILILSP,40.707509,-74.033552,31,5.669
EIBP,40.698939,-74.040506,1,0
EIBP,40.698624,-74.040726,2,0.04
EIBP,40.698171,-74.040118,3,0.111
EIBP,40.697695,-74.039144,4,0.209
EIBP,40.696609,-74.037275,5,0.408
EIBP,40.696121,-74.036331,6,0.504
EIBP,40.696056,-74.035043,7,0.613
EIBP,40.696088,-74.032383,8,0.837
EIBP,40.696316,-74.029464,9,1.085
EIBP,40.696739,-74.026632,10,1.328
EIBP,40.698463,-74.022855,11,1.7
EIBP,40.69945,-74.02087,12,1.9
EIBP,40.700253,-74.019122,13,2.072
EIBP,40.700869,-74.017544,14,2.222
