trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Liberty State Park Loop Early_T01,09:00:00,09:00:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Early_T01,09:20:00,09:20:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Early_T01,09:40:00,09:40:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Early_T01,09:55:00,09:55:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Early_T02,09:45:00,09:45:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Early_T02,10:05:00,10:05:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Early_T02,10:25:00,10:25:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Early_T02,10:40:00,10:40:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Early_T03,10:30:00,10:30:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Early_T03,10:50:00,10:50:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Early_T03,11:10:00,11:10:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Early_T03,11:25:00,11:25:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Early_T04,11:10:00,11:10:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Early_T04,11:30:00,11:30:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Early_T04,11:50:00,11:50:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Early_T04,12:05:00,12:05:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Early_T05,11:50:00,11:50:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Early_T05,12:10:00,12:10:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Early_T05,12:30:00,12:30:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Early_T05,12:45:00,12:45:00,1_NJ,4,,,,,,7.86,1
Liberty State Park Loop Early_T06,12:30:00,12:30:00,1_NJ,1,,,,,,0,1
Liberty State Park Loop Early_T06,12:50:00,12:50:00,2_NJ,2,,,,,,1.859,1
Liberty State Park Loop Early_T06,13:10:00,13:10:00,3_NJ,3,,,,,,4.312,1
Liberty State Park Loop Early_T06,13:25:00,13:25:00,1_NJ,4,,,,,,7.86,1
