route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
NJ,NJEarly,Liberty State Park Loop Early_T01,Liberty Island,1,,NJ,1,2
NJ,NJEarly,Liberty State Park Loop Early_T02,Liberty Island,1,,NJ,1,2
NJ,NJEarly,Liberty State Park Loop Early_T03,Liberty Island,1,,NJ,1,2
NJ,NJEarly,Liberty State Park Loop Early_T04,Liberty Island,1,,NJ,1,2
NJ,NJEarly,Liberty State Park Loop Early_T05,Liberty Island,1,,NJ,1,2
NJ,NJEarly,Liberty State Park Loop Early_T06,Liberty Island,1,,NJ,1,2
NJ,NJEarly,Liberty State Park Loop Early_T07,Liberty Island,1,,NJ,1,2
NJ,NJEarly,Liberty State Park Loop Early_T08,Liberty Island,1,,NJ,1,2
NJ,NJEarly,Liberty State Park Loop Early_T09,Liberty Island,1,,NJ,1,2
NJ,NJEarly,Liberty State Park Loop Early_T10,Liberty Island,1,,NJ,1,2
NJ,NJEarly,Liberty State Park Loop Early_T11,Liberty Island,1,,NJ,1,2
NJ,NJFall,Liberty State Park Loop Fall_T01,Liberty Island,1,,NJ,1,2
NJ,NJFall,Liberty State Park Loop Fall_T02,Liberty Island,1,,NJ,1,2
NJ,NJFall,Liberty State Park Loop Fall_T03,Liberty Island,1,,NJ,1,2
NJ,NJFall,Liberty State Park Loop Fall_T04,Liberty Island,1,,NJ,1,2
NJ,NJFall,Liberty State Park Loop Fall_T05,Liberty Island,1,,NJ,1,2
NJ,NJFall,Liberty State Park Loop Fall_T06,Liberty Island,1,,NJ,1,2
NJ,NJFall,Liberty State Park Loop Fall_T07,Liberty Island,1,,NJ,1,2
NJ,NJFall,Liberty State Park Loop Fall_T08,Liberty Island,1,,NJ,1,2
NJ,NJFall,Liberty State Park Loop Fall_T09,Liberty Island,1,,NJ,1,2
NJ,NJFall,Liberty State Park Loop Fall_T10,Liberty Island,1,,NJ,1,2
NJ,NJFall,Liberty State Park Loop Fall_T11,Liberty Island,1,,NJ,1,2
NJ,NJWinter,Liberty State Park Loop Winter_T01,Liberty Island,1,,NJ,1,2
NJ,NJWinter,Liberty State Park Loop Winter_T02,Liberty Island,1,,NJ,1,2
NJ,NJWinter,Liberty State Park Loop Winter_T03,Liberty Island,1,,NJ,1,2
