trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Winter Canyon Route OB_T01,07:00:00,07:00:00,1,1,,,,,,0.0,1
Winter Canyon Route OB_T01,,,2,2,,,,,,5.206639622,0
Winter Canyon Route OB_T01,,,3,3,,,,,,7.1711473,0
Winter Canyon Route OB_T01,,,4,4,,,,,,8.277465644,0
Winter Canyon Route OB_T01,,,5,5,,,,,,10.171163094,0
Winter Canyon Route OB_T01,07:45:00,07:45:00,6,6,,,,,,12.86131371,1
Winter Canyon Route OB_T02,07:05:00,07:05:00,1,1,,,,,,0.0,1
Winter Canyon Route OB_T02,,,2,2,,,,,,5.206639622,0
Winter Canyon Route OB_T02,,,3,3,,,,,,7.1711473,0
Winter Canyon Route OB_T02,,,4,4,,,,,,8.277465644,0
Winter Canyon Route OB_T02,,,5,5,,,,,,10.171163094,0
Winter Canyon Route OB_T02,07:50:00,07:50:00,6,6,,,,,,12.86131371,1
Winter Canyon Route OB_T03,07:10:00,07:10:00,1,1,,,,,,0.0,1
Winter Canyon Route OB_T03,,,2,2,,,,,,5.206639622,0
Winter Canyon Route OB_T03,,,3,3,,,,,,7.1711473,0
Winter Canyon Route OB_T03,,,4,4,,,,,,8.277465644,0
Winter Canyon Route OB_T03,,,5,5,,,,,,10.171163094,0
Winter Canyon Route OB_T03,07:55:00,07:55:00,6,6,,,,,,12.86131371,1
Winter Canyon Route OB_T04,07:15:00,07:15:00,1,1,,,,,,0.0,1
Winter Canyon Route OB_T04,,,2,2,,,,,,5.206639622,0
Winter Canyon Route OB_T04,,,3,3,,,,,,7.1711473,0
Winter Canyon Route OB_T04,,,4,4,,,,,,8.277465644,0
Winter Canyon Route OB_T04,,,5,5,,,,,,10.171163094,0
Winter Canyon Route OB_T04,08:00:00,08:00:00,6,6,,,,,,12.86131371,1
Winter Canyon Route OB_T05,07:20:00,07:20:00,1,1,,,,,,0.0,1
Winter Canyon Route OB_T05,,,2,2,,,,,,5.206639622,0
Winter Canyon Route OB_T05,,,3,3,,,,,,7.1711473,0
Winter Canyon Route OB_T05,,,4,4,,,,,,8.277465644,0
Winter Canyon Route OB_T05,,,5,5,,,,,,10.171163094,0
Winter Canyon Route OB_T05,08:05:00,08:05:00,6,6,,,,,,12.86131371,1
Winter Canyon Route OB_T06,07:25:00,07:25:00,1,1,,,,,,0.0,1
Winter Canyon Route OB_T06,,,2,2,,,,,,5.206639622,0
Winter Canyon Route OB_T06,,,3,3,,,,,,7.1711473,0
Winter Canyon Route OB_T06,,,4,4,,,,,,8.277465644,0
Winter Canyon Route OB_T06,,,5,5,,,,,,10.171163094,0
Winter Canyon Route OB_T06,08:10:00,08:10:00,6,6,,,,,,12.86131371,1
Winter Canyon Route OB_T07,07:30:00,07:30:00,1,1,,,,,,0.0,1
Winter Canyon Route OB_T07,,,2,2,,,,,,5.206639622,0
Winter Canyon Route OB_T07,,,3,3,,,,,,7.1711473,0
Winter Canyon Route OB_T07,,,4,4,,,,,,8.277465644,0
Winter Canyon Route OB_T07,,,5,5,,,,,,10.171163094,0
Winter Canyon Route OB_T07,08:15:00,08:15:00,6,6,,,,,,12.86131371,1
Winter Canyon Route OB_T08,07:35:00,07:35:00,1,1,,,,,,0.0,1
Winter Canyon Route OB_T08,,,2,2,,,,,,5.206639622,0
Winter Canyon Route OB_T08,,,3,3,,,,,,7.1711473,0
Winter Canyon Route OB_T08,,,4,4,,,,,,8.277465644,0
Winter Canyon Route OB_T08,,,5,5,,,,,,10.171163094,0
Winter Canyon Route OB_T08,08:20:00,08:20:00,6,6,,,,,,12.86131371,1
Winter Canyon Route OB_T09,07:40:00,07:40:00,1,1,,,,,,0.0,1
Winter Canyon Route OB_T09,,,2,2,,,,,,5.206639622,0
Winter Canyon Route OB_T09,,,3,3,,,,,,7.1711473,0
Winter Canyon Route OB_T09,,,4,4,,,,,,8.277465644,0
Winter Canyon Route OB_T09,,,5,5,,,,,,10.171163094,0
Winter Canyon Route OB_T09,08:25:00,08:25:00,6,6,,,,,,12.86131371,1
Winter Canyon Route OB_T10,07:45:00,07:45:00,1,1,,,,,,0.0,1
Winter Canyon Route OB_T10,,,2,2,,,,,,5.206639622,0
Winter Canyon Route OB_T10,,,3,3,,,,,,7.1711473,0
Winter Canyon Route OB_T10,,,4,4,,,,,,8.277465644,0
Winter Canyon Route OB_T10,,,5,5,,,,,,10.171163094,0
Winter Canyon Route OB_T10,08:30:00,08:30:00,6,6,,,,,,12.86131371,1
Winter Canyon Route OB_T11,07:50:00,07:50:00,1,1,,,,,,0.0,1
Winter Canyon Route OB_T11,,,2,2,,,,,,5.206639622,0
Winter Canyon Route OB_T11,,,3,3,,,,,,7.1711473,0
Winter Canyon Route OB_T11,,,4,4,,,,,,8.277465644,0
Winter Canyon Route OB_T11,,,5,5,,,,,,10.171163094,0
Winter Canyon Route OB_T11,08:35:00,08:35:00,6,6,,,,,,12.86131371,1
