route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
canyon,spring,Spring Canyon Route OB_T01,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T02,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T03,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T04,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T05,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T06,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T07,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T08,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T09,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T10,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T11,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T12,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T13,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T14,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T15,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T16,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T17,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T18,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T19,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T20,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T21,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T22,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T23,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T24,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T25,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T26,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T27,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T28,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T29,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T30,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T31,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T32,Temple of Sinawava,0,,canyonob,1,1
canyon,spring,Spring Canyon Route OB_T33,Temple of Sinawava,0,,canyonob,1,1
