,park, ev ,electric vehicle, charger , alternative fuel , electric car , charging port , nrel , renewable energy ,total,FinalCluster,Label
0,ABLI,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
1,ACAD,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
2,ADAM,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
3,AFBG,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
4,AGFO,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
5,ALAG,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
6,ALFL,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
7,ALKA,0,0,0,0,0,0,0,0,0,,
8,ALPO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
9,AMIS,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
10,AMME,0,0,0,0,0,0,0,0,0,,
11,ANDE,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
12,ANIA,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
13,ANJO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
14,ANTI,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
15,APCO,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
16,APIS,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
17,APPA,0,0,0,0,0,0,0,0,0,,
18,ARCH,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
19,ARHO,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
20,ARPO,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
21,ASIS,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
22,AZRU,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
23,BADL,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
24,BAND,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
25,BELA,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
26,BEOL,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
27,BEPA,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
