,Unnamed: 0,index,website page,website location,park, bus ,shuttle,transit,public transportation,ferry,ferry service,subway,train,metro,total
0,0,0,https://home.nps.gov/abli/planyourvisit/directions.htm#GlobalNav-toggle,,ABLI,0,0,0,1,0,0,0,0,0,1
1,1,1,https://home.nps.gov/abli/planyourvisit/directions.htm#LocalNav-desktop-nav,,ABLI,0,0,0,1,0,0,0,0,0,1
2,2,2,https://home.nps.gov/abli/planyourvisit/directions.htm#main,,ABLI,0,0,0,1,0,0,0,0,0,1
3,3,3,https://home.nps.gov/abli/planyourvisit/directions.htm#ParkFooter,,ABLI,0,0,0,1,0,0,0,0,0,1
4,4,4,https://home.nps.gov/abli/planyourvisit/directions.htm#GlobalFooter,,ABLI,0,0,0,1,0,0,0,0,0,1
5,5,5,https://home.nps.gov/abli/planyourvisit/directions.htm#GlobalFooterSearch,,ABLI,0,0,0,1,0,0,0,0,0,1
6,6,6,https://home.nps.gov/planyourvisit/index.htm,,ABLI,0,0,0,0,0,0,0,0,0,0
7,7,7,https://home.nps.gov/planyourvisit/event-search.htm,,ABLI,0,0,0,0,0,0,0,0,0,0
8,8,8,https://home.nps.gov/planyourvisit/passes.htm,,ABLI,0,0,0,0,0,0,0,0,0,0
9,9,9,https://home.nps.gov/planyourvisit/trip-ideas.htm,,ABLI,0,0,0,0,0,0,0,2,0,2
10,10,10,https://home.nps.gov/abli/planyourvisit/basicinfo.htm,,ABLI,0,0,0,0,0,0,0,0,0,0
11,11,11,https://home.nps.gov/abli/planyourvisit/conditions.htm,NPS.govPark HomePlan Your VisitBasic InformationCurrent Conditions,ABLI,0,0,0,0,0,0,0,0,0,0
12,12,12,https://home.nps.gov/abli/planyourvisit/maps.htm,,ABLI,0,0,0,0,0,0,0,0,0,0
13,13,13,https://home.nps.gov/abli/planyourvisit/calendar.htm,,ABLI,0,0,0,0,0,0,0,0,0,0
14,14,14,https://home.nps.gov/abli/planyourvisit/fees.htm,,ABLI,0,0,0,0,0,0,0,0,0,0
15,15,0,https://home.nps.gov/acad/planyourvisit/directions.htm#GlobalNav-toggle,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0
16,16,1,https://home.nps.gov/acad/planyourvisit/directions.htm#LocalNav-desktop-nav,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0
17,17,2,https://home.nps.gov/acad/planyourvisit/directions.htm#main,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0
18,18,3,https://home.nps.gov/acad/planyourvisit/directions.htm#ParkFooter,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0
19,19,4,https://home.nps.gov/acad/planyourvisit/directions.htm#GlobalFooter,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0
20,20,5,https://home.nps.gov/acad/planyourvisit/directions.htm#GlobalFooterSearch,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0
21,21,6,https://home.nps.gov/acad/planyourvisit/index.htm,,ACAD,0,0,0,1,0,0,0,0,0,1
22,22,7,https://home.nps.gov/acad/planyourvisit/camping.htm,,ACAD,0,0,0,0,0,0,0,0,0,0
23,23,8,https://home.nps.gov/acad/planyourvisit/basicinfo.htm,,ACAD,1,1,0,0,0,0,0,0,0,2
24,24,9,https://home.nps.gov/acad/planyourvisit/hours.htm,,ACAD,1,1,1,0,0,0,0,0,0,3
