,Unnamed: 0,index,website page,website location,park, uber , lyft ,ridehailing,ridesharing, cab , taxi ,ride-hailing,ride-sharing,ride hailing,ride sharing,ride share,rideshare,total
0,0,0,https://home.nps.gov/abli/planyourvisit/directions.htm#GlobalNav-toggle,NPS.govPark HomePlan Your VisitDirections & Transportation,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,https://home.nps.gov/abli/planyourvisit/directions.htm#LocalNav-desktop-nav,NPS.govPark HomePlan Your VisitDirections & Transportation,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,https://home.nps.gov/abli/planyourvisit/directions.htm#main,NPS.govPark HomePlan Your VisitDirections & Transportation,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,https://home.nps.gov/abli/planyourvisit/directions.htm#ParkFooter,NPS.govPark HomePlan Your VisitDirections & Transportation,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,https://home.nps.gov/abli/planyourvisit/directions.htm#GlobalFooter,NPS.govPark HomePlan Your VisitDirections & Transportation,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,https://home.nps.gov/abli/planyourvisit/directions.htm#GlobalFooterSearch,NPS.govPark HomePlan Your VisitDirections & Transportation,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,https://home.nps.gov/planyourvisit/index.htm,,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,https://home.nps.gov/planyourvisit/event-search.htm,,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,https://home.nps.gov/planyourvisit/passes.htm,,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,https://home.nps.gov/planyourvisit/trip-ideas.htm,,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,10,https://home.nps.gov/abli/planyourvisit/basicinfo.htm,,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,https://home.nps.gov/abli/planyourvisit/conditions.htm,,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,https://home.nps.gov/abli/planyourvisit/maps.htm,,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,13,https://home.nps.gov/abli/planyourvisit/calendar.htm,,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,14,https://home.nps.gov/abli/planyourvisit/fees.htm,,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,0,https://nps.gov/acad/planyourvisit/directions.htm#GlobalNav-toggle,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
16,16,1,https://nps.gov/acad/planyourvisit/directions.htm#LocalNav-desktop-nav,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
17,17,2,https://nps.gov/acad/planyourvisit/directions.htm#main,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
18,18,3,https://nps.gov/acad/planyourvisit/directions.htm#ParkFooter,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
19,19,4,https://nps.gov/acad/planyourvisit/directions.htm#GlobalFooter,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
20,20,5,https://nps.gov/acad/planyourvisit/directions.htm#GlobalFooterSearch,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
21,21,6,https://nps.gov/acad/planyourvisit/index.htm,NPS.govPark HomePlan Your Visit,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
22,22,7,https://nps.gov/acad/planyourvisit/camping.htm,NPS.govPark HomePlan Your VisitCampgrounds,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
23,23,8,https://nps.gov/acad/planyourvisit/basicinfo.htm,NPS.govPark HomePlan Your VisitBasic Information,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
24,24,9,https://nps.gov/acad/planyourvisit/hours.htm,NPS.govPark HomePlan Your VisitBasic InformationOperating Hours & Seasons,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
25,25,10,https://nps.gov/acad/planyourvisit/forecast.htm,NPS.govPark HomePlan Your VisitBasic InformationTravel & Parking Forecast Tools,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
26,26,11,https://nps.gov/acad/planyourvisit/fees.htm,NPS.govPark HomePlan Your VisitBasic InformationFees & Passes,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
27,27,12,https://nps.gov/acad/planyourvisit/conditions.htm,NPS.govPark HomePlan Your VisitBasic InformationCurrent Conditions,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
28,28,13,https://nps.gov/acad/planyourvisit/permits.htm,NPS.govPark HomePlan Your VisitBasic InformationPermits & Reservations,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
29,29,14,https://nps.gov/acad/planyourvisit/groupclimbing.htm,NPS.govPark HomePlan Your VisitBasic InformationPermits & ReservationsClimbing Permits,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
30,30,15,https://nps.gov/acad/planyourvisit/special-use-permits.htm,NPS.govPark HomePlan Your VisitBasic InformationPermits & ReservationsSpecial Use Permits,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
31,31,16,https://nps.gov/acad/planyourvisit/vehicle_reservations.htm,NPS.govPark HomePlan Your VisitBasic InformationPermits & ReservationsVehicle Reservations,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
32,32,17,https://nps.gov/acad/planyourvisit/apps.htm,NPS.govPark HomePlan Your VisitBasic InformationPark App,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
33,33,18,https://nps.gov/acad/planyourvisit/park-brochure.htm,NPS.govPark HomePlan Your VisitBasic InformationPark Brochure,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
34,34,19,https://nps.gov/acad/planyourvisit/weather.htm,NPS.govPark HomePlan Your VisitBasic InformationWeather,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
35,35,20,https://nps.gov/acad/planyourvisit/park-rules-and-regulations.htm,NPS.govPark HomePlan Your VisitBasic InformationPark Rules and Regulations,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
36,36,21,https://nps.gov/acad/planyourvisit/firewood.htm,NPS.govPark HomePlan Your VisitBasic InformationPark Rules and RegulationsFirewood,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
37,37,22,https://nps.gov/acad/planyourvisit/directions.htm,NPS.govPark HomePlan Your VisitDirections & Transportation,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
38,38,23,https://nps.gov/acad/planyourvisit/island-explorer.htm,NPS.govPark HomePlan Your VisitDirections & TransportationIsland Explorer,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
39,39,24,https://nps.gov/acad/planyourvisit/maps.htm,NPS.govPark HomePlan Your VisitDirections & TransportationMaps,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
40,40,25,https://nps.gov/acad/planyourvisit/oversized-vehicles.htm,NPS.govPark HomePlan Your VisitDirections & TransportationOversized Vehicles,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
41,41,26,https://nps.gov/acad/planyourvisit/placestogo.htm,NPS.govPark HomePlan Your VisitPlaces To Go,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
42,42,27,https://nps.gov/acad/planyourvisit/visitor-centers-contact-stations.htm,NPS.govPark HomePlan Your VisitPlaces To GoVisitor Centers,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
43,43,28,https://nps.gov/acad/planyourvisit/east-side.htm,NPS.govPark HomePlan Your VisitPlaces To GoEast Side,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
44,44,29,https://nps.gov/acad/planyourvisit/park-loop-road.htm,NPS.govPark HomePlan Your VisitPlaces To GoEast SidePark Loop Road,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
45,45,30,https://nps.gov/acad/planyourvisit/carriage-roads.htm,NPS.govPark HomePlan Your VisitPlaces To GoEast SideCarriage Roads,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
46,46,31,https://nps.gov/acad/planyourvisit/west-side.htm,NPS.govPark HomePlan Your VisitPlaces To GoWest Side,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
47,47,32,https://nps.gov/acad/planyourvisit/seawall.htm,NPS.govPark HomePlan Your VisitPlaces To GoWest SideSeawall,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
48,48,33,https://nps.gov/acad/planyourvisit/west-side-mountains-lakes.htm,"NPS.govPark HomePlan Your VisitPlaces To GoWest SideWest Side Mountains, Lakes & Ponds",ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
49,49,34,https://nps.gov/acad/planyourvisit/bass-harbor-head-light-station.htm,NPS.govPark HomePlan Your VisitPlaces To GoWest SideBass Harbor Head Light Station,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
50,50,35,https://nps.gov/acad/planyourvisit/isle-au-haut.htm,NPS.govPark HomePlan Your VisitPlaces To GoIsle au Haut,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
51,51,36,https://nps.gov/acad/planyourvisit/schoodic.htm,NPS.govPark HomePlan Your VisitPlaces To GoSchoodic Peninsula,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
52,52,37,https://nps.gov/acad/planyourvisit/outer-islands.htm,NPS.govPark HomePlan Your VisitPlaces To GoOuter Islands,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
53,53,38,https://nps.gov/acad/planyourvisit/islesford-historical-museum.htm,NPS.govPark HomePlan Your VisitPlaces To GoOuter IslandsIslesford Historical Museum,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
54,54,39,https://nps.gov/acad/planyourvisit/baker-island.htm,NPS.govPark HomePlan Your VisitPlaces To GoOuter IslandsBaker Island,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
55,55,40,https://nps.gov/acad/planyourvisit/things2do.htm,NPS.govPark HomePlan Your VisitThings To Do,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
56,56,41,https://nps.gov/acad/planyourvisit/ranger_programs_descriptions.htm,NPS.govPark HomePlan Your VisitThings To DoAttend A Ranger Program,ACAD,0,0,0,0,0,0,0,0,0,0,0,2,2
