,park,wheelchair,disability,impaired,disabilities,handicap, ada ,braille,disabled,handicapped,total,FinalCluster,Label
0,ABLI,0,1,0,1,0,0,0,0,0,2,8.0,Rural High Visitation
1,ACAD,43,10,0,6,1,2,4,3,1,70,1.0,Transit Parks
2,ADAM,3,3,0,2,1,0,0,1,1,11,1.0,Transit Parks
3,AFBG,5,4,1,1,1,2,1,0,1,16,2.0,Urban Sites
4,AGFO,5,2,0,1,0,0,9,0,0,17,7.0,Rural Low Visitation
5,ALAG,0,2,1,1,0,0,5,0,0,9,6.0,High Seasonal Variation
6,ALFL,0,2,0,2,0,0,0,0,0,4,7.0,Rural Low Visitation
7,ALKA,2,3,0,1,0,1,3,0,0,10,,
8,ALPO,6,2,2,1,0,0,1,0,0,12,4.0,Urban Low Visitation
9,AMIS,7,3,0,2,0,0,0,3,0,15,8.0,Rural High Visitation
10,AMME,0,2,0,1,0,0,0,0,0,3,,
11,ANDE,2,2,3,1,0,0,2,0,0,10,7.0,Rural Low Visitation
12,ANIA,0,2,0,1,0,0,5,0,0,8,6.0,High Seasonal Variation
13,ANJO,0,2,0,1,0,0,2,1,0,6,4.0,Urban Low Visitation
14,ANTI,1,2,0,1,0,0,0,0,0,4,4.0,Urban Low Visitation
15,APCO,9,2,0,1,0,0,7,0,0,19,7.0,Rural Low Visitation
16,APIS,11,5,2,2,0,0,7,1,0,28,6.0,High Seasonal Variation
17,APPA,0,2,0,1,0,0,0,0,0,3,,
18,ARCH,0,2,0,1,0,6,2,0,0,11,8.0,Rural High Visitation
19,ARHO,2,10,0,2,0,0,0,0,0,14,2.0,Urban Sites
20,ARPO,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation
21,ASIS,8,5,0,4,0,0,0,1,0,18,8.0,Rural High Visitation
22,AZRU,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation
23,BADL,10,5,0,2,0,0,0,0,0,17,8.0,Rural High Visitation
24,BAND,4,4,0,3,2,2,1,0,1,17,1.0,Transit Parks
25,BELA,3,2,0,1,0,1,0,0,0,7,6.0,High Seasonal Variation
26,BEOL,4,2,0,1,0,0,0,0,0,7,7.0,Rural Low Visitation
27,BEPA,1,2,0,2,0,0,0,0,0,5,2.0,Urban Sites
28,BIBE,33,5,2,3,0,2,0,5,0,50,8.0,Rural High Visitation
29,BICA,11,3,0,3,11,4,1,0,10,43,8.0,Rural High Visitation
30,BICY,4,2,0,1,0,3,0,0,0,10,6.0,High Seasonal Variation
31,BIHO,8,6,0,2,0,1,10,0,0,27,7.0,Rural Low Visitation
32,BISC,10,7,1,6,1,0,1,0,0,26,5.0,Urban High Visitation
33,BISO,1,2,0,2,0,1,1,1,0,8,8.0,Rural High Visitation
34,BITH,4,7,0,7,0,0,4,0,0,22,4.0,Urban Low Visitation
35,BLCA,1,2,1,1,1,2,0,0,1,9,6.0,High Seasonal Variation
36,BLRI,3,2,2,1,0,1,0,0,0,9,1.0,Transit Parks
37,BLUE,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation
38,BOAF,3,3,0,3,0,1,0,0,0,10,2.0,Urban Sites
39,BOHA,5,2,0,2,2,8,0,0,2,21,1.0,Transit Parks
40,BOST,2,4,0,3,0,1,0,0,0,10,5.0,Urban High Visitation
41,BOWA,4,18,1,1,1,0,0,0,1,26,4.0,Urban Low Visitation
42,BRCA,19,9,2,2,4,23,4,4,4,71,1.0,Transit Parks
43,BRCR,2,2,0,1,0,0,2,0,0,7,,
44,BRVB,8,2,0,2,1,0,4,0,1,18,4.0,Urban Low Visitation
45,BUFF,0,2,0,1,0,0,0,0,0,3,8.0,Rural High Visitation
46,BUIS,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation
47,CABR,6,35,2,5,3,0,9,0,0,60,5.0,Urban High Visitation
48,CACH,5,4,0,1,0,0,0,0,0,10,8.0,Rural High Visitation
49,CACL,8,2,1,1,0,0,0,0,0,12,2.0,Urban Sites
50,CACO,24,2,3,2,0,0,4,1,0,36,1.0,Transit Parks
51,CAGR,2,2,3,2,0,0,1,0,0,10,4.0,Urban Low Visitation
52,CAHA,10,2,4,3,0,0,4,2,0,25,8.0,Rural High Visitation
53,CAKR,0,2,0,1,0,0,0,0,0,3,6.0,High Seasonal Variation
54,CALO,4,2,0,1,0,0,0,0,0,7,1.0,Transit Parks
55,CAMO,0,2,0,2,0,1,0,0,0,5,,
56,CANA,14,8,0,4,0,0,0,0,0,26,5.0,Urban High Visitation
57,CANY,25,5,0,13,0,0,3,4,0,50,8.0,Rural High Visitation
58,CARE,8,8,1,3,0,0,0,0,0,20,8.0,Rural High Visitation
59,CARI,1,2,0,3,0,0,3,0,0,9,7.0,Rural Low Visitation
60,CARL,2,2,0,1,0,0,0,0,0,5,1.0,Transit Parks
61,CASA,4,3,0,3,1,0,1,0,1,13,5.0,Urban High Visitation
62,CATO,30,3,1,63,62,59,0,0,62,280,4.0,Urban Low Visitation
63,CAVE,0,2,0,1,0,0,0,0,0,3,8.0,Rural High Visitation
64,CAVO,0,2,1,1,1,0,0,0,0,5,6.0,High Seasonal Variation
65,CAWO,0,2,0,2,0,0,0,0,0,4,4.0,Urban Low Visitation
66,CBGN,0,2,0,1,0,0,0,0,0,3,,
67,CEBE,4,3,0,2,0,0,1,0,0,10,,
68,CEBR,2,4,0,3,0,0,0,0,0,9,8.0,Rural High Visitation
69,CECH,4,2,0,2,0,1,0,0,0,9,7.0,Rural Low Visitation
70,CHAM,6,4,0,3,0,0,6,0,0,19,4.0,Urban Low Visitation
71,CHAT,2,3,0,2,1,92,3,0,0,103,5.0,Urban High Visitation
72,CHCH,4,3,0,1,4,2,4,0,4,22,5.0,Urban High Visitation
73,CHCU,4,2,3,1,2,0,0,0,0,12,7.0,Rural Low Visitation
74,CHIC,8,5,0,2,0,0,2,0,0,17,8.0,Rural High Visitation
75,CHIR,5,6,0,5,0,1,0,0,0,17,7.0,Rural Low Visitation
76,CHIS,3,16,0,1,0,0,0,2,0,22,1.0,Transit Parks
77,CHOH,24,2,1,3,0,1,0,0,0,31,5.0,Urban High Visitation
78,CHPI,4,3,0,2,0,0,0,0,0,9,7.0,Rural Low Visitation
79,CHRI,0,4,0,3,0,0,0,0,0,7,4.0,Urban Low Visitation
80,CHSC,20,8,1,14,0,0,6,0,0,49,4.0,Urban Low Visitation
81,CHYO,0,2,0,1,0,0,0,0,0,3,3.0,Low Visitation Sites
82,CIRO,2,2,0,1,0,1,0,0,0,6,7.0,Rural Low Visitation
83,CLBA,1,2,0,1,0,0,0,0,0,4,2.0,Urban Sites
84,COGA,1,5,0,2,0,0,0,0,0,8,,
85,COLM,3,11,2,2,1,2,0,0,0,21,8.0,Rural High Visitation
86,COLO,0,2,0,9,0,0,0,0,0,11,5.0,Urban High Visitation
87,CONG,21,4,1,2,0,0,0,0,0,28,4.0,Urban Low Visitation
88,CORO,2,3,0,2,0,0,0,0,0,7,4.0,Urban Low Visitation
89,COWP,2,3,2,2,2,0,2,0,2,15,4.0,Urban Low Visitation
90,CRLA,10,6,0,2,0,0,2,0,0,20,8.0,Rural High Visitation
91,CRMO,8,4,0,7,0,0,1,0,0,20,8.0,Rural High Visitation
92,CRMP,0,2,0,1,0,0,0,0,0,3,,
93,CUGA,3,3,0,2,0,0,0,0,0,8,5.0,Urban High Visitation
94,CUIS,20,5,7,4,1,2,0,0,0,39,1.0,Transit Parks
95,CURE,0,4,0,2,0,0,0,2,0,8,8.0,Rural High Visitation
96,CUVA,32,58,0,15,0,7,14,0,0,126,1.0,Transit Parks
97,DAAV,8,5,0,1,0,0,0,0,0,14,2.0,Urban Sites
98,DELA,0,2,0,1,0,0,0,0,0,3,,
99,DENA,60,2,4,90,0,2,12,0,0,170,1.0,Transit Parks
100,DEPO,6,3,0,2,2,4,0,1,0,18,1.0,Transit Parks
101,DESO,1,2,1,1,0,1,0,0,0,6,3.0,Low Visitation Sites
102,DETO,10,5,0,5,0,2,2,0,0,24,8.0,Rural High Visitation
103,DEVA,3,4,0,3,0,2,2,7,0,21,8.0,Rural High Visitation
104,DEWA,2,3,3,1,0,2,0,0,0,11,1.0,Transit Parks
105,DINO,0,2,0,1,0,0,0,0,0,3,1.0,Transit Parks
106,DRTO,2,2,0,1,0,0,0,0,0,5,1.0,Transit Parks
107,EBLA,0,2,0,1,0,0,0,0,0,3,,
108,EDAL,3,3,0,1,0,0,0,0,0,7,2.0,Urban Sites
109,EDIS,6,5,0,1,0,0,0,0,0,12,4.0,Urban Low Visitation
110,EFMO,3,2,0,2,0,0,1,0,0,8,3.0,Low Visitation Sites
111,EISE,0,2,0,1,0,0,0,0,0,3,1.0,Transit Parks
112,ELMA,6,2,0,1,1,1,1,0,0,12,7.0,Rural Low Visitation
113,ELMO,4,2,0,1,1,0,1,0,1,10,7.0,Rural Low Visitation
114,ELRO,6,4,1,58,0,13,2,0,0,84,4.0,Urban Low Visitation
