park,wheelchair,accessibility,disability,impaired,disabilities,handicap,accessible,ada,barrier,ramp,braille,disabled,handicapped,total
ABLI,0,16,1,0,1,0,2,8,0,0,0,0,0,28
ACAD,43,122,10,0,6,1,106,38,1,112,4,3,1,447
ADAM,3,78,3,0,2,1,0,590,0,0,0,1,1,679
AFBG,5,59,4,1,1,1,16,11,0,1,1,0,1,101
AGFO,5,51,2,0,1,0,13,11,0,0,9,0,0,92
ALAG,0,77,2,1,1,0,3,5,0,0,5,0,0,94
ALFL,0,43,2,0,2,0,3,9,0,2,0,0,0,61
ALKA,2,46,3,0,1,0,3,10,0,0,3,0,0,68
ALPO,6,111,2,2,1,0,7,9,0,0,1,0,0,139
AMIS,7,75,3,0,2,0,20,16,0,272,0,3,0,398
AMME,0,22,2,0,1,0,0,8,0,0,0,0,0,33
ANDE,2,53,2,3,1,0,6,51,0,1,2,0,0,121
ANIA,0,91,2,0,1,0,8,9,0,0,5,0,0,116
ANJO,0,58,2,0,1,0,5,8,0,0,2,1,0,77
ANTI,1,118,2,0,1,0,7,9,0,1,0,0,0,139
APCO,9,66,2,0,1,0,8,8,0,0,7,0,0,101
APIS,11,175,5,2,2,0,89,20,2,8,7,1,0,322
APPA,0,31,2,0,1,0,0,8,0,0,0,0,0,42
ARCH,0,68,2,0,1,0,10,18,2,24,2,0,0,127
ARHO,2,61,10,0,2,0,12,9,1,7,0,0,0,104
ARPO,0,28,2,0,1,0,0,8,0,0,0,0,0,39
ASIS,8,76,5,0,4,0,19,13,18,0,0,1,0,144
AZRU,0,28,2,0,1,0,0,18,0,0,0,0,0,49
BADL,10,69,5,0,2,0,23,13,0,3,0,0,0,125
BAND,4,173,4,0,3,2,10,84,0,70,1,0,1,352
BELA,3,79,2,0,1,0,26,12,0,0,0,0,0,123
BEOL,4,50,2,0,1,0,9,9,0,0,0,0,0,75
BEPA,1,45,2,0,2,0,3,8,1,0,0,0,0,62
BIBE,33,179,5,2,3,0,65,82,2,7,0,5,0,383
BICA,11,88,3,0,3,11,38,18,0,33,1,0,10,216
BICY,4,99,2,0,1,0,8,17,2,2,0,0,0,135
BIHO,8,76,6,0,2,0,6,20,0,3,10,0,0,131
BISC,10,66,7,1,6,1,11,42,0,14,1,0,0,159
BISO,1,140,2,0,2,0,8,12,0,49,1,1,0,216
BITH,4,90,7,0,7,0,13,11,3,7,4,0,0,146
BLCA,1,81,2,1,1,1,10,15,0,2,0,0,1,115
BLRI,3,105,2,2,1,0,10,11,1,3,0,0,0,138
BLUE,0,64,2,0,1,0,3,10,0,4,0,0,0,84
BOAF,3,65,3,0,3,0,10,11,0,2,0,0,0,97
BOHA,5,58,2,0,2,2,20,17,0,0,0,0,2,108
BOST,2,88,4,0,3,0,20,53,0,2,0,0,0,172
BOWA,4,59,18,1,1,1,3,14,0,0,0,0,1,102
BRCA,19,124,9,2,2,4,67,57,0,4,4,4,4,300
