Park Alpha,NPS Full Name,Region,FinalCluster,Label
ABLI,Abraham Lincoln Birthplace National Historical Park,SER,8,"High Visitation, Rural"
ACAD,Acadia National Park,NER,1,Transit Park
ADAM,Adams National Historical Park,NER,1,Transit Park
AFBG,African Burial Ground National Monument,NER,2,Urban Sites
AGFO,Agate Fossil Beds National Monument,MWR,7,"Low Visitation, Rural"
ALAG,Alagnak Wild River,AKR,4,High Seasonality
ALFL,Alibates Flint Quarries National Monument,IMR,7,"Low Visitation, Rural"
ALPO,Allegheny Portage Railroad National Historic Site,NER,6,"Low Visitation, Urban"
AMIS,Amistad National Recreation Area,IMR,8,"High Visitation, Rural"
ANDE,Andersonville National Historic Site,SER,7,"Low Visitation, Rural"
ANIA,Aniakchak National Monument and Preserve,AKR,4,High Seasonality
ANJO,Andrew Johnson National Historic Site,SER,6,"Low Visitation, Urban"
ANTI,Antietam National Battlefield,NCR,6,"Low Visitation, Urban"
APCO,Appomattox Court House National Historical Park,NER,7,"Low Visitation, Rural"
APIS,Apostle Islands National Lakeshore,MWR,4,High Seasonality
ARCH,Arches National Park,IMR,8,"High Visitation, Rural"
ARHO,"Arlington House, The Robert E. Lee Memorial",NCR,2,Urban Sites
ARPO,Arkansas Post National Memorial,MWR,7,"Low Visitation, Rural"
ASIS,Assateague Island National Seashore,NER,8,"High Visitation, Rural"
AZRU,Aztec Ruins National Monument,IMR,7,"Low Visitation, Rural"
BADL,Badlands National Park,MWR,8,"High Visitation, Rural"
BAND,Bandelier National Monument,IMR,1,Transit Park
BELA,Bering Land Bridge National Preserve,AKR,5,Limited Access
BEOL,Bent's Old Fort National Historic Site,IMR,7,"Low Visitation, Rural"
BEPA,Belmont-Paul Women's Equality National Monument,NCR,2,Urban Sites
BIBE,Big Bend National Park,IMR,8,"High Visitation, Rural"
BICA,Bighorn Canyon National Recreation Area,IMR,8,"High Visitation, Rural"
BICY,Big Cypress National Preserve,SER,4,High Seasonality
BIHO,Big Hole National Battlefield,PWR,7,"Low Visitation, Rural"
BISC,Biscayne National Park,SER,9,"High Visitation, Urban"
BISO,Big South Fork National River and Recreation Area,SER,8,"High Visitation, Rural"
BITH,Big Thicket National Preserve,IMR,6,"Low Visitation, Urban"
BLCA,Black Canyon of the Gunnison National Park,IMR,4,High Seasonality
BLRI,Blue Ridge Parkway,SER,1,Transit Park
BLUE,Bluestone National Scenic River,NER,5,Limited Access
BOAF,Boston African American National Historic Site,NER,2,Urban Sites
BOHA,Boston Harbor Islands National Recreation Area,NER,1,Transit Park
BOST,Boston National Historical Park,NER,9,"High Visitation, Urban"
BOWA,Booker T. Washington National Monument,NER,6,"Low Visitation, Urban"
BRCA,Bryce Canyon National Park,IMR,1,Transit Park
BRVB,Brown v. Board of Education National Historic Site,"MWR, SER",3,Rural Sites
BUFF,Buffalo National River,MWR,8,"High Visitation, Rural"
BUIS,Buck Island Reef National Monument,SER,5,Limited Access
CABR,Cabrillo National Monument,PWR,9,"High Visitation, Urban"
CACH,Canyon de Chelly National Monument,IMR,8,"High Visitation, Rural"
CACL,Castle Clinton National Monument,NER,2,Urban Sites
CACO,Cape Cod National Seashore,NER,1,Transit Park
CAGR,Casa Grande Ruins National Monument,IMR,6,"Low Visitation, Urban"
