,park,Driving_Directions,Public_transportation_information,Bike_Pedestrian_Information,Congestion_information,Accessibility,Alternative_Fueling_Stations,Travel_Distance_Final,Parking_Experience_information,Transportation_experience_information,Parking_information
0,ABLI,1,1,0,0,0,0,1,0,1,0
1,ACAD,1,1,1,1,0,0,1,1,1,1
2,ADAM,1,1,0,0,0,0,0,1,1,1
3,AFBG,1,1,0,0,0,0,0,1,1,1
4,AGFO,1,1,0,0,0,0,1,1,1,1
5,ALAG,1,0,0,0,0,0,1,0,1,0
6,ALFL,1,0,0,0,0,0,1,0,1,0
7,ALKA,1,0,0,0,0,0,0,0,1,0
8,ALPO,1,1,1,0,0,0,1,0,1,0
9,AMIS,1,1,0,0,0,0,1,0,1,0
10,AMME,1,0,0,0,0,0,1,1,1,1
11,ANDE,1,1,0,0,0,0,1,0,1,0
12,ANIA,1,0,0,0,0,0,1,0,1,0
13,ANJO,1,1,0,0,0,0,1,0,1,0
14,ANTI,1,0,1,0,0,0,1,0,1,0
15,APCO,1,1,0,0,0,0,1,1,1,1
16,APIS,1,1,0,0,0,0,1,1,1,1
17,APPA,1,1,0,0,0,0,0,1,1,1
18,ARCH,1,1,1,1,0,0,1,1,1,1
19,ARHO,1,1,0,0,0,0,0,1,1,1
20,ARPO,1,1,0,0,0,0,0,0,1,0
21,ASIS,1,1,1,0,0,0,1,1,1,1
22,AZRU,1,1,0,0,0,0,0,0,1,0
23,BADL,1,0,1,1,0,0,0,0,1,0
24,BAND,1,1,0,0,0,0,1,0,1,0
25,BELA,1,0,1,0,0,0,1,0,1,0
26,BEOL,1,1,0,0,0,0,0,0,1,0
27,BEPA,1,0,0,0,0,0,0,0,1,0
28,BIBE,1,1,1,1,0,0,1,0,1,0
29,BICA,1,1,0,0,0,0,1,0,1,0
30,BICY,1,1,1,1,0,0,1,0,1,0
31,BIHO,1,1,0,0,0,1,1,0,1,0
32,BISC,1,1,0,1,0,0,1,0,1,0
33,BISO,1,1,1,0,0,0,1,0,1,0
34,BITH,1,1,1,0,0,0,1,0,1,0
35,BLCA,1,1,0,0,0,0,1,0,1,0
36,BLRI,1,1,1,1,0,1,1,0,1,0
37,BLUE,1,1,1,0,0,0,1,0,1,0
38,BOAF,1,1,0,0,0,0,0,1,1,1
39,BOHA,1,1,0,0,0,0,0,1,1,1
40,BOST,1,1,0,1,0,0,0,0,1,0
41,BOWA,1,1,0,0,0,0,1,0,1,0
42,BRCA,1,1,1,1,0,0,1,1,1,1
43,BRCR,1,0,0,0,0,0,1,0,1,0
44,BRVB,1,0,1,0,0,0,0,1,1,1
45,BUFF,1,1,0,0,0,0,1,0,1,0
46,BUIS,1,1,0,0,0,0,0,0,1,0
47,CABR,1,1,1,1,0,0,0,0,1,0
48,CACH,1,1,0,0,0,0,1,0,1,0
49,CACL,1,1,0,0,0,0,0,1,1,1
50,CACO,1,1,1,1,0,0,1,0,1,0
51,CAGR,1,0,0,0,0,0,1,1,1,1
52,CAHA,1,1,1,0,0,0,1,0,1,0
53,CAKR,1,0,0,0,0,0,0,0,1,0
54,CALO,1,1,0,0,0,0,1,1,1,1
55,CAMO,1,1,1,0,0,0,0,0,1,0
56,CANA,1,1,0,0,0,0,1,1,1,1
57,CANY,1,1,1,1,0,1,1,0,1,0
58,CARE,1,1,1,0,0,1,1,0,1,0
59,CARI,1,0,0,0,0,0,0,1,1,1
60,CARL,1,1,1,0,0,0,1,1,1,1
61,CASA,1,1,0,0,0,0,0,1,1,1
62,CATO,1,1,0,1,0,0,1,1,1,1
63,CAVE,1,0,0,0,0,0,0,1,1,1
64,CAVO,1,1,1,0,0,0,1,1,1,1
65,CAWO,1,1,0,0,0,0,0,0,1,0
66,CBGN,1,0,0,0,0,0,0,0,1,0
67,CEBE,1,0,0,0,0,0,1,0,1,0
68,CEBR,1,1,1,1,0,0,1,0,1,0
69,CECH,1,0,0,0,0,0,0,0,1,0
70,CHAM,1,1,1,1,0,1,0,1,1,1
71,CHAT,1,1,1,0,0,1,0,1,1,1
72,CHCH,1,1,1,1,0,0,1,1,1,1
73,CHCU,1,1,1,0,0,0,1,0,1,0
74,CHIC,1,0,1,0,0,0,1,0,1,0
75,CHIR,1,1,1,0,0,0,1,1,1,1
76,CHIS,1,1,1,0,0,0,1,1,1,1
77,CHOH,1,1,1,0,0,0,1,1,1,1
78,CHPI,1,1,0,0,0,1,0,1,1,1
79,CHRI,1,0,0,0,0,0,1,1,1,1
80,CHSC,1,0,1,1,0,0,1,1,1,1
81,CHYO,1,0,0,0,0,0,1,1,1,1
82,CIRO,1,1,1,0,0,0,1,0,1,0
83,CLBA,1,0,0,0,0,0,0,1,1,1
84,COGA,1,1,0,0,0,0,1,1,1,1
85,COLM,1,1,1,0,0,0,1,0,1,0
86,COLO,1,1,1,0,0,0,0,1,1,1
87,CONG,1,1,0,0,0,0,1,1,1,1
