Park Alpha,NPS Full Name,Region,FinalCluster,Label
ABLI,Abraham Lincoln Birthplace National Historical Park,SER,8,Rural High Visitation
ACAD,Acadia National Park,NER,1,Transit Parks
ADAM,Adams National Historical Park,NER,1,Transit Parks
AFBG,African Burial Ground National Monument,NER,2,Urban Sites
AGFO,Agate Fossil Beds National Monument,MWR,7,Rural Low Visitation
ALAG,Alagnak Wild River,AKR,6,High Seasonal Variation
ALFL,Alibates Flint Quarries National Monument,IMR,7,Rural Low Visitation
ALPO,Allegheny Portage Railroad National Historic Site,NER,4,Urban Low Visitation
AMIS,Amistad National Recreation Area,IMR,8,Rural High Visitation
ANDE,Andersonville National Historic Site,SER,7,Rural Low Visitation
ANIA,Aniakchak National Monument and Preserve,AKR,6,High Seasonal Variation
ANJO,Andrew Johnson National Historic Site,SER,4,Urban Low Visitation
ANTI,Antietam National Battlefield,NCR,4,Urban Low Visitation
APCO,Appomattox Court House National Historical Park,NER,7,Rural Low Visitation
APIS,Apostle Islands National Lakeshore,MWR,6,High Seasonal Variation
ARCH,Arches National Park,IMR,8,Rural High Visitation
ARHO,"Arlington House, The Robert E. Lee Memorial",NCR,2,Urban Sites
ARPO,Arkansas Post National Memorial,MWR,7,Rural Low Visitation
ASIS,Assateague Island National Seashore,NER,8,Rural High Visitation
AZRU,Aztec Ruins National Monument,IMR,7,Rural Low Visitation
BADL,Badlands National Park,MWR,8,Rural High Visitation
BAND,Bandelier National Monument,IMR,1,Transit Parks
BELA,Bering Land Bridge National Preserve,AKR,6,High Seasonal Variation
BEOL,Bent's Old Fort National Historic Site,IMR,7,Rural Low Visitation
BEPA,Belmont-Paul Women's Equality National Monument,NCR,2,Urban Sites
BIBE,Big Bend National Park,IMR,8,Rural High Visitation
BICA,Bighorn Canyon National Recreation Area,IMR,8,Rural High Visitation
BICY,Big Cypress National Preserve,SER,6,High Seasonal Variation
BIHO,Big Hole National Battlefield,PWR,7,Rural Low Visitation
BISC,Biscayne National Park,SER,5,Urban High Visitation
BISO,Big South Fork National River and Recreation Area,SER,8,Rural High Visitation
BITH,Big Thicket National Preserve,IMR,4,Urban Low Visitation
BLCA,Black Canyon of the Gunnison National Park,IMR,6,High Seasonal Variation
BLRI,Blue Ridge Parkway,SER,1,Transit Parks
BLUE,Bluestone National Scenic River,NER,7,Rural Low Visitation
BOAF,Boston African American National Historic Site,NER,2,Urban Sites
BOHA,Boston Harbor Islands National Recreation Area,NER,1,Transit Parks
BOST,Boston National Historical Park,NER,5,Urban High Visitation
BOWA,Booker T. Washington National Monument,NER,4,Urban Low Visitation
BRCA,Bryce Canyon National Park,IMR,1,Transit Parks
BRVB,Brown v. Board of Education National Historic Site,"MWR, SER",4,Urban Low Visitation
BUFF,Buffalo National River,MWR,8,Rural High Visitation
BUIS,Buck Island Reef National Monument,SER,7,Rural Low Visitation
CABR,Cabrillo National Monument,PWR,5,Urban High Visitation
CACH,Canyon de Chelly National Monument,IMR,8,Rural High Visitation
CACL,Castle Clinton National Monument,NER,2,Urban Sites
CACO,Cape Cod National Seashore,NER,1,Transit Parks
CAGR,Casa Grande Ruins National Monument,IMR,4,Urban Low Visitation
CAHA,Cape Hatteras National Seashore,SER,8,Rural High Visitation
CAKR,Cape Krusenstern National Monument,AKR,6,High Seasonal Variation
CALO,Cape Lookout National Seashore,SER,1,Transit Parks
CANA,Canaveral National Seashore,SER,5,Urban High Visitation
CANE,Camp Nelson National Monument,SER,7,Rural Low Visitation
CANY,Canyonlands National Park,IMR,8,Rural High Visitation
CARE,Capitol Reef National Park,IMR,8,Rural High Visitation
CARI,Cane River Creole National Historical Park,SER,7,Rural Low Visitation
CARL,Carl Sandburg Home National Historic Site,SER,1,Transit Parks
CASA,Castillo de San Marcos National Monument,SER,5,Urban High Visitation
CATO,Catoctin Mountain Park,NCR,4,Urban Low Visitation
CAVE,Carlsbad Caverns National Park,IMR,8,Rural High Visitation
CAVO,Capulin Volcano National Monument,IMR,6,High Seasonal Variation
CAWO,Carter G. Woodson Home National Historic Site,NCR,4,Urban Low Visitation
CEBR,Cedar Breaks National Monument,IMR,8,Rural High Visitation
CECH,CÃ©sar E. ChÃ¡vez National Monument,PWR,7,Rural Low Visitation
CHAM,Chamizal National Memorial,IMR,4,Urban Low Visitation
CHAT,Chattahoochee River National Recreation Area,SER,5,Urban High Visitation
CHCH,Chickamauga and Chattanooga National Military Park,SER,5,Urban High Visitation
CHCU,Chaco Culture National Historical Park,IMR,7,Rural Low Visitation
CHIC,Chickasaw National Recreation Area,IMR,8,Rural High Visitation
CHIR,Chiricahua National Monument,IMR,7,Rural Low Visitation
CHIS,Channel Islands National Park,PWR,1,Transit Parks
CHOH,Chesapeake and Ohio Canal National Historical Park,NCR,5,Urban High Visitation
CHPI,Charles Pinckney National Historic Site,SER,7,Rural Low Visitation
CHRI,Christiansted National Historic Site,SER,4,Urban Low Visitation
CHSC,Little Rock Central High School National Historic Site,MWR,4,Urban Low Visitation
CHYO,Charles Young Buffalo Soldiers National Monument,MWR,3,Low Visitation Sites
CIRO,City of Rocks National Reserve,PWR,7,Rural Low Visitation
CLBA,Clara Barton National Historic Site,NCR,2,Urban Sites
COLM,Colorado National Monument,IMR,8,Rural High Visitation
COLO,Colonial National Historical Park,NER,5,Urban High Visitation
CONG,Congaree National Park,SER,4,Urban Low Visitation
CORO,Coronado National Memorial,IMR,4,Urban Low Visitation
COWP,Cowpens National Battlefield,SER,4,Urban Low Visitation
CRLA,Crater Lake National Park,PWR,8,Rural High Visitation
CRMO,Craters of the Moon National Monument and Preserve,PWR,8,Rural High Visitation
CUGA,Cumberland Gap National Historical Park,SER,5,Urban High Visitation
CUIS,Cumberland Island National Seashore,SER,1,Transit Parks
CURE,Curecanti National Recreation Area,IMR,8,Rural High Visitation
CUVA,Cuyahoga Valley National Park,MWR,1,Transit Parks
DAAV,Dayton Aviation Heritage National Historical Park,MWR,2,Urban Sites
DDEM,Dwight D. Eisenhower Memorial,NCR,2,Urban Sites
DENA,Denali National Park and Preserve,AKR,1,Transit Parks
DEPO,Devils Postpile National Monument,PWR,1,Transit Parks
DESO,De Soto National Memorial,SER,3,Low Visitation Sites
DETO,Devils Tower National Monument,IMR,8,Rural High Visitation
DEVA,Death Valley National Park,PWR,8,Rural High Visitation
DEWA,Delaware Water Gap National Recreation Area,NER,1,Transit Parks
DINO,Dinosaur National Monument,IMR,1,Transit Parks
DRTO,Dry Tortugas National Park,SER,1,Transit Parks
EDAL,Edgar Allan Poe National Historic Site,NER,2,Urban Sites
EDIS,Thomas Edison National Historical Park,NER,4,Urban Low Visitation
EFMO,Effigy Mounds National Monument,MWR,3,Low Visitation Sites
EISE,Eisenhower National Historic Site,NER,1,Transit Parks
ELMA,El Malpais National Monument,IMR,7,Rural Low Visitation
ELMO,El Morro National Monument,IMR,7,Rural Low Visitation
ELRO,Eleanor Roosevelt National Historic Site,NER,4,Urban Low Visitation
EUON,Eugene O'Neill National Historic Site,PWR,1,Transit Parks
EVER,Everglades National Park,SER,8,Rural High Visitation
FEHA,Federal Hall National Memorial,NER,2,Urban Sites
FIIS,Fire Island National Seashore,NER,1,Transit Parks
FILA,First Ladies National Historic Site,MWR,3,Low Visitation Sites
FLFO,Florissant Fossil Beds National Monument,IMR,7,Rural Low Visitation
FLNI,Flight 93 National Memorial,NER,8,Rural High Visitation
FOBO,Fort Bowie National Historic Site,IMR,7,Rural Low Visitation
FOBU,Fossil Butte National Monument,IMR,7,Rural Low Visitation
FOCA,Fort Caroline National Memorial,SER,4,Urban Low Visitation
FODA,Fort Davis National Historic Site,IMR,7,Rural Low Visitation
