,park,parking lot,parking,pull off,pulloff,pull-off,total space,parking space,oversized space,garage,parking spot,parking tag,vehicle space,parking area,total,FinalCluster,Label
0,ABLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
1,ACAD,49,331,0,0,1,0,10,0,0,0,0,0,216,607,1.0,Transit Parks
2,ADAM,0,103,0,0,0,0,0,0,39,0,0,0,0,142,1.0,Transit Parks
3,AFBG,0,15,0,0,0,0,0,0,0,0,0,0,0,15,2.0,Urban Sites
4,AGFO,10,29,0,0,0,0,6,0,0,0,0,0,10,55,7.0,Rural Low Visitation
5,ALAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
6,ALFL,1,1,0,0,0,0,0,0,0,0,0,0,0,2,7.0,Rural Low Visitation
7,ALKA,0,3,0,0,0,0,0,0,0,0,0,0,1,4,,
8,ALPO,7,19,0,0,0,0,0,0,0,1,0,0,4,31,4.0,Urban Low Visitation
9,AMIS,4,38,0,0,0,0,1,0,0,0,0,0,14,57,8.0,Rural High Visitation
10,AMME,8,8,0,0,0,0,0,0,0,0,0,0,0,16,,
11,ANDE,0,1,0,0,1,0,0,0,0,0,0,0,0,2,7.0,Rural Low Visitation
12,ANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
13,ANJO,5,14,0,0,0,0,1,0,3,0,0,0,0,23,4.0,Urban Low Visitation
14,ANTI,3,12,0,0,0,0,0,0,0,0,0,0,4,19,4.0,Urban Low Visitation
15,APCO,14,29,1,0,0,0,0,0,0,0,0,0,8,52,7.0,Rural Low Visitation
16,APIS,13,61,0,0,0,0,0,0,0,3,0,0,3,80,6.0,High Seasonal Variation
17,APPA,0,7,0,0,0,0,0,0,0,0,0,0,7,14,,
18,ARCH,63,113,0,0,0,3,0,3,0,2,0,3,1,188,8.0,Rural High Visitation
19,ARHO,0,29,0,0,0,0,0,0,6,0,0,0,0,35,2.0,Urban Sites
20,ARPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
21,ASIS,46,78,1,0,0,0,0,0,0,0,1,0,11,137,8.0,Rural High Visitation
22,AZRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
23,BADL,3,7,0,0,1,0,1,0,0,0,0,0,0,12,8.0,Rural High Visitation
24,BAND,10,24,0,0,0,0,2,0,0,0,0,0,6,42,1.0,Transit Parks
25,BELA,1,3,0,0,0,0,0,0,0,0,0,0,0,4,6.0,High Seasonal Variation
26,BEOL,5,14,0,0,0,0,3,0,0,0,0,0,1,23,7.0,Rural Low Visitation
27,BEPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
28,BIBE,7,29,1,0,2,0,0,0,0,1,0,0,8,48,8.0,Rural High Visitation
29,BICA,3,18,0,0,0,0,0,0,1,0,0,0,11,33,8.0,Rural High Visitation
30,BICY,3,18,0,0,1,0,0,0,0,0,0,0,2,24,6.0,High Seasonal Variation
31,BIHO,6,9,0,0,0,0,0,0,0,0,0,0,1,16,7.0,Rural Low Visitation
32,BISC,3,8,0,0,0,0,2,0,0,0,0,0,1,14,5.0,Urban High Visitation
33,BISO,11,20,0,0,0,0,0,0,0,0,0,0,3,34,8.0,Rural High Visitation
34,BITH,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4.0,Urban Low Visitation
35,BLCA,8,17,0,0,0,0,0,0,0,0,0,0,4,29,6.0,High Seasonal Variation
36,BLRI,0,14,0,0,0,0,0,0,0,0,0,0,10,24,1.0,Transit Parks
37,BLUE,0,7,0,0,0,0,0,0,0,0,0,0,7,14,7.0,Rural Low Visitation
38,BOAF,21,82,0,0,0,0,0,0,1,0,0,0,0,104,2.0,Urban Sites
39,BOHA,7,34,0,0,0,0,0,0,1,0,0,0,0,42,1.0,Transit Parks
40,BOST,35,116,0,0,0,0,1,0,14,0,0,0,0,166,5.0,Urban High Visitation
41,BOWA,1,7,0,0,0,0,0,0,0,0,0,0,4,12,4.0,Urban Low Visitation
42,BRCA,105,189,3,0,0,11,7,11,0,0,0,11,6,343,1.0,Transit Parks
43,BRCR,0,6,0,0,0,0,0,0,0,0,0,0,0,6,,
44,BRVB,86,101,0,0,0,0,0,0,0,0,0,0,0,187,4.0,Urban Low Visitation
45,BUFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
46,BUIS,1,1,0,0,0,0,0,0,0,0,0,0,0,2,7.0,Rural Low Visitation
47,CABR,9,26,0,0,0,0,2,0,0,2,0,0,5,44,5.0,Urban High Visitation
48,CACH,2,3,0,0,0,0,1,0,0,0,0,0,0,6,8.0,Rural High Visitation
49,CACL,0,10,0,0,0,0,0,0,1,0,0,0,0,11,2.0,Urban Sites
50,CACO,5,36,0,0,1,0,0,0,0,0,0,0,9,51,1.0,Transit Parks
51,CAGR,6,25,2,0,0,0,1,0,0,0,0,0,0,34,4.0,Urban Low Visitation
52,CAHA,10,42,0,0,0,0,11,0,0,0,0,0,3,66,8.0,Rural High Visitation
53,CAKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
54,CALO,36,108,0,0,0,0,0,0,0,0,0,0,22,166,1.0,Transit Parks
55,CAMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
56,CANA,3,89,2,0,0,0,2,0,0,2,0,0,79,177,5.0,Urban High Visitation
57,CANY,7,27,0,0,0,0,0,0,0,0,0,0,11,45,8.0,Rural High Visitation
58,CARE,10,37,0,0,0,0,3,0,0,1,0,0,8,59,8.0,Rural High Visitation
59,CARI,23,23,0,0,0,0,0,0,0,0,0,0,0,46,7.0,Rural Low Visitation
60,CARL,69,138,0,0,0,0,10,0,3,0,0,0,0,220,1.0,Transit Parks
61,CASA,16,52,0,0,0,0,0,0,9,0,0,0,1,78,5.0,Urban High Visitation
62,CATO,171,548,0,0,0,26,47,26,0,0,0,26,185,1029,4.0,Urban Low Visitation
63,CAVE,12,18,0,0,0,0,0,0,0,0,0,0,0,30,8.0,Rural High Visitation
64,CAVO,3,25,0,0,0,0,0,0,0,0,0,0,4,32,6.0,High Seasonal Variation
65,CAWO,0,3,0,0,0,0,0,0,0,3,0,0,0,6,4.0,Urban Low Visitation
66,CBGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
67,CEBE,2,17,0,0,1,0,0,0,0,0,0,0,3,23,,
68,CEBR,2,10,0,0,0,0,1,0,0,1,0,0,5,19,8.0,Rural High Visitation
69,CECH,1,2,0,0,0,0,1,0,0,0,0,0,0,4,7.0,Rural Low Visitation
70,CHAM,10,81,0,0,0,0,1,0,0,0,0,0,18,110,4.0,Urban Low Visitation
71,CHAT,144,204,0,0,0,46,2,46,0,0,0,46,16,504,5.0,Urban High Visitation
72,CHCH,36,103,0,0,0,0,7,0,0,0,0,0,7,153,5.0,Urban High Visitation
73,CHCU,2,5,0,0,0,0,0,0,0,0,0,0,3,10,7.0,Rural Low Visitation
74,CHIC,1,33,0,0,0,0,7,0,0,0,0,0,5,46,8.0,Rural High Visitation
75,CHIR,37,51,0,0,0,0,0,0,0,0,0,0,6,94,7.0,Rural Low Visitation
76,CHIS,96,192,0,0,0,0,0,0,1,24,0,0,0,313,1.0,Transit Parks
77,CHOH,101,161,0,0,0,0,0,0,0,0,0,0,9,271,5.0,Urban High Visitation
78,CHPI,31,59,0,0,0,0,0,0,0,0,0,0,0,90,7.0,Rural Low Visitation
79,CHRI,12,14,0,0,0,0,0,0,0,0,0,0,0,26,4.0,Urban Low Visitation
80,CHSC,47,100,0,0,0,0,10,0,0,0,0,0,0,157,4.0,Urban Low Visitation
81,CHYO,8,8,0,0,0,0,0,0,0,0,0,0,0,16,3.0,Low Visitation Sites
82,CIRO,1,12,0,0,0,0,0,0,0,0,0,0,6,19,7.0,Rural Low Visitation
83,CLBA,114,114,0,0,0,0,0,0,0,0,0,0,0,228,2.0,Urban Sites
84,COGA,0,29,0,0,0,0,0,0,0,0,0,0,0,29,,
85,COLM,5,25,0,0,1,0,2,0,0,0,0,0,4,37,8.0,Rural High Visitation
86,COLO,4,54,0,0,0,0,0,0,0,0,0,0,9,67,5.0,Urban High Visitation
87,CONG,59,93,0,0,0,0,3,0,0,0,0,0,8,163,4.0,Urban Low Visitation
88,CORO,2,11,0,0,0,0,0,0,0,0,0,0,6,19,4.0,Urban Low Visitation
89,COWP,7,13,0,0,0,0,1,0,0,0,0,0,2,23,4.0,Urban Low Visitation
90,CRLA,16,37,0,0,0,0,3,0,0,0,0,0,4,60,8.0,Rural High Visitation
91,CRMO,2,38,0,0,0,0,0,0,0,0,0,0,22,62,8.0,Rural High Visitation
92,CRMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
93,CUGA,1,9,0,0,0,0,0,0,0,0,0,0,3,13,5.0,Urban High Visitation
94,CUIS,22,54,0,0,0,7,7,7,0,0,0,0,0,97,1.0,Transit Parks
95,CURE,8,15,0,0,0,0,1,0,0,0,0,0,2,26,8.0,Rural High Visitation
96,CUVA,97,294,0,0,0,3,7,3,0,0,0,8,8,420,1.0,Transit Parks
97,DAAV,43,69,0,0,0,0,0,0,0,0,0,0,1,113,2.0,Urban Sites
98,DELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
99,DENA,23,166,0,0,2,0,1,0,0,1,0,0,13,206,1.0,Transit Parks
100,DEPO,9,34,0,0,0,0,0,0,0,0,0,0,6,49,1.0,Transit Parks
101,DESO,5,5,0,0,0,0,0,0,0,0,0,0,0,10,3.0,Low Visitation Sites
102,DETO,35,116,0,0,0,0,0,0,0,0,0,0,11,162,8.0,Rural High Visitation
103,DEVA,16,68,0,0,0,0,11,0,0,0,0,0,17,112,8.0,Rural High Visitation
104,DEWA,14,69,0,0,0,0,0,0,0,0,0,0,37,120,1.0,Transit Parks
105,DINO,1,3,0,0,0,0,0,0,0,0,0,0,2,6,1.0,Transit Parks
106,DRTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
107,EBLA,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,
108,EDAL,0,43,0,0,0,0,0,0,0,0,0,0,0,43,2.0,Urban Sites
109,EDIS,16,17,0,0,0,0,0,0,5,0,0,0,0,38,4.0,Urban Low Visitation
110,EFMO,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3.0,Low Visitation Sites
111,EISE,0,26,0,0,0,0,0,0,0,0,0,0,0,26,1.0,Transit Parks
112,ELMA,12,44,0,0,0,0,2,0,0,0,0,0,12,70,7.0,Rural Low Visitation
113,ELMO,1,3,0,0,0,0,0,0,0,0,0,0,2,6,7.0,Rural Low Visitation
114,ELRO,15,90,0,0,0,2,19,2,7,0,0,2,27,164,4.0,Urban Low Visitation
115,EUON,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1.0,Transit Parks
116,EVER,19,51,0,7,0,0,6,0,0,3,0,0,11,97,8.0,Rural High Visitation
117,FEHA,0,14,0,0,0,0,0,0,7,0,0,0,0,21,2.0,Urban Sites
118,FIIS,4,29,0,0,0,0,0,0,0,0,0,0,0,33,1.0,Transit Parks
119,FILA,9,50,0,0,0,0,0,0,0,0,0,0,0,59,3.0,Low Visitation Sites
120,FLFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
121,FLNI,9,25,0,0,0,0,1,0,0,3,0,0,3,41,8.0,Rural High Visitation
122,FOBO,3,4,0,0,0,0,0,0,0,0,0,0,0,7,7.0,Rural Low Visitation
123,FOBU,11,17,0,0,0,0,2,0,0,0,0,0,3,33,7.0,Rural Low Visitation
124,FOCA,7,13,0,0,0,0,1,0,0,0,0,0,0,21,4.0,Urban Low Visitation
125,FODA,3,5,0,0,0,0,1,0,0,0,0,0,1,10,7.0,Rural Low Visitation
126,FODO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
127,FOFR,1,3,0,0,0,0,1,0,0,0,0,0,0,5,4.0,Urban Low Visitation
128,FOLA,4,7,0,0,0,0,0,0,0,0,0,0,3,14,7.0,Rural Low Visitation
129,FOLS,18,27,0,0,0,0,0,0,0,0,0,0,2,47,7.0,Rural Low Visitation
130,FOMA,8,16,0,0,0,0,0,0,0,0,0,0,2,26,1.0,Transit Parks
131,FOMC,10,36,0,0,0,0,0,0,0,0,0,0,3,49,5.0,Urban High Visitation
132,FOMR,0,19,0,0,0,0,1,0,0,0,0,0,7,27,,
133,FONE,4,13,0,0,0,0,0,0,0,1,0,0,5,23,4.0,Urban Low Visitation
134,FOPO,1,33,0,0,0,0,0,0,0,14,0,0,0,48,5.0,Urban High Visitation
135,FOPU,0,5,0,0,0,0,0,0,0,0,0,0,0,5,4.0,Urban Low Visitation
