,website page,park,total,parkingpage
634,https://home.nps.gov/arch/planyourvisit/parking.htm,ARCH,53,1
1700,https://www.nps.gov/brca/planyourvisit/parking-information.htm,BRCA,154,1
2320,https://home.nps.gov/carl/planyourvisit/parking.htm,CARL,27,1
2379,https://home.nps.gov/cato/planyourvisit/parking.htm,CATO,363,1
2645,https://www.nps.gov/chat/planyourvisit/parking.htm,CHAT,191,1
3562,https://home.nps.gov/cuva/planyourvisit/parking.htm,CUVA,47,1
3564,https://home.nps.gov/cuva/planyourvisit/oversized-vehicle-parking.htm,CUVA,11,1
3850,https://home.nps.gov/deto/planyourvisit/parking.htm,DETO,37,1
4259,https://www.nps.gov/elro/planyourvisit/parking.htm,ELRO,35,1
5075,https://www.nps.gov/nama/planyourvisit/parking.htm,FOTH,34,1
5993,https://home.nps.gov/grca/planyourvisit/parking_sr.htm,GRCA,41,1
6371,https://home.nps.gov/grte/planyourvisit/parking.htm,GRTE,155,1
6488,https://home.nps.gov/guis/planyourvisit/parking.htm,GUIS,20,1
6551,https://www.nps.gov/gumo/planyourvisit/parking.htm,GUMO,79,1
6697,https://www.nps.gov/hafe/planyourvisit/parking.htm,HAFE,129,1
6875,https://www.nps.gov/havo/planyourvisit/parking.htm,HAVO,153,1
7512,https://home.nps.gov/jeff/planyourvisit/parking.htm,JEFF,31,1
7709,https://www.nps.gov/grte/planyourvisit/parking.htm,JODR,155,1
8045,https://www.nps.gov/kemo/planyourvisit/parking-lots.htm,KEMO,40,1
9123,https://www.nps.gov/nama/planyourvisit/parking.htm,MALL,26,1
9124,https://www.nps.gov/nama/planyourvisit/parking-meter-faq.htm,MALL,35,1
9127,https://www.nps.gov/nama/planyourvisit/dockless-scooter-parking.htm,MALL,9,1
9221,https://www.nps.gov/mana/planyourvisit/parking.htm,MANA,199,1
9804,https://www.nps.gov/moru/planyourvisit/parking.htm,MORU,30,1
9941,https://www.nps.gov/nama/planyourvisit/parking.htm,NACC,26,1
9942,https://www.nps.gov/nama/planyourvisit/parking-meter-faq.htm,NACC,35,1
9945,https://www.nps.gov/nama/planyourvisit/dockless-scooter-parking.htm,NACC,9,1
9986,https://www.nps.gov/nama/planyourvisit/parking.htm,NAMA,26,1
9987,https://www.nps.gov/nama/planyourvisit/parking-meter-faq.htm,NAMA,35,1
9990,https://www.nps.gov/nama/planyourvisit/dockless-scooter-parking.htm,NAMA,9,1
10058,https://home.nps.gov/natr/planyourvisit/extended-vehicle-parking.htm,NATR,8,1
11319,https://www.nps.gov/pore/planyourvisit/parking-lots.htm,PORE,225,1
13445,https://home.nps.gov/vafo/planyourvisit/parking.htm,VAFO,102,1
