,park,bike,cycl,pedestrian,on foot,on-foot,walking,total,FinalCluster,Label
0,ABLI,0,1,0,1,0,4,6,8.0,Rural High Visitation
1,ACAD,54,85,13,2,0,12,166,1.0,Transit Parks
2,ADAM,0,3,0,1,0,1,5,1.0,Transit Parks
3,AFBG,0,3,0,1,0,5,9,2.0,Urban Sites
4,AGFO,0,9,0,0,0,4,13,7.0,Rural Low Visitation
5,ALAG,0,3,0,1,0,4,8,6.0,High Seasonal Variation
6,ALFL,0,2,0,1,0,5,8,7.0,Rural Low Visitation
7,ALKA,0,2,0,1,0,6,9,,
8,ALPO,2,13,2,1,0,7,25,4.0,Urban Low Visitation
9,AMIS,0,12,0,3,0,5,20,8.0,Rural High Visitation
10,AMME,0,2,0,1,0,16,19,,
11,ANDE,0,2,0,2,0,4,8,7.0,Rural Low Visitation
12,ANIA,0,3,0,1,0,4,8,6.0,High Seasonal Variation
13,ANJO,0,2,1,1,0,9,13,4.0,Urban Low Visitation
14,ANTI,0,13,1,1,0,13,28,4.0,Urban Low Visitation
15,APCO,0,2,0,1,0,7,10,7.0,Rural Low Visitation
16,APIS,0,4,0,1,0,10,15,6.0,High Seasonal Variation
17,APPA,0,2,0,1,0,0,3,,
18,ARCH,8,43,1,1,0,5,58,8.0,Rural High Visitation
19,ARHO,0,2,0,1,0,4,7,2.0,Urban Sites
20,ARPO,0,2,0,0,0,0,2,7.0,Rural Low Visitation
21,ASIS,27,28,4,0,0,2,61,8.0,Rural High Visitation
22,AZRU,0,2,0,0,0,0,2,7.0,Rural Low Visitation
23,BADL,0,8,0,0,0,0,8,8.0,Rural High Visitation
24,BAND,0,16,0,2,0,74,92,1.0,Transit Parks
25,BELA,1,2,1,1,0,5,10,6.0,High Seasonal Variation
26,BEOL,0,2,0,0,0,4,6,7.0,Rural Low Visitation
27,BEPA,0,2,0,1,0,6,9,2.0,Urban Sites
28,BIBE,5,186,3,4,0,16,214,8.0,Rural High Visitation
29,BICA,0,15,0,0,0,3,18,8.0,Rural High Visitation
30,BICY,4,41,1,4,0,9,59,6.0,High Seasonal Variation
31,BIHO,2,13,0,0,0,4,19,7.0,Rural Low Visitation
32,BISC,1,2,0,1,0,5,9,5.0,Urban High Visitation
