,park,url,url_stem,ped_page
0,abli,/abli/planyourvisit/lincolnbio.htm,lincolnbio,0
1,abli,/abli/planyourvisit/hours.htm,hours,0
2,abli,/abli/planyourvisit/boyhood-home.htm,boyhood-home,0
3,abli,/abli/planyourvisit/basicinfo.htm,basicinfo,0
4,abli,/abli/planyourvisit/directions.htm,directions,0
5,abli,/abli/planyourvisit/conditions.htm,conditions,0
6,abli,/abli/planyourvisit/maps.htm,maps,0
7,abli,/abli/planyourvisit/basicinfo.htm,basicinfo,0
8,abli,/abli/planyourvisit/boyhood-home-unit.htm,boyhood-home-unit,0
9,abli,/abli/planyourvisit/directions.htm,directions,0
10,abli,/abli/planyourvisit/boyhood-home.htm,boyhood-home,0
11,abli,/abli/planyourvisit/fees.htm,fees,0
12,abli,/abli/planyourvisit/hours.htm,hours,0
13,abli,/abli/planyourvisit/lincolnbio.htm,lincolnbio,0
14,abli,/abli/planyourvisit/birthplace-unit.htm,birthplace-unit,0
15,abli,/abli/planyourvisit/conditions.htm,conditions,0
16,abli,/abli/planyourvisit/maps.htm,maps,0
17,abli,/abli/planyourvisit/birthplace-unit.htm,birthplace-unit,0
18,abli,/abli/planyourvisit/boyhood-home-unit.htm,boyhood-home-unit,0
19,abli,/abli/planyourvisit/lincoln-pets.htm,lincoln-pets,0
20,abli,/abli/planyourvisit/index.htm,index,0
21,abli,/abli/planyourvisit/milksickness.htm,milksickness,0
22,abli,/abli/planyourvisit/pets.htm,pets,0
23,abli,/abli/planyourvisit/things2do.htm,things2do,0
24,abli,/abli/planyourvisit/visitorcenters.htm,visitorcenters,0
25,abli,/abli/planyourvisit/events.htm,events,0
26,abli,/abli/planyourvisit/events.htm,events,0
27,abli,/abli/planyourvisit/placestogo.htm,placestogo,0
28,abli,/abli/planyourvisit/fees.htm,fees,0
29,abli,/abli/planyourvisit/index.htm,index,0
30,abli,/abli/planyourvisit/picnic-area.htm,picnic-area,0
31,abli,/abli/planyourvisit/calendar.htm,calendar,0
32,abli,/abli/planyourvisit/hiking-trails.htm,hiking-trails,0
33,abli,/abli/planyourvisit/things2do.htm,things2do,0
34,abli,/abli/planyourvisit/visitorcenters.htm,visitorcenters,0
35,abli,/abli/planyourvisit/weather.htm,weather,0
36,abli,/abli/planyourvisit/animals.htm,animals,0
37,abli,/abli/planyourvisit/audio-tours.htm,audio-tours,0
38,abli,/abli/planyourvisit/calendar.htm,calendar,0
39,abli,/abli/planyourvisit/picnic-area.htm,picnic-area,0
40,abli,/abli/planyourvisit/accessibility.htm,accessibility,0
41,abli,/abli/planyourvisit/accessibility.htm,accessibility,0
42,abli,/abli/planyourvisit/big-sink-trail.htm,big-sink-trail,0
43,abli,/abli/planyourvisit/first-amendment-activities-involving-groups-of-25-or-more-restricted-to-specific-areas.htm,first-amendment-activities-involving-groups-of-25-or-more-restricted-to-specific-areas,0
44,abli,/abli/planyourvisit/hiking-trails.htm,hiking-trails,0
45,abli,/abli/planyourvisit/milksickness.htm,milksickness,0
46,abli,/abli/planyourvisit/overlook-trail-at-knob-creek.htm,overlook-trail-at-knob-creek,0
47,abli,/abli/planyourvisit/weather.htm,weather,0
48,abli,/abli/planyourvisit/accessible-trails.htm,accessible-trails,0
49,abli,/abli/planyourvisit/animals.htm,animals,0
50,abli,/abli/planyourvisit/audio-tours.htm,audio-tours,0
51,abli,/abli/planyourvisit/big-sink-trail.htm,big-sink-trail,0
52,abli,/abli/planyourvisit/first-amendment-activities-involving-groups-of-25-or-more-restricted-to-specific-areas.htm,first-amendment-activities-involving-groups-of-25-or-more-restricted-to-specific-areas,0
53,abli,/abli/planyourvisit/goodsandservices.htm,goodsandservices,0
54,abli,/abli/planyourvisit/lincoln-pets.htm,lincoln-pets,0
55,abli,/abli/planyourvisit/nearbyattractions.htm,nearbyattractions,0
56,abli,/abli/planyourvisit/picnic-area-special-use-permits.htm,picnic-area-special-use-permits,0
57,abli,/abli/planyourvisit/picnic-area-special-use-permits.htm,picnic-area-special-use-permits,0
58,abli,/abli/planyourvisit/safety.htm,safety,0
59,abli,/abli/planyourvisit/sinkingspring.htm,sinkingspring,0
60,acad,/acad/planyourvisit//basicinfo.htm,/basicinfo,0
61,acad,/acad/planyourvisit//basicinfo.htm,/basicinfo,0
62,acad,/acad/planyourvisit/apps.htm,apps,0
63,acad,/acad/planyourvisit/apps.htm,apps,0
64,acad,/acad/planyourvisit/at-home-crafts-and-activities.htm,at-home-crafts-and-activities,0
65,acad,/acad/planyourvisit/baker-island.htm,baker-island,0
66,acad,/acad/planyourvisit/baker-island.htm,baker-island,0
67,acad,/acad/planyourvisit/basicinfo.htm,basicinfo,0
68,acad,/acad/planyourvisit/basicinfo.htm,basicinfo,0
69,acad,/acad/planyourvisit/bass-harbor-head-light-station.htm,bass-harbor-head-light-station,0
70,acad,/acad/planyourvisit/bass-harbor-head-light-station.htm,bass-harbor-head-light-station,0
71,acad,/acad/planyourvisit/bicycling.htm,bicycling,1
72,acad,/acad/planyourvisit/bicycling.htm,bicycling,1
73,acad,/acad/planyourvisit/birdwatching.htm,birdwatching,0
74,acad,/acad/planyourvisit/birdwatching.htm,birdwatching,0
75,acad,/acad/planyourvisit/blackwoods-campground.htm,blackwoods-campground,0
76,acad,/acad/planyourvisit/blackwoods-campground.htm,blackwoods-campground,0
77,acad,/acad/planyourvisit/boating.htm,boating,0
78,acad,/acad/planyourvisit/boating.htm,boating,0
79,acad,/acad/planyourvisit/buscoachrules.htm,buscoachrules,0
80,acad,/acad/planyourvisit/buscoachrules.htm,buscoachrules,0
81,acad,/acad/planyourvisit/cadillac-mountain.htm,cadillac-mountain,0
82,acad,/acad/planyourvisit/cadillac-mountain.htm,cadillac-mountain,0
83,acad,/acad/planyourvisit/calendar.htm,calendar,0
84,acad,/acad/planyourvisit/calendar.htm,calendar,0
85,acad,/acad/planyourvisit/camping.htm,camping,0
86,acad,/acad/planyourvisit/camping.htm,camping,0
87,acad,/acad/planyourvisit/carriage-roads.htm,carriage-roads,0
88,acad,/acad/planyourvisit/carriage-roads.htm,carriage-roads,0
89,acad,/acad/planyourvisit/chambersofcommerce.htm,chambersofcommerce,0
90,acad,/acad/planyourvisit/chambersofcommerce.htm,chambersofcommerce,0
91,acad,/acad/planyourvisit/climbing.htm,climbing,0
92,acad,/acad/planyourvisit/climbing.htm,climbing,0
93,acad,/acad/planyourvisit/climbing-route-development.htm,climbing-route-development,0
94,acad,/acad/planyourvisit/commercial-filming-and-photography.htm,commercial-filming-and-photography,0
95,acad,/acad/planyourvisit/commercial-filming-and-photography.htm,commercial-filming-and-photography,0
96,acad,/acad/planyourvisit/conditions.htm,conditions,0
97,acad,/acad/planyourvisit/conditions.htm,conditions,0
98,acad,/acad/planyourvisit/directions.htm,directions,0
99,acad,/acad/planyourvisit/directions.htm,directions,0
100,acad,/acad/planyourvisit/duckharbor.htm,duckharbor,0
101,acad,/acad/planyourvisit/accessibility.htm,accessibility,0
102,acad,/acad/planyourvisit/duckharbor.htm,duckharbor,0
103,acad,/acad/planyourvisit/east-side.htm,east-side,0
104,acad,/acad/planyourvisit/east-side.htm,east-side,0
105,acad,/acad/planyourvisit/eating.htm,eating,0
106,acad,/acad/planyourvisit/eating.htm,eating,0
107,acad,/acad/planyourvisit/family-activities.htm,family-activities,0
108,acad,/acad/planyourvisit/family-activities.htm,family-activities,0
109,acad,/acad/planyourvisit/faqs.htm,faqs,0
110,acad,/acad/planyourvisit/faqs.htm,faqs,0
111,acad,/acad/planyourvisit/fees.htm,fees,0
112,acad,/acad/planyourvisit/fees.htm,fees,0
113,acad,/acad/planyourvisit/feewaivers.htm,feewaivers,0
114,acad,/acad/planyourvisit/firewood.htm,firewood,0
115,acad,/acad/planyourvisit/firewood.htm,firewood,0
116,acad,/acad/planyourvisit/fishing.htm,fishing,0
117,acad,/acad/planyourvisit/fishing.htm,fishing,0
118,acad,/acad/planyourvisit/forecast.htm,forecast,0
119,acad,/acad/planyourvisit/forecast.htm,forecast,0
120,acad,/acad/planyourvisit/for-kids.htm,for-kids,0
121,acad,/acad/planyourvisit/for-kids.htm,for-kids,0
122,acad,/acad/planyourvisit/groupclimbing.htm,groupclimbing,0
123,acad,/acad/planyourvisit/groupclimbing.htm,groupclimbing,0
124,acad,/acad/planyourvisit/hike-bus.htm,hike-bus,0
125,acad,/acad/planyourvisit/hike-bus.htm,hike-bus,0
126,acad,/acad/planyourvisit/hike-coast.htm,hike-coast,0
127,acad,/acad/planyourvisit/hike-coast.htm,hike-coast,0
128,acad,/acad/planyourvisit/hike-forest.htm,hike-forest,0
129,acad,/acad/planyourvisit/hike-forest.htm,hike-forest,0
130,acad,/acad/planyourvisit/hike-loops.htm,hike-loops,0
131,acad,/acad/planyourvisit/hike-loops.htm,hike-loops,0
132,acad,/acad/planyourvisit/hike-mdi.htm,hike-mdi,0
133,acad,/acad/planyourvisit/hike-mdi.htm,hike-mdi,0
134,acad,/acad/planyourvisit/hike-out-back.htm,hike-out-back,0
135,acad,/acad/planyourvisit/hikes-jordan-pond.htm,hikes-jordan-pond,0
136,acad,/acad/planyourvisit/hikes-jordan-pond.htm,hikes-jordan-pond,0
137,acad,/acad/planyourvisit/hikes-sand-beach-otter-point.htm,hikes-sand-beach-otter-point,0
138,acad,/acad/planyourvisit/hikes-sieur-de-monts.htm,hikes-sieur-de-monts,0
139,acad,/acad/planyourvisit/hike-summit.htm,hike-summit,0
140,acad,/acad/planyourvisit/hike-summit.htm,hike-summit,0
141,acad,/acad/planyourvisit/accessibility-waysides-schoodic.htm,accessibility-waysides-schoodic,0
142,acad,/acad/planyourvisit/hiking.htm,hiking,0
143,acad,/acad/planyourvisit/hiking.htm,hiking,0
144,acad,/acad/planyourvisit/horsebackriding.htm,horsebackriding,0
145,acad,/acad/planyourvisit/horsebackriding.htm,horsebackriding,0
146,acad,/acad/planyourvisit/hours.htm,hours,0
147,acad,/acad/planyourvisit/hours.htm,hours,0
148,acad,/acad/planyourvisit/index.htm,index,0
149,acad,/acad/planyourvisit/index.htm,index,0
150,acad,/acad/planyourvisit/island-explorer.htm,island-explorer,0
151,acad,/acad/planyourvisit/island-explorer.htm,island-explorer,0
152,acad,/acad/planyourvisit/isle-au-haut.htm,isle-au-haut,0
153,acad,/acad/planyourvisit/isle-au-haut.htm,isle-au-haut,0
154,acad,/acad/planyourvisit/isle-au-haut-copy.htm,isle-au-haut-copy,0
155,acad,/acad/planyourvisit/islesford-historical-museum.htm,islesford-historical-museum,0
156,acad,/acad/planyourvisit/islesford-historical-museum.htm,islesford-historical-museum,0
157,acad,/acad/planyourvisit/jordan-pond.htm,jordan-pond,0
158,acad,/acad/planyourvisit/jordan-pond.htm,jordan-pond,0
159,acad,/acad/planyourvisit/junior-ranger.htm,junior-ranger,0
160,acad,/acad/planyourvisit/junior-ranger.htm,junior-ranger,0
161,acad,/acad/planyourvisit/leavenotrace.htm,leavenotrace,0
162,acad,/acad/planyourvisit/leavenotrace.htm,leavenotrace,0
163,acad,/acad/planyourvisit/maps.htm,maps,0
164,acad,/acad/planyourvisit/maps.htm,maps,0
165,acad,/acad/planyourvisit/nearby-attractions.htm,nearby-attractions,0
166,acad,/acad/planyourvisit/nearby-attractions.htm,nearby-attractions,0
167,acad,/acad/planyourvisit/outer-islands.htm,outer-islands,0
168,acad,/acad/planyourvisit/oversized-vehicles.htm,oversized-vehicles,0
169,acad,/acad/planyourvisit/accessibility.htm,accessibility,0
170,acad,/acad/planyourvisit/oversized-vehicles.htm,oversized-vehicles,0
171,acad,/acad/planyourvisit/park-brochure.htm,park-brochure,0
172,acad,/acad/planyourvisit/park-loop-road.htm,park-loop-road,0
173,acad,/acad/planyourvisit/park-loop-road.htm,park-loop-road,0
174,acad,/acad/planyourvisit/park-rules-and-regulations.htm,park-rules-and-regulations,0
175,acad,/acad/planyourvisit/park-rules-and-regulations.htm,park-rules-and-regulations,0
176,acad,/acad/planyourvisit/park-store.htm,park-store,0
177,acad,/acad/planyourvisit/park-store.htm,park-store,0
178,acad,/acad/planyourvisit/passport-stamps.htm,passport-stamps,0
179,acad,/acad/planyourvisit/passport-stamps.htm,passport-stamps,0
180,acad,/acad/planyourvisit/permits.htm,permits,0
181,acad,/acad/planyourvisit/permits.htm,permits,0
182,acad,/acad/planyourvisit/pets.htm,pets,0
183,acad,/acad/planyourvisit/pets.htm,pets,0
184,acad,/acad/planyourvisit/physical-mobility.htm,physical-mobility,0
185,acad,/acad/planyourvisit/physical-mobility.htm,physical-mobility,0
186,acad,/acad/planyourvisit/placestogo.htm,placestogo,0
187,acad,/acad/planyourvisit/placestogo.htm,placestogo,0
188,acad,/acad/planyourvisit/postoffice.htm,postoffice,0
189,acad,/acad/planyourvisit/postoffice.htm,postoffice,0
190,acad,/acad/planyourvisit/publications.htm,publications,0
191,acad,/acad/planyourvisit/ranger_programs_descriptions.htm,ranger_programs_descriptions,0
192,acad,/acad/planyourvisit/ranger_programs_descriptions.htm,ranger_programs_descriptions,0
193,acad,/acad/planyourvisit/safety.htm,safety,0
194,acad,/acad/planyourvisit/safety.htm,safety,0
195,acad,/acad/planyourvisit/sand-beach-otter-point.htm,sand-beach-otter-point,0
196,acad,/acad/planyourvisit/schoodic.htm,schoodic,0
197,acad,/acad/planyourvisit/schoodic.htm,schoodic,0
198,acad,/acad/planyourvisit/schoodic-trails.htm,schoodic-trails,0
199,acad,/acad/planyourvisit/schoodic-trails.htm,schoodic-trails,0
200,acad,/acad/planyourvisit/schoodic-woods-campground.htm,schoodic-woods-campground,0
201,acad,/acad/planyourvisit/schoodic-woods-campground.htm,schoodic-woods-campground,0
202,acad,/acad/planyourvisit/seawall.htm,seawall,0
