,park, bus ,shuttle,transit,public transportation,ferry,ferry service,subway,train,metro,total,FinalCluster,Label,ferrynet
0,ABLI,0,0,0,6,0,0,0,2,0,8,8.0,Rural High Visitation,0
1,ACAD,26,15,1,5,12,1,0,10,0,70,1.0,Transit Parks,11
2,ADAM,0,1,0,21,0,0,21,14,1,58,1.0,Transit Parks,0
3,AFBG,0,0,5,14,0,0,8,5,1,33,2.0,Urban Sites,0
4,AGFO,0,0,0,14,0,0,0,4,0,18,7.0,Rural Low Visitation,0
5,ALAG,0,0,0,0,0,0,0,2,0,2,6.0,High Seasonal Variation,0
6,ALFL,0,0,0,0,0,0,0,2,0,2,7.0,Rural Low Visitation,0
7,ALKA,0,0,0,0,0,0,0,4,0,4,,,0
8,ALPO,1,0,0,14,0,0,0,3,0,18,4.0,Urban Low Visitation,0
9,AMIS,1,1,4,0,0,0,0,16,0,22,8.0,Rural High Visitation,0
10,AMME,0,0,0,0,0,0,0,4,0,4,,,0
11,ANDE,0,0,0,7,0,0,0,5,0,12,7.0,Rural Low Visitation,0
12,ANIA,0,0,0,0,0,0,0,2,0,2,6.0,High Seasonal Variation,0
13,ANJO,0,0,26,15,0,0,0,4,0,45,4.0,Urban Low Visitation,0
14,ANTI,1,0,0,0,0,0,0,25,0,26,4.0,Urban Low Visitation,0
15,APCO,7,0,1,0,0,0,0,4,0,12,7.0,Rural Low Visitation,0
16,APIS,0,9,4,0,2,1,0,8,0,24,6.0,High Seasonal Variation,1
17,APPA,25,6,6,0,0,0,0,31,6,74,,,0
18,ARCH,21,19,0,9,0,0,0,12,0,61,8.0,Rural High Visitation,0
19,ARHO,9,2,0,9,0,0,18,3,13,54,2.0,Urban Sites,0
20,ARPO,0,0,0,14,0,0,0,0,0,14,7.0,Rural Low Visitation,0
21,ASIS,0,0,0,14,2,0,0,7,0,23,8.0,Rural High Visitation,2
22,AZRU,12,0,6,6,0,0,0,0,0,24,7.0,Rural Low Visitation,0
23,BADL,0,0,0,0,0,0,0,1,0,1,8.0,Rural High Visitation,0
24,BAND,11,22,0,0,0,0,0,5,0,38,1.0,Transit Parks,0
25,BELA,0,0,0,0,0,0,0,3,0,3,6.0,High Seasonal Variation,0
26,BEOL,7,1,0,0,0,0,0,16,0,24,7.0,Rural Low Visitation,0
27,BEPA,0,0,0,0,0,0,0,2,7,9,2.0,Urban Sites,0
28,BIBE,1,14,1,21,1,0,0,8,0,46,8.0,Rural High Visitation,1
29,BICA,0,0,0,17,0,0,0,2,0,19,8.0,Rural High Visitation,0
30,BICY,0,2,0,0,0,0,0,28,0,30,6.0,High Seasonal Variation,0
31,BIHO,32,1,0,17,0,0,0,8,0,58,7.0,Rural Low Visitation,0
32,BISC,1,0,0,22,1,1,0,6,1,32,5.0,Urban High Visitation,0
33,BISO,1,3,0,0,0,0,0,48,1,53,8.0,Rural High Visitation,0
34,BITH,1,1,0,7,3,0,0,3,0,15,4.0,Urban Low Visitation,3
35,BLCA,7,0,0,7,0,0,0,3,0,17,6.0,High Seasonal Variation,0
36,BLRI,1,1,0,1,0,0,0,3,0,6,1.0,Transit Parks,0
37,BLUE,0,2,0,0,0,0,0,7,0,9,7.0,Rural Low Visitation,0
38,BOAF,42,0,21,23,1,0,47,44,0,178,2.0,Urban Sites,1
39,BOHA,0,0,7,23,35,0,9,0,0,74,1.0,Transit Parks,35
40,BOST,42,0,22,24,71,0,61,60,0,280,5.0,Urban High Visitation,71
41,BOWA,0,0,0,14,0,0,0,0,0,14,4.0,Urban Low Visitation,0
42,BRCA,22,214,3,16,0,0,0,10,0,265,1.0,Transit Parks,0
43,BRCR,2,0,0,0,0,0,0,0,0,2,,,0
44,BRVB,0,0,0,0,0,0,0,2,0,2,4.0,Urban Low Visitation,0
45,BUFF,0,0,0,12,0,0,0,0,0,12,8.0,Rural High Visitation,0
46,BUIS,0,0,2,0,0,0,0,2,0,4,7.0,Rural Low Visitation,0
47,CABR,8,0,5,37,0,0,0,7,3,60,5.0,Urban High Visitation,0
48,CACH,7,0,7,0,0,0,0,9,0,23,8.0,Rural High Visitation,0
49,CACL,1,0,4,10,10,0,17,27,2,71,2.0,Urban Sites,10
50,CACO,6,5,4,1,3,2,0,0,0,21,1.0,Transit Parks,1
51,CAGR,0,0,0,0,0,0,0,3,0,3,4.0,Urban Low Visitation,0
52,CAHA,0,3,2,0,148,8,0,6,0,167,8.0,Rural High Visitation,140
53,CAKR,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation,0
54,CALO,0,19,0,0,477,130,0,0,0,626,1.0,Transit Parks,347
55,CAMO,0,0,0,7,0,0,0,0,8,15,,,0
56,CANA,0,0,0,7,0,0,0,5,0,12,5.0,Urban High Visitation,0
57,CANY,3,14,0,14,1,0,0,16,0,48,8.0,Rural High Visitation,1
58,CARE,0,5,0,0,0,0,0,9,0,14,8.0,Rural High Visitation,0
59,CARI,0,0,0,0,0,0,0,1,0,1,7.0,Rural Low Visitation,0
60,CARL,1,20,0,0,0,0,0,8,0,29,1.0,Transit Parks,0
61,CASA,0,0,0,2,0,0,0,2,0,4,5.0,Urban High Visitation,0
62,CATO,1,0,0,24,0,0,0,120,1,146,4.0,Urban Low Visitation,0
63,CAVE,6,0,0,0,0,0,0,0,0,6,8.0,Rural High Visitation,0
64,CAVO,0,0,1,8,0,0,0,3,0,12,6.0,High Seasonal Variation,0
65,CAWO,0,0,0,7,0,0,0,0,14,21,4.0,Urban Low Visitation,0
66,CBGN,0,0,0,0,0,0,0,0,0,0,,,0
67,CEBE,0,0,0,0,0,0,0,2,0,2,,,0
68,CEBR,0,1,0,0,0,0,0,5,0,6,8.0,Rural High Visitation,0
69,CECH,7,0,0,0,0,0,0,0,0,7,7.0,Rural Low Visitation,0
70,CHAM,0,0,21,0,0,0,0,4,15,40,4.0,Urban Low Visitation,0
71,CHAT,0,2,8,7,50,0,0,3,9,79,5.0,Urban High Visitation,50
72,CHCH,0,1,0,15,3,0,0,2,7,28,5.0,Urban High Visitation,3
73,CHCU,1,0,0,14,0,0,0,2,0,17,7.0,Rural Low Visitation,0
74,CHIC,0,0,0,0,0,0,0,16,0,16,8.0,Rural High Visitation,0
75,CHIR,0,49,0,14,0,0,0,4,0,67,7.0,Rural Low Visitation,0
76,CHIS,24,0,24,62,0,0,0,51,24,185,1.0,Transit Parks,0
77,CHOH,6,2,0,0,102,0,0,2,1,113,5.0,Urban High Visitation,102
78,CHPI,0,0,0,0,7,0,0,3,0,10,7.0,Rural Low Visitation,7
79,CHRI,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation,0
80,CHSC,16,0,0,0,0,0,0,2,0,18,4.0,Urban Low Visitation,0
81,CHYO,0,0,0,0,0,0,0,3,0,3,3.0,Low Visitation Sites,0
82,CIRO,0,0,0,14,0,0,0,1,7,22,7.0,Rural Low Visitation,0
83,CLBA,1,0,0,0,0,0,0,0,1,2,2.0,Urban Sites,0
84,COGA,0,2,0,16,0,0,7,7,8,40,,,0
85,COLM,10,0,7,7,0,0,0,9,0,33,8.0,Rural High Visitation,0
86,COLO,7,0,0,7,0,0,0,0,0,14,5.0,Urban High Visitation,0
87,CONG,28,0,0,7,9,0,0,1,15,60,4.0,Urban Low Visitation,9
88,CORO,0,3,0,14,0,0,0,1,0,18,4.0,Urban Low Visitation,0
89,COWP,0,0,0,0,0,0,0,1,0,1,4.0,Urban Low Visitation,0
90,CRLA,0,0,3,14,0,0,0,7,0,24,8.0,Rural High Visitation,0
91,CRMO,0,0,0,0,0,0,0,5,0,5,8.0,Rural High Visitation,0
92,CRMP,0,0,0,0,0,0,0,2,0,2,,,0
93,CUGA,7,6,0,41,0,0,0,9,0,63,5.0,Urban High Visitation,0
94,CUIS,0,1,0,0,174,1,0,3,0,179,1.0,Transit Parks,173
95,CURE,7,0,0,7,0,0,0,24,0,38,8.0,Rural High Visitation,0
96,CUVA,0,6,0,0,0,0,0,138,30,174,1.0,Transit Parks,0
97,DAAV,0,0,7,14,0,0,0,0,0,21,2.0,Urban Sites,0
98,DELA,0,0,0,0,0,0,0,0,0,0,,,0
99,DENA,417,173,212,3,1,0,0,79,0,885,1.0,Transit Parks,1
100,DEPO,78,188,14,1,0,0,0,2,0,283,1.0,Transit Parks,0
101,DESO,7,0,7,7,0,0,0,0,0,21,3.0,Low Visitation Sites,0
102,DETO,0,3,0,2,0,0,0,6,0,11,8.0,Rural High Visitation,0
103,DEVA,0,2,1,7,0,0,0,90,0,100,8.0,Rural High Visitation,0
104,DEWA,22,75,10,0,8,0,0,4,0,119,1.0,Transit Parks,8
105,DINO,3,9,0,2,0,0,0,0,0,14,1.0,Transit Parks,0
106,DRTO,0,2,7,3,91,0,0,1,0,104,1.0,Transit Parks,91
107,EBLA,7,14,22,8,79,0,0,0,0,130,,,79
108,EDAL,7,0,0,9,0,0,0,9,0,25,2.0,Urban Sites,0
109,EDIS,28,0,14,7,0,0,0,4,0,53,4.0,Urban Low Visitation,0
110,EFMO,7,0,0,0,0,0,0,14,0,21,3.0,Low Visitation Sites,0
111,EISE,7,0,0,0,0,0,0,0,0,7,1.0,Transit Parks,0
112,ELMA,0,1,7,15,0,0,0,3,0,26,7.0,Rural Low Visitation,0
113,ELMO,0,0,0,0,0,0,0,2,0,2,7.0,Rural Low Visitation,0
114,ELRO,7,5,7,0,0,0,0,10,7,36,4.0,Urban Low Visitation,0
115,EUON,14,58,7,7,0,0,0,4,0,90,1.0,Transit Parks,0
116,EVER,0,2,8,26,0,0,0,3,0,39,8.0,Rural High Visitation,0
117,FEHA,2,0,20,28,2,0,8,1,2,63,2.0,Urban Sites,2
118,FIIS,1,2,1,2,86,15,0,72,0,179,1.0,Transit Parks,71
119,FILA,0,0,0,0,0,0,0,2,0,2,3.0,Low Visitation Sites,0
120,FLFO,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation,0
121,FLNI,1,1,0,0,0,0,0,6,0,8,8.0,Rural High Visitation,0
122,FOBO,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation,0
123,FOBU,0,0,0,0,4,0,0,3,0,7,7.0,Rural Low Visitation,4
124,FOCA,4,0,0,0,36,0,0,4,0,44,4.0,Urban Low Visitation,36
125,FODA,0,0,0,24,0,0,0,1,0,25,7.0,Rural Low Visitation,0
126,FODO,0,0,0,0,0,0,0,2,0,2,7.0,Rural Low Visitation,0
127,FOFR,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation,0
128,FOLA,0,0,0,0,0,0,0,1,0,1,7.0,Rural Low Visitation,0
129,FOLS,0,0,0,0,0,0,0,3,0,3,7.0,Rural Low Visitation,0
130,FOMA,7,0,1,14,55,32,0,0,0,109,1.0,Transit Parks,23
131,FOMC,17,0,8,8,0,0,0,0,0,33,5.0,Urban High Visitation,0
132,FOMR,0,0,0,0,0,0,0,1,0,1,,,0
133,FONE,8,0,0,1,0,0,1,2,0,12,4.0,Urban Low Visitation,0
134,FOPO,7,21,7,0,0,0,0,0,0,35,5.0,Urban High Visitation,0
135,FOPU,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation,0
136,FORA,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation,0
137,FOSC,1,0,0,0,0,0,0,9,0,10,7.0,Rural Low Visitation,0
138,FOSM,0,0,0,7,0,0,0,3,0,10,3.0,Low Visitation Sites,0
139,FOST,17,0,1,54,0,0,0,11,0,83,6.0,High Seasonal Variation,0
140,FOSU,0,0,7,7,35,0,0,4,0,53,1.0,Transit Parks,35
141,FOTH,13,2,3,18,0,0,7,9,37,89,2.0,Urban Sites,0
142,FOUN,0,0,0,14,0,0,0,1,0,15,7.0,Rural Low Visitation,0
143,FOUS,0,1,2,14,0,0,0,2,0,19,7.0,Rural Low Visitation,0
144,FOVA,4,0,5,0,0,0,0,36,1,46,5.0,Urban High Visitation,0
145,FOWA,0,0,0,0,0,0,0,1,0,1,4.0,Urban Low Visitation,0
146,FRDE,8,2,3,16,0,0,7,9,21,66,2.0,Urban Sites,0
147,FRDO,8,0,0,8,0,0,0,9,0,25,2.0,Urban Sites,0
148,FRHI,0,0,0,0,0,0,0,2,0,2,6.0,High Seasonal Variation,0
149,FRLA,7,0,0,8,0,0,7,2,0,24,2.0,Urban Sites,0
150,FRSP,0,0,0,0,0,0,0,5,0,5,5.0,Urban High Visitation,0
151,FRST,0,0,0,0,0,0,0,0,0,0,,,0
152,GAAR,0,1,2,0,0,0,0,8,0,11,6.0,High Seasonal Variation,0
153,GARI,0,0,1,0,17,0,0,1,0,19,6.0,High Seasonal Variation,17
154,GATE,3,1,3,1,25,0,14,6,3,56,5.0,Urban High Visitation,25
155,GEGR,2,0,4,32,0,0,2,4,2,46,6.0,High Seasonal Variation,0
156,GERO,1,0,0,0,0,0,0,6,0,7,4.0,Urban Low Visitation,0
157,GETT,7,1,25,6,0,0,0,0,0,39,5.0,Urban High Visitation,0
158,GEWA,0,0,0,0,2,0,0,8,0,10,7.0,Rural Low Visitation,2
159,GICL,0,0,0,7,0,0,0,6,0,13,7.0,Rural Low Visitation,0
160,GLAC,36,371,7,0,0,0,0,60,0,474,1.0,Transit Parks,0
161,GLBA,2,2,2,0,71,0,0,0,0,77,1.0,Transit Parks,71
162,GLCA,1,34,0,14,271,15,0,6,0,341,1.0,Transit Parks,256
163,GOGA,8,18,31,13,14,1,0,44,0,129,1.0,Transit Parks,13
164,GOIS,7,0,3,0,54,8,15,1,1,89,1.0,Transit Parks,46
165,GOSP,2,0,0,0,0,0,0,1,0,3,7.0,Rural Low Visitation,0
166,GRBA,0,0,0,28,0,0,0,16,11,55,8.0,Rural High Visitation,0
167,GRCA,263,413,12,22,23,0,0,147,0,880,1.0,Transit Parks,23
168,GREE,0,0,13,0,0,0,52,3,59,127,4.0,Urban Low Visitation,0
169,GREG,0,0,0,0,0,0,0,2,0,2,,,0
170,GRKO,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites,0
171,GRPO,8,0,14,0,0,0,0,3,0,25,6.0,High Seasonal Variation,0
172,GRSA,0,0,0,1,0,0,0,5,0,6,6.0,High Seasonal Variation,0
173,GRSM,67,78,0,30,0,0,0,9,0,184,8.0,Rural High Visitation,0
174,GRTE,1,11,3,0,7,0,0,9,0,31,8.0,Rural High Visitation,7
175,GUCO,8,0,0,29,0,0,0,5,0,42,5.0,Urban High Visitation,0
176,GUIS,0,0,0,1,24,2,0,1,0,28,1.0,Transit Parks,22
177,GUMO,1,8,0,14,0,0,0,2,0,25,8.0,Rural High Visitation,0
178,GWCA,0,0,0,0,0,0,0,2,0,2,4.0,Urban Low Visitation,0
179,GWMP,2,0,2,27,0,0,0,5,18,54,5.0,Urban High Visitation,0
180,HAFE,34,49,0,0,6,1,0,71,0,161,1.0,Transit Parks,5
181,HAFO,0,0,0,28,0,0,0,4,0,32,7.0,Rural Low Visitation,0
182,HAGR,28,0,4,10,0,0,8,19,8,77,2.0,Urban Sites,0
183,HALE,1,1,0,31,0,0,0,0,0,33,8.0,Rural High Visitation,0
184,HAMP,7,0,0,7,0,0,0,0,0,14,4.0,Urban Low Visitation,0
185,HATU,0,0,0,0,0,0,0,0,0,0,,,0
186,HAVO,22,14,0,23,0,0,0,1,0,60,8.0,Rural High Visitation,0
187,HEHO,0,0,0,0,0,0,0,2,0,2,4.0,Urban Low Visitation,0
188,HOBE,0,0,0,22,0,0,0,2,0,24,7.0,Rural Low Visitation,0
189,HOCU,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation,0
190,HOFR,7,0,7,0,0,0,0,12,7,33,1.0,Transit Parks,0
191,HOFU,7,0,2,7,0,0,0,11,0,27,4.0,Urban Low Visitation,0
192,HOME,7,0,0,0,0,0,0,0,0,7,7.0,Rural Low Visitation,0
193,HONO,0,0,0,0,0,0,0,0,0,0,,,0
194,HOSP,167,11,3,12,0,0,0,12,0,205,5.0,Urban High Visitation,0
195,HOVE,7,7,0,21,0,0,0,2,0,37,7.0,Rural Low Visitation,0
196,HSTR,0,0,0,0,1,0,0,5,5,11,3.0,Low Visitation Sites,1
197,HUTR,7,0,7,7,0,0,0,14,0,35,7.0,Rural Low Visitation,0
198,IATR,0,0,0,14,0,0,0,2,7,23,,,0
199,INDE,25,0,19,13,0,0,0,7,0,64,2.0,Urban Sites,0
200,INDU,5,0,0,9,0,0,0,7,0,21,5.0,Urban High Visitation,0
201,ISRO,0,19,40,0,504,3,0,10,0,576,1.0,Transit Parks,501
202,JAGA,0,0,0,0,0,0,0,3,0,3,3.0,Low Visitation Sites,0
203,JAZZ,0,0,0,0,0,0,0,2,0,2,2.0,Urban Sites,0
204,JECA,0,14,0,7,0,0,0,8,0,29,6.0,High Seasonal Variation,0
205,JEFF,23,0,7,30,0,0,0,13,18,91,5.0,Urban High Visitation,0
206,JEFM,0,0,0,0,0,0,0,2,0,2,,,0
207,JELA,1,0,1,5,0,0,0,3,0,10,4.0,Urban Low Visitation,0
208,JICA,0,0,1,2,0,0,0,10,0,13,7.0,Rural Low Visitation,0
209,JODA,2,0,0,0,0,0,0,2,0,4,8.0,Rural High Visitation,0
210,JODR,1,11,2,0,7,0,0,7,0,28,8.0,Rural High Visitation,7
211,JOFI,35,0,2,15,0,0,7,14,7,80,2.0,Urban Sites,0
212,JOFL,0,0,0,18,0,0,0,0,0,18,4.0,Urban Low Visitation,0
213,JOMU,7,0,0,7,0,0,0,1,0,15,4.0,Urban Low Visitation,0
214,JOTR,6,0,6,6,0,0,0,0,6,24,8.0,Rural High Visitation,0
215,KAHO,0,0,0,0,0,0,0,4,0,4,4.0,Urban Low Visitation,0
216,KALA,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation,0
217,KATM,7,0,0,2,0,0,0,1,0,10,6.0,High Seasonal Variation,0
218,KAWW,0,0,0,7,0,0,0,3,0,10,7.0,Rural Low Visitation,0
219,KEFJ,20,38,0,0,0,0,0,14,0,72,6.0,High Seasonal Variation,0
220,KEMO,12,14,8,0,0,0,0,2,1,37,1.0,Transit Parks,0
221,KEWE,0,0,3,35,0,0,0,3,0,41,3.0,Low Visitation Sites,0
222,KICA,0,0,0,0,0,0,0,2,0,2,8.0,Rural High Visitation,0
223,KIMO,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation,0
224,KLGO,0,0,0,1,9,0,0,11,0,21,6.0,High Seasonal Variation,9
225,KNRI,7,0,0,7,0,0,0,0,0,14,7.0,Rural Low Visitation,0
226,KOVA,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation,0
