,park,website page,total,url_stem
0,ABLI,https://home.nps.gov/abli/planyourvisit/directions.htm#GlobalNav-toggle,1,directions
1,ABLI,https://home.nps.gov/abli/planyourvisit/directions.htm#LocalNav-desktop-nav,1,directions
2,ABLI,https://home.nps.gov/abli/planyourvisit/directions.htm#main,1,directions
3,ABLI,https://home.nps.gov/abli/planyourvisit/directions.htm#ParkFooter,1,directions
4,ABLI,https://home.nps.gov/abli/planyourvisit/directions.htm#GlobalFooter,1,directions
5,ABLI,https://home.nps.gov/abli/planyourvisit/directions.htm#GlobalFooterSearch,1,directions
9,ABLI,https://home.nps.gov/planyourvisit/trip-ideas.htm,2,trip-ideas
21,ACAD,https://home.nps.gov/acad/planyourvisit/index.htm,1,index
23,ACAD,https://home.nps.gov/acad/planyourvisit/basicinfo.htm,2,basicinfo
24,ACAD,https://home.nps.gov/acad/planyourvisit/hours.htm,3,hours
25,ACAD,https://home.nps.gov/acad/planyourvisit/fees.htm,3,fees
30,ACAD,https://home.nps.gov/acad/planyourvisit/vehicle_reservations.htm,2,vehicle_reservations
31,ACAD,https://home.nps.gov/acad/planyourvisit/apps.htm,2,apps
33,ACAD,https://home.nps.gov/acad/planyourvisit/park-rules-and-regulations.htm,1,park-rules-and-regulations
36,ACAD,https://home.nps.gov/acad/planyourvisit/island-explorer.htm,11,island-explorer
38,ACAD,https://home.nps.gov/acad/planyourvisit/oversized-vehicles.htm,5,oversized-vehicles
39,ACAD,https://home.nps.gov/acad/planyourvisit/placestogo.htm,4,placestogo
40,ACAD,https://home.nps.gov/acad/planyourvisit/visitor-centers-contact-stations.htm,1,visitor-centers-contact-stations
41,ACAD,https://home.nps.gov/acad/planyourvisit/east-side.htm,1,east-side
42,ACAD,https://home.nps.gov/acad/planyourvisit/park-loop-road.htm,3,park-loop-road
43,ACAD,https://home.nps.gov/acad/planyourvisit/carriage-roads.htm,1,carriage-roads
47,ACAD,https://home.nps.gov/acad/planyourvisit/bass-harbor-head-light-station.htm,1,bass-harbor-head-light-station
48,ACAD,https://home.nps.gov/acad/planyourvisit/isle-au-haut.htm,5,isle-au-haut
49,ACAD,https://home.nps.gov/acad/planyourvisit/schoodic.htm,1,schoodic
58,ACAD,https://home.nps.gov/acad/planyourvisit/hiking.htm,2,hiking
63,ACAD,https://home.nps.gov/acad/planyourvisit/park-store.htm,1,park-store
66,ACAD,https://home.nps.gov/acad/planyourvisit/boating.htm,2,boating
