,park,trail,hiking,hike,out and back,loop,trail access,total,FinalCluster,Label
0,ABLI,116,13,0,0,0,0,129,8.0,Rural High Visitation
1,ACAD,543,112,74,4,278,0,1011,1.0,Transit Parks
2,ADAM,97,0,0,0,0,0,97,1.0,Transit Parks
3,AFBG,104,7,0,0,1,0,112,2.0,Urban Sites
4,AGFO,181,6,14,0,2,0,203,7.0,Rural Low Visitation
5,ALAG,57,8,0,0,0,0,65,6.0,High Seasonal Variation
6,ALFL,121,18,13,0,0,0,152,7.0,Rural Low Visitation
7,ALKA,309,18,1,0,0,0,328,,
8,ALPO,180,90,97,0,6,0,373,4.0,Urban Low Visitation
9,AMIS,181,44,14,0,12,0,251,8.0,Rural High Visitation
10,AMME,102,7,0,0,0,0,109,,
11,ANDE,113,7,0,0,0,0,120,7.0,Rural Low Visitation
12,ANIA,109,67,2,0,0,0,178,6.0,High Seasonal Variation
13,ANJO,105,7,0,0,0,0,112,4.0,Urban Low Visitation
14,ANTI,699,127,17,0,10,0,853,4.0,Urban Low Visitation
15,APCO,151,32,1,0,1,0,185,7.0,Rural Low Visitation
16,APIS,443,161,13,0,7,3,627,6.0,High Seasonal Variation
17,APPA,279,6,23,0,0,0,308,,
18,ARCH,189,41,44,0,0,0,274,8.0,Rural High Visitation
19,ARHO,96,7,1,0,0,0,104,2.0,Urban Sites
20,ARPO,102,0,0,0,0,0,102,7.0,Rural Low Visitation
21,ASIS,223,17,28,0,71,0,339,8.0,Rural High Visitation
22,AZRU,139,0,0,0,0,2,141,7.0,Rural Low Visitation
23,BADL,121,13,7,0,19,0,160,8.0,Rural High Visitation
24,BAND,1420,102,199,3,376,0,2100,1.0,Transit Parks
25,BELA,128,74,8,0,0,0,210,6.0,High Seasonal Variation
26,BEOL,119,3,5,0,0,0,127,7.0,Rural Low Visitation
27,BEPA,102,7,0,0,0,0,109,2.0,Urban Sites
28,BIBE,453,48,496,0,12,0,1009,8.0,Rural High Visitation
29,BICA,640,100,28,1,6,0,775,8.0,Rural High Visitation
30,BICY,390,64,20,0,31,0,505,6.0,High Seasonal Variation
31,BIHO,188,28,11,0,0,0,227,7.0,Rural Low Visitation
32,BISC,136,14,1,0,2,0,153,5.0,Urban High Visitation
33,BISO,397,106,100,0,39,1,643,8.0,Rural High Visitation
34,BITH,515,105,75,0,58,0,753,4.0,Urban Low Visitation
