id,url,title,parkCode,description,category,relatedRoadEvents,lastIndexedDate,Road_Closure_LLM,Road_Closure_RegEx
8B6BF8B3-1157-498C-9534-9FD716ADE566,,What to Expect During Government Funding Lapse,lowe,There are currently no amenities or services available due to the lapse in government funding.,Park Closure,[],2025-10-20 00:00:00.0,no,no
55B4D4D1-47F0-454E-ACBB-5EC8D70A084F,,Visitor Centers Open Through November 2,shen,The Bryd Visitor Center and Dickey Ridge Visitor Center are open through November 2. Unscheduled facility or road closures may occur due to weather.,Information,[],2025-10-20 00:00:00.0,yes,yes
30118474-24CD-4998-9436-4D1E39754AED,,Closed areas,gwmp,"Due to a lapse in appropriations, the following park areas are closed: •Parkway Headquarters •Turkey Run Park •South Turkey Run Area •Fort Marcy •Great Falls Park •Clara Barton National Historic Site •Theodore Roosevelt Island and Parking Lot •Arlington House (The Robert E. Lee Memorial) and associated facilities •Gravelly Point •Roaches Run •Jones Point Park Parking Lot and Restroom •Collingwood Picnic Areas •Riverside Park •Fort Hunt Park",Park Closure,[],2025-10-20 00:00:00.0,no,yes
D932DC72-6677-4A1E-9014-3690837065DF,,Open/accessible areas,gwmp,"•George Washington Memorial Parkway and Overlooks •Clara Barton Parkway, Overlooks, and Pullouts •Spout Run Parkway •Memorial Avenue •Arlington Memorial Bridge •Mount Vernon Trail •Potomac Heritage Trail •Columbia Island (Comfort Station closed) •Dangerfield Island (Comfort Station closed) •Belle Haven Park and Dyke Marsh (Comfort Station closed) •Glen Echo Park •Mount Vernon Parking Lots •Arlington Ridge, including the U.S. Marine Corps War Memorial and comfort station",Information,[],2025-10-20 00:00:00.0,no,yes
0A41AF41-6C3D-4C84-B043-D26F5B8E17AB,,How the Lapse in Appropriations affects your visit to Petroglyph,petr,"The Information Center, Western National Parks Store, and Headquarters will remain closed during the lapse of appropriations period but the petroglyph viewing trails will remain open to the public. Emergency services are limited or unavailable. No trails at Info/Visitor Center. Drive directly to and park at either: Boca Negra Canyon (8:30 am - 4:00 pm), Rinconada Canyon (8:00 am - 5:00 pm), and Piedras Marcadas Canyon (sunrise to sunset). Download and use the NPS App for trail information and maps.",Park Closure,[],2025-10-19 00:00:00.0,no,yes
8B622055-8E8A-4C6B-BE90-8D5893C2F331,,White Sands National Park Reopened from October 18 - October 24,whsa,"White Sands National Park will be reopened Saturday October 18 through Friday October 24 from 9:00 am - 5:00 pm. The visitor center, Western National Parks store, and White Sands Trading Post will also be open from 9:00 am - 5:00 pm each day. Dunes Drive will be open to the end of the road with the exception of the ongoing Safety Corridor from mile marker 3 - 5.5. Please see the Safety Corridor alert for further details.",Park Closure,[],2025-10-18 00:00:00.0,no,no
D092610A-AD5D-45F8-B8D9-A283FA55D7F2,,What to Expect During Government Funding Lapse,sagu,"The following are not currently open or accessible at this time: the Rincon Mountain Visitor Center, the Rincon Mountain District Entrance Road/Cactus Forest Loop Drive is not open to vehicle traffic. All other park areas are open.",Park Closure,[],2025-10-17 00:00:00.0,yes,no
1A2D2739-A527-4398-A263-90612F81F3A6,https://www.recreation.gov/camping/campgrounds/250901,Campground,chir,Bonita Canyon Campground is open; reservations are required and available at Recreation.gov.,Information,[],2025-10-17 00:00:00.0,no,no
4CC2EC5B-2CAD-44DC-90C1-86856D021228,,Water Use Restrictions Are in Place on the South Rim,grca,"Effective immediately, the South Rim has entered Stage 2 Water Restrictions. Visitors, residents, and park partners are encouraged to continue conserving water by: reporting and repairing leaks promptly; running dishwashers and washing machines only with full loads; taking shorter showers and turning off faucets while brushing teeth or shaving; using reclaimed water for vehicles and landscape maintenance; and reducing toilet flushing in homes, hotels, and public facilities.",Caution,[],2025-10-17 00:00:00.0,no,no
4D18B12B-E625-4D7C-825A-C779A6EACCA5,https://www.co.jefferson.wa.us/CivicAlerts.aspx?AID=1478,South Shore Quinault Road Closed Outside of Park Boundary,olym,South Shore Road – which is maintained by Jefferson County – is closed due to a major wash-out. The North Fork Trailhead and Campground can be reached via N Shore Rd.,Information,[],2025-10-17 00:00:00.0,yes,yes
244053C0-679F-46E1-AC99-783C5FC381A2,,South Rim Trail is closed due to hazardous conditions,cebr,"South Rim Trail is closed until further notice due to hazardous conditions. Recent snowstorms dropped several inches of snow, creating icy, slick trail conditions along steep cliffs. Ignoring the closure could result in serious injury or death.",Danger,[],2025-10-17 00:00:00.0,no,no
2D6862D7-9E2F-42EB-87CB-922FEB8A77E7,,Hurricane Ridge Rd will close at 5:00pm on 10/17/25,olym,The Hurricane Ridge Road will close at 5:00pm on 10/17/25 due to incoming winter weather.,Caution,[],2025-10-17 00:00:00.0,yes,no
BF786513-04CA-4234-8A9F-A3581363D747,https://www.nps.gov/olym/planyourvisit/current-road-conditions.htm,Temporary bridge on North Shore Quinault Rd to be removed on 10/23/25,olym,"Olympic National Park crews will remove a temporary bridge on the North Shore Quinault Road on October 23, 2025 for the winter. The temporary bridge will likely not withstand winter weather conditions. The Graves Creek area will be inaccessible to vehicle traffic due to the bridge removal and South Shore Rd closure. See alert.",Information,[],2025-10-17 00:00:00.0,yes,yes
9A27A601-C4F1-422F-BDC8-EB6D295FF0DC,,Discovery Tour Available - Oct 18-24,maca,The self guided Discovery Cave Tour will be offered from October 18-24. Tickets can be purchased in person at the visitor center from 10 a.m. to 2:45 p.m. each day. All other cave tours are currently unavailable.,Information,[],2025-10-17 00:00:00.0,no,no
0BBA2DAF-A401-4A3D-9D7C-38E2A83D72AD,https://www.nps.gov/whsa/planyourvisit/safety-corridor-in-effect.htm,Dunes Drive Safety Corridor,whsa,Dunes Drive is open. A safety corridor is in effect between mile marker 3 and 5.5 along Dunes Drive. Visitors may drive but not stop or exit their vehicle in this area.,Park Closure,[],2025-10-17 00:00:00.0,no,no
C4EC4E6D-478B-4396-942F-DB9092113469,,Government Shutdown Update,jeff,"We are working with partners to maintain as much access as possible to facilities and park lands during the lapse in appropriations. For up-to-date details, visit www.gatewayarch.com.",Information,[],2025-10-17 00:00:00.0,no,no
188EF84D-FF38-4E31-B9C1-F1AC863918B4,,Left Half of Tower Trail is Closed from October 20-22.,deto,The left half of the Tower Trail is closed from October 20-22 to correct a safety issue.,Park Closure,[],2025-10-16 00:00:00.0,no,no
