id,url,title,park alpha,description,category,relatedRoadEvents,LastIndexedDate,park,region,alpha,State,Road Closed Flag,date
6488CF7F-1A82-4362-A2E7-1D282DD585FB,,Inclement Weather Closure,BLRI,Closure due to hazardous road conditions due to weather conditions. Recreation is authorized in sections closed for winter weather only.,Park Closure,"[{'title': 'Inclement Weather Closure', 'id': '6488CF7F-1A82-4362-A2E7-1D282DD585FB', 'type': 'roadevent', 'url': 'https://www.nps.gov/blri/planyourvisit/conditions.htm'}]",2026-01-15 00:00:00.0,Blue Ridge Parkway,SER,BLRI,"NC,VA",yes,2026-01-15
BDA75E50-3519-4C67-BE51-0528EC5134EC,,Pinnacle Road Temporarily Closed for Winter Weather,CUGA,"Due to winter weather conditions, Pinnacle Road is closed until further notice.",Park Closure,"[{'title': 'Pinnacle Road and Hwy 988 Closure for Winter Weather', 'id': 'BDA75E50-3519-4C67-BE51-0528EC5134EC', 'type': 'roadevent', 'url': 'https://www.nps.gov/cuga/planyourvisit/conditions.htm'}]",2026-01-15 00:00:00.0,Cumberland Gap National Historical Park,SER,CUGA,"KY, TN, VA",yes,2026-01-15
22508D47-8CC7-4CC8-B7E2-77E05653E1CD,https://www.nps.gov/grsm/planyourvisit/conditions.htm,US 441/Newfound Gap Road and additional roads Closed due to weather,GRSM,"US 441/Newfound Gap Road from Gatlinburg, TN to Cherokee, NC and Cataloochee are closed due to forecasted winter weather. Additional road closures are expected.",Park Closure,"[{'title': 'US 441/Newfound Gap Road and additional roads closed due to weather', 'id': '22508D47-8CC7-4CC8-B7E2-77E05653E1CD', 'type': 'roadevent', 'url': 'https://www.nps.gov/grsm/planyourvisit/conditions.htm'}]",2026-01-15 00:00:00.0,Great Smoky Mountains National Park,SER,GRSM,"TN,NC",yes,2026-01-15
A89E7A1D-DA86-47B6-9DA4-DD690AEA3F4E,,All park roads closed,AMCH,All park roads are closed due to extreme muddy conditions. Visitors can still access the entrance area.,Park Closure,[],2026-01-15 00:00:00.0,Amache National Historic Site,IMR,AMCH,CO,yes,2026-01-15
79218B4E-3346-4065-8A50-75F73310FBB0,https://www.nps.gov/kemo/learn/news/kennesaw-mountain-nbp-to-close-mountain-road-to-private-vehicles-beginning-january-2026.htm,Kennesaw Mountain Road Closed to Private Vehicles and Cyclists,KEMO,"Starting January 5th, 2026, the road to the top of Kennesaw Mountain will be closed to private vehicles and cyclists due to construction and painting. The park's Visitor Center is still accessible. This work is in preparation for the upcoming Safety Improvement Project. For updates, continue to check park's website.",Park Closure,[],2026-01-14 00:00:00.0,Kennesaw Mountain National Battlefield Park,SER,KEMO,GA,yes,2026-01-15
366EE1F1-46A1-4FDA-86E4-5E3AA950C786,https://www.nps.gov/mora/planyourvisit/winter-travel.htm,"Paradise Road Status: Gate closed at Longmire, projected to open tomorrow",MORA,"1/14/2026 The road is open to Longmire. All vehicles, including 4WD and AWD, must carry tire chains and be ready to use them. The gate at Longmire to Paradise is closed for the night to support public safety and is projected to open, conditions permitting, tomorrow, Wednesday 1/15/2026",Park Closure,"[{'title': 'Paradise Road Closed at Longmire', 'id': '366EE1F1-46A1-4FDA-86E4-5E3AA950C786', 'type': 'roadevent', 'url': 'https://www.nps.gov/mora/planyourvisit/conditions.htm'}]",2026-01-14 00:00:00.0,Mount Rainier National Park,PWR,MORA,WA,yes,2026-01-15
6A07457F-9E5D-48BC-9915-26327F1AB345,,Pleasant Valley Loop closed (Geology Tour Road),JOTR,"Pleasant Valley Loop, the one-way loop on Geology Tour Road, is closed due to flooding damage. The rest of Geology Tour Road is open.",Park Closure,[],2026-01-13 00:00:00.0,Joshua Tree National Park,PWR,JOTR,CA,yes,2026-01-15
EF614A2C-8A9A-4188-AED2-768723DD55A3,https://www.nps.gov/seki/planyourvisit/road-conditions.htm,A Few Small Roads Closed Due to Roadway Damage and/or Repair Work,SEKI,"These roads are closed due to roadway damage during past storm events and/or repairs to roadway damage: Middle Fork Rd, Redwood Canyon Rd, South Fork Rd, Crystal Cave Rd",Park Closure,"[{'title': 'Road Closures Related to Road Damage From and/or Repairs Of Past Storm Events', 'id': 'EF614A2C-8A9A-4188-AED2-768723DD55A3', 'type': 'roadevent', 'url': 'https://www.nps.gov/seki/planyourvisit/conditions.htm'}]",2026-01-13 00:00:00.0,Sequoia & Kings Canyon,PWR,SEKI,CA,yes,2026-01-15
020DE4D9-0335-4AAA-91C4-E88B306B4230,,Generals Highway Closed For the Season Between Grant Grove and Giant Forest,SEKI,"Generals Highway is closed between Lodgepole Village and Montecito Lodge for the winter season. It is not possible to drive between Grant Grove/General Grant Tree in Kings Canyon National Park and Giant Forest and General Sherman Tree in Sequoia National Park. The closed section usually opens in late March, depending on snow conditions.",Park Closure,"[{'title': 'Generals Highway Seasonal Closure Between Sequoia and Kings Canyon National Parks', 'id': '020DE4D9-0335-4AAA-91C4-E88B306B4230', 'type': 'roadevent', 'url': 'https://www.nps.gov/seki/planyourvisit/conditions.htm'}]",2026-01-13 00:00:00.0,Sequoia & Kings Canyon,PWR,SEKI,CA,yes,2026-01-15
2D6862D7-9E2F-42EB-87CB-922FEB8A77E7,,Hurricane Ridge Road Status 1/12 - 1/15,OLYM,"Hurricane Ridge Road remains closed Monday through Thursday during the winter season. The road is scheduled to reopen Friday, January 16th, weather and road conditions permitting.",Park Closure,[],2026-01-12 00:00:00.0,Olympic National Park,PWR,OLYM,WA,yes,2026-01-15
