id,url,title,park alpha,description,category,relatedRoadEvents,LastIndexedDate,park,region,alpha,State,Road Closed Flag,date
701A0C09-2B37-4BA8-9206-E0C24F69ADA5,,March 23: Closure of Piney Branch Parkway,ROCR,Piney Branch Parkway is closed between 17th Street and Beach Drive NW due to downed trees in the roadway. The road will reopen once it is cleared.,Park Closure,[],2026-03-23 00:00:00.0,Rock Creek Park,NCR,ROCR,DC,yes,2026-03-23
795CBD70-415F-449A-BEEC-E9466EC992BE,https://www.nps.gov/mora/planyourvisit/winter-travel.htm,"Paradise Road Status: Open, traction tires advised, gate closing at 5 p.m.",MORA,"03/23/2026 The Paradise Road is open. Traction tires are advised. All vehicles, including 4WD and AWD, must carry tire chains and be ready to use them. The gate at Longmire to Paradise will close to uphill travel at 4 p.m. and downhill travel at 5 p.m. to support public safety.",Park Closure,[],2026-03-23 00:00:00.0,Mount Rainier National Park,PWR,MORA,WA,yes,2026-03-23
22883896-50D9-496D-8AF5-6184DE3BA8F7,,Cunard Road Closure,NERI,"Cunard Road is currently closed to vehicle traffic, and will reopen both lanes on April 6th",Park Closure,[],2026-03-23 00:00:00.0,New River Gorge National Park and Preserve,NER,NERI,WV,yes,2026-03-23
87E8F978-1454-4AA0-8D4F-82C6EC05ED9B,https://www.nps.gov/lavo/planyourvisit/winter-road-closures-and-spring-clearing-update.htm,Lassen National Park Highway under Seasonal Closure,LAVO,The main park road (Hwy 89) is closed from the southwest entrance area the Devastated Area to through travel due to winter snow accumulation. Access to the Kohm Yah-mah-nee Visitor Center (southwest entrance) and Loomis Plaza (northwest entrance) is open. Active spring road clearing operations are taking place. The road will not reopen until late spring or early summer.,Park Closure,"[{'title': 'Lassen National Park Highway Closed for Winter', 'id': '87E8F978-1454-4AA0-8D4F-82C6EC05ED9B', 'type': 'roadevent', 'url': 'https://www.nps.gov/lavo/planyourvisit/conditions.htm'}]",2026-03-22 00:00:00.0,Lassen Volcanic National Park,PWR,LAVO,CA,yes,2026-03-23
2D6862D7-9E2F-42EB-87CB-922FEB8A77E7,,"Hurricane Ridge Road Status, Monday 3/23 - Thursday 3/26",OLYM,"Hurricane Ridge Road remains closed Monday through Thursday during the winter season. The road is scheduled to reopen Friday, March 27th, weather and road conditions permitting.",Park Closure,[],2026-03-22 00:00:00.0,Olympic National Park,PWR,OLYM,WA,yes,2026-03-23
442CB6D9-2EAB-4500-BB3D-29F02215F9B1,https://www.nps.gov/grba/planyourvisit/conditions.htm,Winter Road Closures,GRBA,"The Wheeler Peak Scenic Drive is open to Osceola Ditch Trailhead. Snake Creek Road and Strawberry Creek Road are closed for the season at the park boundary. Click ""more"" for current road and campground closures.",Park Closure,"[{'title': 'Winter Road Closures', 'id': '442CB6D9-2EAB-4500-BB3D-29F02215F9B1', 'type': 'roadevent', 'url': 'https://www.nps.gov/grba/planyourvisit/conditions.htm'}]",2026-03-21 00:00:00.0,Great Basin National Park,PWR,GRBA,NV,yes,2026-03-23
87A2A26B-B0E4-46B9-9309-F813A940BC21,,Prescribed Burn 3/23,CONG,"A prescribed burn will be taking place 3/23 by the Harry Hampton Visitor Center parking lot. Sections of Longleaf and Firefly Trail may be closed. Smoke may be seen from nearby trails (Longleaf, Firefly, Boardwalk) and in the parking lot. Some parking spaces will be closed for fire equipment.",Caution,[],2026-03-21 00:00:00.0,Congaree National Park,SER,CONG,SC,yes,2026-03-23
7DEB7CE1-F94B-4A57-BC28-889CAE174A54,https://www.nps.gov/seki/planyourvisit/road-conditions.htm,Winter Seasonal Road Closures,SEKI,"The following roads are closed for the winter season or due to current snow conditions: Mineral King Rd, Highway 180 between Grant Grove and Cedar Grove, Crescent Meadow and Moro Rock Roads, and Panoramic Point Road.",Park Closure,"[{'title': 'Winter Seasonal Closures', 'id': '7DEB7CE1-F94B-4A57-BC28-889CAE174A54', 'type': 'roadevent', 'url': 'https://www.nps.gov/seki/planyourvisit/conditions.htm'}]",2026-03-20 00:00:00.0,Sequoia & Kings Canyon,PWR,SEKI,CA,yes,2026-03-23
CD03C7D3-E093-4808-9533-D731F892DB47,https://www.nps.gov/hofu/planyourvisit/conditions.htm,Area and Trail Closures,HOFU,"Due to wind storm damage, sections of the Lenape Trail, Raccoon Trail, Buzzards Trail, and Horse-Shoe Trail are closed. The ESA parking area and the Civilian Conservation Corps (CCC) Pavilion are closed.",Park Closure,[],2026-03-20 00:00:00.0,Hopewell Furnace National Historic Site,NER,HOFU,PA,yes,2026-03-23
73B189E4-4583-457A-A561-E88C685610F4,,Little Yellow Creek Bridge Closure - Construction Underway,CUGA,"Work to replace the Little Yellow Creek Bridge on Bartlett Park Road has begun. Bartlett Park remains open and accessible, but visitors will see and hear construction activities. The road and areas south of the bridge, including Marsee Cemetery, will not be accessible during construction.",Park Closure,[],2026-03-20 00:00:00.0,Cumberland Gap National Historical Park,SER,CUGA,"KY, TN, VA",yes,2026-03-23
1B64C2FD-ACD6-4595-AA6C-DB7531F591DA,,Malaquite Campground and dump station to be closed for road work in mid-May,PAIS,"The Malaquite Campground and dump station will be temporarily closed from approximately May 6-16, 2026, for road resurfacing/paving project being conducted by the Federal Highway Administration.",Park Closure,"[{'title': 'Malaquite Campground and dump station', 'id': '1B64C2FD-ACD6-4595-AA6C-DB7531F591DA', 'type': 'roadevent', 'url': 'https://www.nps.gov/pais/planyourvisit/conditions.htm'}]",2026-03-20 00:00:00.0,Padre Island National Seashore,IMR,PAIS,TX,yes,2026-03-23
1C3A0DC2-0C44-467A-B8B5-F6542855BB36,https://www.nps.gov/havo/learn/news/20260318-nr-some-areas-reopen.htm,Some Areas Reopen in Hawaiʻi Volcanoes National Park,HAVO,Some sections of the park have reopened at the summit of Kīlauea and Chain of Craters Road. Work continues to clear and repair other areas impacted by storm damage and the recent eruption.,Park Closure,"[{'title': 'Road and trail closure from Kilauea Military Camp to Uēkahuna. ', 'id': '1C3A0DC2-0C44-467A-B8B5-F6542855BB36', 'type': 'roadevent', 'url': 'https://www.nps.gov/havo/planyourvisit/conditions.htm'}]",2026-03-20 00:00:00.0,Hawai'i Volcanoes National Park,PWR,HAVO,HI,yes,2026-03-23
F6FE0703-01BA-4170-AE41-F49BCBE6F40D,,Hilina Pali Road Closed at Maunaiki Trailhead,HAVO,Hilina Pali Road at the Maunaiki trailhead will be closed to all use due to potential flooding ahead of another storm.,Park Closure,[],2026-03-20 00:00:00.0,Hawai'i Volcanoes National Park,PWR,HAVO,HI,yes,2026-03-23
