Park Name,Type of Unit,State,Reg,Alpha,Unit,index site,Alert title list,Alert description,Alert full description,Number of alerts,Number of alerts with description,Road Closure Alert Flag
Abraham Lincoln Birthplace,National Historical Park,KY,SER,ABLI,1.0,https://www.nps.gov/ABLI/planyourvisit/conditions.htm,"['Information', '']","['Birthplace Unit Open Daily!', 'Kentucky Boyhood Home at Knob Creek Unit Visitor Center has Seasonal Hours']","['Date Posted: 6/3/2022', 'The Knob Creek Visitor Center and Knob Creek Cabin are closed for winter season. The grounds at the Kentucky Boyhood Home at Knob Creek Unit are open from sunrise to sunset. The Visitor Center at the Birthplace Unit and Symbolic Cabin are open year round.']",2,2,0
Acadia,National Park,ME,NER,ACAD,1.0,https://www.nps.gov/ACAD/planyourvisit/conditions.htm,"['Park Closure', 'Caution', 'Information', '']","['Access to Seawall Limited Due to Storm Damage', 'Storm Damage Significant', 'Several park trails to close March 1 for peregrine falcon nesting season']","['Due to recent storm damage, a short section of Seawall Road (Route 102A) at Seawall Pond is temporarily closed to traffic. Visitors may access Wonderland and Ship Harbor hiking trails from the west through Bass Harbor via Route 102A.', 'A winter storm on Wed Jan 10 led to significant damage to facilities throughout the park, such as the Ocean Path. Please be aware of debris, loose rocks, and uneven footing. Unless noted otherwise, all park areas remain open at this time.', 'Effective March 1, areas including Jordan Cliffs Trail, Precipice Trail, and Valley Cove Trail will be closed to protect peregrine falcons from human disturbance or harassment during an annual nesting period.']",4,3,1
Adams,National Historical Park,MA,NER,ADAM,1.0,https://www.nps.gov/ADAM/planyourvisit/conditions.htm,"['Park Closure', 'Information', '']","['The Visitor Center Closed on 2/26', 'Historic Homes Closed for Winter Season', 'Park Grounds Are Open Dawn to Dusk']","['The Visitor Center will be closed on Monday, February 26 for staff meetings. The VC will be open 10am to 4pm the rest of the week.', 'The historic homes are closed for the winter season and unavailable for tours. The homes are anticipated to reopen late spring/early summer 2024. The website will be updated when the reopen date is known. The Visitor Center is open 10am-4pm Monday-Friday.', 'Though the historic homes are closed, the park grounds remain open dawn to dusk seven days a week. ']",3,3,0
African Burial Ground,National Monument,NY,NER,AFBG,1.0,https://www.nps.gov/AFBG/planyourvisit/conditions.htm,"['Park Closure', '']",['Ancestral Chamber temporarily closed'],['Several features within the Monument’s outdoor memorial are temporarily closed due to safety concerns. The Ancestral Chamber is showing signs of stress and must be assessed prior to reopening. See https://www.nps.gov/afbg/learn/news/temp-closure-ac.htm '],2,1,0
Agate Fossil Beds,National Monument,NE,MWR,AGFO,1.0,https://www.nps.gov/AGFO/planyourvisit/conditions.htm,['Information'],"['Limited Cell Phone Coverage', 'No Fuel Services']","['Cell phone voice and data coverage is very limited in the park and surrounding area. Free visitor WiFi is available in the visitor center.', 'Fuel up before visiting! Agate Fossil Beds National Monument is 30-50 miles from the nearest service stations.']",1,2,0
Alagnak,Wild River,AK,AKR,ALAG,1.0,https://www.nps.gov/ALAG/planyourvisit/conditions.htm,[],[],[],0,0,0
Alibates Flint Quarries,National Monument,TX,IMR,ALFL,1.0,https://www.nps.gov/ALFL/planyourvisit/conditions.htm,['Danger'],['Alibates Closed'],['Due to the Windy Deuce Fire Alibates is closed.'],1,1,0
Ala Kahakai National Historic Trail,Ala Kahakai National Historic Trail,HI,PW,ALKA,,https://www.nps.gov/ALKA/planyourvisit/conditions.htm,[],[],[],0,0,0
Allegheny Portage Railroad,National Historic Site,PA,NER,ALPO,1.0,https://www.nps.gov/ALPO/planyourvisit/conditions.htm,['Altoona - Blair County Airport'],[],[],1,0,0
Amistad,National Recreation Area,TX,IMR,AMIS,1.0,https://www.nps.gov/AMIS/planyourvisit/conditions.htm,"['Danger', 'Park Closure', 'Caution', 'Information', '']","['Water Hazards Present', 'Only Left Side of Diablo East and Rough Canyon Boat Ramps Are Open - Rest Are Closed', 'Help Prevent Invasive Mussel Infestation', 'No Water at Rough Canyon', 'Road Closure at Amistad Acres']","['Due to decreasing water levels, underwater hazards are present in the lake. Please be extra vigilant for potential damage to boat or other injury.', 'Due to low water levels, only the left side of Diablo East and Rough Canyon boat ramps are open. Please use caution with Spur 406 and Spur 454 launches, as the water may be too shallow to launch most boats. To see a list of open ramps, click on ""more.""', 'A number of lakes, including some close to Amistad, are infested with aquatic invasive species that damage natural ecosystems and waterways. Boaters are advised to Clean, Drain, and Dry all boats and equipment every time. Click more to learn how to help.', 'Due to problems with the water system at Rough Canyon, the bathrooms and fish cleaning station are closed. Be sure to bring extra water with you if camping at Rough Canyon Campground.', 'Due to soil and vegetation damage caused by off-road vehicle travel near Amistad Acres, undesignated dirt loop roads in the area are closed to vehicle traffic until further notice. The area will remain open to foot traffic.']",5,5,1
