Park Name,Type of Unit,State,Reg,Alpha,Unit
Abraham Lincoln Birthplace,National Historical Park,KY,SER,ABLI,1
Acadia,National Park,ME,NER,ACAD,1
Adams,National Historical Park,MA,NER,ADAM,1
African Burial Ground,National Monument,NY,NER,AFBG,1
Agate Fossil Beds,National Monument,NE,MWR,AGFO,1
Alagnak,Wild River,AK,AKR,ALAG,1
Alibates Flint Quarries,National Monument,TX,IMR,ALFL,1
Ala Kahakai National Historic Trail,Ala Kahakai National Historic Trail,HI,PW,ALKA,
Allegheny Portage Railroad,National Historic Site,PA,NER,ALPO,1
Amistad,National Recreation Area,TX,IMR,AMIS,1
American Memorial Park,American Memorial Park,MP,PW,AMME,
Andersonville,National Historic Site,GA,SER,ANDE,1
Aniakchak,National Monument & Preserve,AK,AKR,ANIA,2
Andrew Johnson,National Historic Site,TN,SER,ANJO,1
Antietam,National Battlefield,MD,NCR,ANTI,1
Appomattox Court House,National Historical Park,VA,NER,APCO,1
Apostle Islands,National Lakeshore,WI,MWR,APIS,1
Appalachian,National Scenic Trail,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",NER,APPA,1
Arches,National Park,UT,IMR,ARCH,1
"Arlington House, The Robert E. Lee Memorial",National Memorial,VA,NCR,ARHO,1
Arkansas Post,National Memorial,AR,MWR,ARPO,1
Assateague Island,National Seashore,"MD,VA",NER,ASIS,1
Aztec Ruins,National Monument,NM,IMR,AZRU,1
Badlands,National Park,SD,MWR,BADL,1
Bandelier,National Monument,NM,IMR,BAND,1
Bering Land Bridge,National Preserve,AK,AKR,BELA,1
Bent's Old Fort,National Historic Site,CO,IMR,BEOL,1
Belmont-Paul Women's Equality National Monument,Belmont-Paul Women's Equality National Monument,DC,NC,BEPA,
Big Bend,National Park,TX,IMR,BIBE,1
Bighorn Canyon,National Recreation Area,"MT,WY",IMR,BICA,1
Big Cypress,National Preserve,FL,SER,BICY,1
