Park Name,Park Full Name,Type of Unit,State,Reg,Alpha,Unit
Alagnak,Alagnak Wild River,Wild River,AK,AKR,ALAG,1
Aniakchak,Aniakchak National Monument and Preserve,National Monument & Preserve,AK,AKR,ANIA,2
Bering Land Bridge,Bering Land Bridge National Preserve,National Preserve,AK,AKR,BELA,1
Cape Krusenstern,Cape Krusenstern National Monument,National Monument,AK,AKR,CAKR,1
Denali,Denali National Park and Preserve,National Park & Preserve,AK,AKR,DENA,2
Gates Of The Arctic,Gates of the Arctic National Park and Preserve,National Park & Preserve,AK,AKR,GAAR,2
Glacier Bay,Glacier Bay National Park and Preserve,National Park & Preserve,AK,AKR,GLBA,2
Katmai,Katmai National Park and Preserve,National Park & Preserve,AK,AKR,KATM,2
Kenai Fjords,Kenai Fjords National Park,National Park,AK,AKR,KEFJ,1
Klondike Gold Rush,Klondike Gold Rush National Historical Park,National Historical Park,AK,AKR,KLGO,1
Kobuk Valley,Kobuk Valley National Park,National Park,AK,AKR,KOVA,1
Lake Clark,Lake Clark National Park and Preserve,National Park & Preserve,AK,AKR,LACL,2
Noatak,Noatak National Preserve,National Preserve,AK,AKR,NOAT,1
Sitka,Sitka National Historical Park,National Historical Park,AK,AKR,SITK,1
Wrangell - St Elias,Wrangell-St. Elias National Park,National Park & Preserve,AK,AKR,WRST,2
Yukon - Charley Rivers,Yukon-Charley Rivers National Preserve,National Preserve,AK,AKR,YUCH,1
Manhattan Project,Manhattan Project National Historical Park,National Historical Park,NM,IMR,MAPR,1
Valles Caldera,Valles Caldera National Preserve,National Preserve,NM,IMR,VALL,1
Waco Mammoth,Waco Mammoth National Monument,National Monument,TX,IMR,WACO,1
Alibates Flint Quarries,Alibates Flint Quarries National Monument,National Monument,TX,IMR,ALFL,1
Amistad,Amistad National Recreation Area,National Recreation Area,TX,IMR,AMIS,1
Arches,Arches National Park,National Park,UT,IMR,ARCH,1
Aztec Ruins,Aztec Ruins National Monument,National Monument,NM,IMR,AZRU,1
Bandelier,Bandelier National Monument,National Monument,NM,IMR,BAND,1
Bent's Old Fort,Bent's Old Fort National Historic Site,National Historic Site,CO,IMR,BEOL,1
Big Bend,Big Bend National Park,National Park,TX,IMR,BIBE,1
Bighorn Canyon,Bighorn Canyon National Recreation Area,National Recreation Area,"MT,WY",IMR,BICA,1
Big Thicket,Big Thicket National Preserve,National Preserve,TX,IMR,BITH,1
Black Canyon Of The Gunnison,Black Canyon of the Gunnison National Park,National Park,CO,IMR,BLCA,1
Bryce Canyon,Bryce Canyon National Park,National Park,UT,IMR,BRCA,1
Canyon De Chelly,Canyon de Chelly National Monument,National Monument,AZ,IMR,CACH,1
Casa Grande Ruins,Casa Grande Ruins National Monument,National Monument,AZ,IMR,CAGR,1
Canyonlands,Canyonlands National Park,National Park,UT,IMR,CANY,1
Capitol Reef,Capitol Reef National Park,National Park,UT,IMR,CARE,1
Carlsbad Caverns,Carlsbad Caverns National Park,National Park,NM,IMR,CAVE,1
Capulin Volcano,Capulin Volcano National Monument,National Monument,NM,IMR,CAVO,1
Cedar Breaks,Cedar Breaks National Monument,National Monument,UT,IMR,CEBR,1
Chamizal,Chamizal National Memorial,National Memorial,TX,IMR,CHAM,1
Chaco Culture,Chaco Culture National Historical Park,National Historical Park,NM,IMR,CHCU,1
Chickasaw,Chickasaw National Recreation Area,National Recreation Area,OK,IMR,CHIC,1
Chiricahua,Chiricahua National Monument,National Monument,AZ,IMR,CHIR,1
Colorado,Colorado National Monument,National Monument,CO,IMR,COLM,1
Coronado,Coronado National Memorial,National Memorial,AZ,IMR,CORO,1
Curecanti,Curecanti National Recreation Area,National Recreation Area,CO,IMR,CURE,1
Devils Tower,Devils Tower National Monument,National Monument,WY,IMR,DETO,1
Dinosaur,Dinosaur National Monument,National Monument,"CO,UT",IMR,DINO,1
El Malpais,El Malpais National Monument,National Monument,NM,IMR,ELMA,1
El Morro,El Morro National Monument,National Monument,NM,IMR,ELMO,1
Florissant Fossil Beds,Florissant Fossil Beds National Monument,National Monument,CO,IMR,FLFO,1
Fort Bowie,Fort Bowie National Historic Site,National Historic Site,AZ,IMR,FOBO,1
Fossil Butte,Fossil Butte National Monument,National Monument,WY,IMR,FOBU,1
Fort Davis,Fort Davis National Historic Site,National Historic Site,TX,IMR,FODA,1
Fort Laramie,Fort Laramie National Historic Site,National Historic Site,WY,IMR,FOLA,1
Fort Union,Fort Union National Monument,National Monument,NM,IMR,FOUN,1
Gila Cliff Dwellings,Gila Cliff Dwellings National Monument,National Monument,NM,IMR,GICL,1
Glacier,Glacier National Park,National Park,MT,IMR,GLAC,1
Glen Canyon,Glen Canyon National Recreation Area,National Recreation Area,"AZ,UT",IMR,GLCA,1
Golden Spike,Golden Spike National Historical Park,National Historic Site,UT,IMR,GOSP,1
Grand Canyon,Grand Canyon National Park,National Park,AZ,IMR,GRCA,1
Grant-Kohrs Ranch,Grant-Kohrs Ranch National Historic Site,National Historic Site,MT,IMR,GRKO,1
Great Sand Dunes,Great Sand Dunes National Park and Preserve,National Park & Preserve,CO,IMR,GRSA,2
Grand Teton,Grand Teton National Park,National Park,WY,IMR,GRTE,1
Guadalupe Mountains,Guadalupe Mountains National Park,National Park,TX,IMR,GUMO,1
Hovenweep,Hovenweep National Monument,National Monument,UT,IMR,HOVE,1
Hubbell Trading Post,Hubbell Trading Post National Historic Site,National Historic Site,AZ,IMR,HUTR,1
John D Rockefeller Jr,"John D. Rockefeller, Jr., Memorial Parkway",Memorial Parkway,WY,IMR,JODR,1
Lake Meredith,Lake Meredith National Recreation Area,National Recreation Area,TX,IMR,LAMR,1
Little Bighorn Battlefield,Little Bighorn Battlefield National Monument,National Monument,MT,IMR,LIBI,1
Lyndon B Johnson,Lyndon B. Johnson National Historical Park,National Historical Park,TX,IMR,LYJO,1
Mesa Verde,Mesa Verde National Park,National Park,CO,IMR,MEVE,1
Montezuma Castle,Montezuma Castle National Monument,National Monument,AZ,IMR,MOCA,1
Natural Bridges,Natural Bridges National Monument,National Monument,UT,IMR,NABR,1
Navajo,Navajo National Monument,National Monument,AZ,IMR,NAVA,1
Organ Pipe Cactus,Organ Pipe Cactus National Monument,National Monument,AZ,IMR,ORPI,1
Palo Alto Battlefield,Palo Alto Battlefield National Historical Park,National Historical Park,TX,IMR,PAAL,1
Padre Island,Padre Island National Seashore,National Seashore,TX,IMR,PAIS,1
Pecos,Pecos National Historical Park,National Historical Park,NM,IMR,PECO,1
Petrified Forest,Petrified Forest National Park,National Park,AZ,IMR,PEFO,1
Petroglyph,Petroglyph National Monument,National Monument,NM,IMR,PETR,1
Hohokam Pima,Hohokam Pima,National Monument,AZ,IMR,PIMA,1
Pipe Spring,Pipe Spring National Monument,National Monument,AZ,IMR,PISP,1
Rainbow Bridge,Rainbow Bridge National Monument,National Monument,UT,IMR,RABR,1
Rio Grande,Rio Grande Wild and Scenic River,Wild & Scenic River,TX,IMR,RIGR,1
