date,park,alert name,description,event type,road name,vehicle impact,event start date,alert_id,region,alpha,State
10/17/2023,Acadia National Park,Expect carriage road construction between intersections 10 and 11,"Watch for heavy equipment and rough surfaces on carriage road between intersections 10 and 11 near Gilmore Meadow through October. Horses and carriages should avoid the area, which may be impassable at times. Bikers will need to dismount and walk.",work-zone,['Carriage Road between intersections 10 and 11'],unknown,2023-09-29T02:48:00Z,2023-10-31T02:48:00Z,NER,ACAD,MA
10/17/2023,Acadia National Park,Blasting and heavy construction at Park Headquarters,"As part of the construction of the park's new maintenance building, the contractor will be blasting granite ledge beginning September 25. Warning whistles and blasting may be heard in the area of park headquarters located on Eagle Lake Road in Bar Harbor.",work-zone,['Acadia Park Headquarters'],some-lanes-closed,2023-09-29T03:41:00Z,2025-09-30T03:41:00Z,NER,ACAD,MA
10/17/2023,Acadia National Park,Carriage road closed to horses between intersections 14 and 21,A section of the historic carriage road system between intersections 14 and 21 is closed to horse use until further notice. Park staff are working to repair the Cliffside Bridge and the large machinery will make it unsafe for horses and riders.,work-zone,['Carriage Road between intersections 14 & 21'],unknown,2023-09-29T02:43:00Z,2023-11-30T03:43:00Z,NER,ACAD,MA
10/23/2023,Acadia National Park,Expect carriage road construction between intersections 10 and 11,"Watch for heavy equipment and rough surfaces on carriage road between intersections 10 and 11 near Gilmore Meadow through October. Horses and carriages should avoid the area, which may be impassable at times. Bikers will need to dismount and walk.",work-zone,['Carriage Road between intersections 10 and 11'],unknown,2023-09-29T02:48:00Z,2023-10-31T02:48:00Z,NER,ACAD,MA
10/23/2023,Acadia National Park,Blasting and heavy construction at Park Headquarters,"As part of the construction of the park's new maintenance building, the contractor will be blasting granite ledge beginning September 25. Warning whistles and blasting may be heard in the area of park headquarters located on Eagle Lake Road in Bar Harbor.",work-zone,['Acadia Park Headquarters'],some-lanes-closed,2023-09-29T03:41:00Z,2025-09-30T03:41:00Z,NER,ACAD,MA
10/23/2023,Acadia National Park,Carriage road closed to horses between intersections 14 and 21,A section of the historic carriage road system between intersections 14 and 21 is closed to horse use until further notice. Park staff are working to repair the Cliffside Bridge and the large machinery will make it unsafe for horses and riders.,work-zone,['Carriage Road between intersections 14 & 21'],unknown,2023-09-29T02:43:00Z,2023-11-30T03:43:00Z,NER,ACAD,MA
11/27/2023,Acadia National Park,Blasting and heavy construction at Park Headquarters,"As part of the construction of the park's new maintenance building, the contractor will be blasting granite ledge beginning September 25. Warning whistles and blasting may be heard in the area of park headquarters located on Eagle Lake Road in Bar Harbor.",work-zone,['Acadia Park Headquarters'],some-lanes-closed,2023-09-29T03:41:00Z,2025-09-30T03:41:00Z,NER,ACAD,MA
8/7/2024,Big Bend National Park,River Road East Washout,Rains have washed out a section of the River Road (east). The washout is located just east of the Glenn Spring Road/River Road Junction. Road is impassable at that point until repairs can be made.  ,incident,['River Road East'],all-lanes-closed,2024-08-05T13:25:00Z,f8207d6f-a0df-4d84-2bff-08d4c7ad36e2,IMR,BIBE,TX
8/7/2024,Big Bend National Park,River Road East Washout,Rains have washed out a section of the River Road (east). The washout is located just east of the Glenn Spring Road/River Road Junction. Road is impassable at that point until repairs can be made.  ,incident,['River Road East'],all-lanes-closed,2024-08-05T13:25:00Z,f8207d6f-a0df-4d84-2bff-08d4c7ad36e2,IMR,BIBE,TX
4/2/2024,Black Canyon of the Gunnison National Park,South Rim Road Construction,"From late March into November 2024, expect delays up to 30 minutes, alternating one-way traffic, and parking lot closures from the park entrance on Hwy 347 to the Visitor Center. Construction will continue on the rest of the road in 2025. ",work-zone,['South Rim Road'],alternating-one-way,2024-03-25T20:49:00Z,d45494ce-5b26-426d-2c07-08d4c7ad36e2,IMR,BLCA,CO
