id,url,title,parkCode,description,category,relatedRoadEvents,lastIndexedDate
A3206816-F751-494A-A8C8-3A2027656038,,"Cochran Shoals - Interstate North Men's Restroom Closed Wednesday, 10/1",chat,"The men's restroom at Cochran Shoals - Interstate North will be closed for repairs on Wednesday, October 1, 2025.",Information,[],2025-09-30 00:00:00.0
89D019BD-F0A7-4DAA-8427-31C7ADCA4D7E,,Trail Closures for Feral Hog Management 09/30,cong,"Weston Lake, Oakridge, River, & Kingsnake Trails will be closed on Tuesday, September 30, from 7:00 AM to 3:00 PM for feral hog management work. Cedar Creek between Bannister Bridge & South Cedar Canoe Landing will also be closed during this time.",Park Closure,[],2025-09-30 00:00:00.0
872E3239-CDB2-4E89-8F57-1C87EC3FC3FE,https://www.nps.gov/grca/northrimstatus.htm,"North Rim Status and Inner Canyon Closures —Tuesday, September 30, 2025",grca,"Follow the link for North Rim status and current closures. ADDITIONAL CLOSURES: South Kaibab Trail below the Tipoff, Phantom Ranch and North Kaibab Trail.",Park Closure,"[{'title': 'North Rim Roads Are Closed by the Dragon Bravo Wildfire', 'id': '872E3239-CDB2-4E89-8F57-1C87EC3FC3FE', 'type': 'roadevent', 'url': 'https://www.nps.gov/grca/planyourvisit/conditions.htm'}]",2025-09-30 00:00:00.0
2CF15EBC-0800-4DF3-8179-B1579B6D4F57,https://www.nps.gov/grca/planyourvisit/key-messages.htm,"Tuesday, September 30, 2025 — Critical Backcountry Updates/Closures",grca,"Visit the link for the inner canyon weather forecast, today's heat risk and drinking water availability. Inner Canyon High 92°F (33°C)",Park Closure,[],2025-09-30 00:00:00.0
3396D6D3-5F44-4532-B48B-42A629991493,https://www.nps.gov/grca/planyourvisit/grand-canyon-national-park-public-health-update.htm,"What's Closed and What's Open on South Rim —Tuesday, September 30, 2025",grca,Visit this link for a list of the available visitor services in Grand Canyon Village and at Desert View. —South Rim High 70°F (21°C) Low 40°F (4°C). Mostly sunny.,Park Closure,[],2025-09-30 00:00:00.0
83FCF166-F81F-4492-A1D1-3013CD2A09D3,https://www.nps.gov/grsm/planyourvisit/conditions.htm,Park Headquarters Road and part of the Gatlinburg Trail closed,grsm,"Park Headquarters Road and a portion of the Gatlinburg Trail are closed through September 2025 due to rehabilitation work on the Sugarlands water and wastewater systems. During this time, 0.6 miles of the Gatlinburg Trail remain open and accessible from the downtown Gatlinburg trailhead. There is no access to the trail from the Sugarlands Visitor Center. The full trail is expected to reopen on October 3.",Park Closure,"[{'title': 'Park Headquarters Road closed', 'id': '83FCF166-F81F-4492-A1D1-3013CD2A09D3', 'type': 'roadevent', 'url': 'https://www.nps.gov/grsm/planyourvisit/conditions.htm'}]",2025-09-30 00:00:00.0
0EBAC395-1B4F-43EE-B58B-DB07DB142E16,https://www.nps.gov/nace/learn/management/public-notice-keaq-parkinglot.htm,"Kenilworth Aquatic Gardens Parking Lot Closed until December 31, 2025",keaq,"Kenilworth Aquatic Gardens main entrance and parking lot will remain closed until December 31, 2025, at 11:59 pm. Visitors may enter through the gate at Anacostia Ave NE and Douglas St NE. Street parking is available.",Park Closure,[],2025-09-30 00:00:00.0
F43C6435-4C08-4DF8-B1DD-C92B68C9E805,,Jenny Lake Lakeshore Trail Reroute,grte,"The Jenny Lake Boat Dock Bridge is under construction, and the trail has been temporarily rerouted. Temporary reroutes will be in place until October 23rd. Maps and directional signage will be posted in the area of the reroute to guide you along the trail during construction. Jenny Lake Boating is closed for the season.",Information,[],2025-09-30 00:00:00.0
DEAA46AB-D403-4881-BA8D-565AF102883E,,Great Falls Entrance Road,choh,"On Tuesday, October 7, the Great Falls Entrance Road (MacArthur Blvd) will be reduced to a single lane.",Information,[],2025-09-30 00:00:00.0
208B93A1-629C-4A62-A0A8-D649CB307015,,Tower of Voices Closure 9/30/2025,flni,"The Tower of Voices is temporarily closed Tuesday, September 30 for maintenance on the access road.",Park Closure,[],2025-09-30 00:00:00.0
