id,url,title,park alpha,description,category,relatedRoadEvents,LastIndexedDate,road_closed_flag,Park Name,Type of Unit,State,Reg,Alpha,Unit
EB67B609-8B75-49BB-9E66-8B1B657E8343,,"Kelabker Road and National Trails Hwy CLOSED between I-40 and Amboy, CA",JOTR,This is outside of Joshua Tree National Park and may affect travelers going to and from Mojave National Preserve or the Las Vegas area.,Information,[],2024-02-28 14:31:49.0,0,Joshua Tree,National Park,CA,PWR,JOTR,1.0
528CA0BF-D5FC-4034-B1F8-CC551E2C3BF5,https://www.nps.gov/chis/planyourvisit/creek-crossings.htm,"Wet Creek Crossing at Canada Del Puerto, Prisoner's Harbor",CHIS,"During winter and spring, visitors need to be prepared for a wet creek crossing at Canada del Puerto in Prisoner's Harbor. Water may be fast moving and over 2 feet deep after heavy rain.",Caution,[],2024-02-28 14:03:45.0,0,Channel Islands,National Park,CA,PWR,CHIS,1.0
E6BCCA5D-24E9-49C2-9F4E-7C16D3BCA3E5,https://forecast.weather.gov/MapClick.php?lat=40.428655600133546&lon=-121.53144836425781#.UtL3-pJORjQ,Changing conditions - Hazardous Weather,LAVO,"Blizzard Warning in effect from February 29, 04:00 AM PST until March 3, 10:00 AM PST. Inclement weather may cause unexpected delays, closures and possibly hazardous road conditions. The visitor center phone line may be unavailable.",Caution,[],2024-02-28 13:30:39.0,1,Lassen Volcanic,National Park,CA,PWR,LAVO,1.0
9AC0D028-37B3-442B-8C14-36AF11EDA4AC,https://www.nps.gov/bibe/advice-for-busy-times.htm,Big Bend Spring = Full Campgrounds,BIBE,"March is the busiest time of the year in Big Bend. Please plan ahead and do NOT travel all the way to Big Bend without camping/lodging arrangements. Be prepared for full parking and busy facilities. Select ""more"" below for further details.",Information,[],2024-02-28 13:01:20.0,0,Big Bend,National Park,TX,IMR,BIBE,1.0
F208C6B1-54EB-48B9-A0CD-C149BE25DF53,https://www.nps.gov/redw/planyourvisit/conditions.htm,Winter Storm Related Closures,REDW,A winter storm starting on Wednesday evening (2/28) has caused the closure of multiple areas of the parks. Please visit the Current Conditions page and scroll down for a list of impacts. https://www.nps.gov/redw/planyourvisit/conditions.htm,Park Closure,"[{'title': 'Coastal Drive Closed', 'id': 'F208C6B1-54EB-48B9-A0CD-C149BE25DF53', 'type': 'roadevent', 'url': 'https://www.nps.gov/redw/planyourvisit/conditions.htm'}]",2024-02-28 12:35:02.0,0,Redwood,National and State Parks,CA,PWR,REDW,1.0
D6F1CD66-5C34-470A-A4D7-D6E02EE5AD16,,Modified Visitor Center Hours 2/29/24,WUPA,The Wupatki Visitor Center will be closed on Thursday 2/29/24. All trails remain open sunrise to sunset. Thank you for helping us protect park resources as you visit.,Park Closure,[],2024-02-28 12:28:56.0,0,Wupatki,National Monument,AZ,IMR,WUPA,1.0
CC1DD7A2-5084-402D-9A60-EF639FDF40B1,,Modified Visitor Center Hours on 2/29/24,SUCR,The Sunset Crater Volcano Visitor Center will be closed on Thursday 2/29/24. All roads and trails remain open. Thank you for helping us protect park resources as you visit.,Park Closure,[],2024-02-28 12:24:30.0,1,Sunset Crater Volcano,National Monument,AZ,IMR,SUCR,1.0
1476CB4E-11D8-4AA5-B553-31C5B3EF6A89,https://www.nps.gov/moja/road-conditions.htm,Roads outside of Mojave National Preserve,MOJA,"Some roads leading to Mojave National Preserve that are maintained by the county or state may be under construction or impassable. Before heading to the preserve, it is a good idea to check the webpages of those entities for trip planning.",Information,[],2024-02-28 12:23:06.0,1,Mojave,National Preserve,CA,PWR,MOJA,1.0
417428C6-A5CF-4A0A-A2E2-90F5A020AE35,,Early Closure 2/28/2024,WORI,"Due to inclement weather conditions and travel hazards, Women's Rights National Historical Park Visitor Center and the Wesleyan Chapel will close at 12:30PM, Wednesday, February 28.",Park Closure,[],2024-02-28 12:17:48.0,0,Women's Rights,National Historical Park,NY,NER,WORI,1.0
23694D03-8D63-4537-AECC-A3D1DA7EC3DE,,"Information Center and Park Store- Delayed Opening at 1:00 pm on Thursday, Feb. 29",PETR,"The Information Center and Park Store will be closed 8:30 am to 1:00 pm on Thursday, February 29, 2024. All trails will be open for petroglyph viewing. View Plan Your Visit then Things To Do for trail descriptions and trail head locations. Use the NPS App",Park Closure,[],2024-02-28 12:07:14.0,0,Petroglyph,National Monument,NM,IMR,PETR,1.0
