id,url,title,park alpha,description,category,relatedRoadEvents,LastIndexedDate,Park Name,Park Full Name,Type of Unit,State,Reg,Alpha,Unit,Road Closed Flag,date
344F358B-D8D8-473E-B264-7C960F9B0309,,Tree Mold Road Closure,HAVO,The loop at Tree Molds Road will be closed on both April 19th and partially on April 20th during our standard work hours from 7:00 AM to 4:30 PM. This closure includes pedestrian and vehicle access.,Park Closure,[],2024-04-19 14:08:38.0,Hawaii Volcanoes,Hawai'i Volcanoes National Park,National Park,HI,PWR,HAVO,1.0,Yes,2024-04-19
2592C166-8B23-4036-B6DF-9C965B9CE506,https://www.nps.gov/crmo/planyourvisit/conditions.htm#onthisPage-1,"Loop Road, Campground, and Trails Closed to All Vehicle and Foot Traffic April 15-19, 22",CRMO,"The Loop Road, Lava Flow Campground, and all hiking trails are closed to all vehicle and foot traffic for safety reasons while road maintenance takes place. End date is subject to change. This message will be updated as conditions change.",Park Closure,[],2024-04-19 14:01:48.0,Craters Of The Moon,Craters of the Moon National Monument and Preserve,National Monument & Preserve,ID,PWR,CRMO,2.0,Yes,2024-04-19
F9AC6955-9CCA-49D5-B6FA-E5DE14D363FF,https://www.nps.gov/oxhi/learn/management/oxon-cove-hiker-biker-trail-closure.htm,Oxon Cove Trail Closed,OXHI,"The Oxon Cove Trail will be closed from April 22nd, 2-24 through September 3rd, 2024.",Park Closure,[],2024-04-19 13:30:53.0,,,,,,,,No,2024-04-19
436C6B65-B6B0-4F6B-AF8C-6F4F677BD40F,https://www.nps.gov/sacn/learn/news/2024-04-11-prescribedfires.htm,National Park Service to Conduct Prescribed Fires,SACN,"NPS plans to start conducting prescribed fires this weekend throughout the park. To ensure safety, please watch for signs and follow staff instructions.",Caution,[],2024-04-19 12:46:24.0,Saint Croix,Saint Croix National Scenic Riverway,National Scenic Riverway,WI,MWR,SACN,1.0,No,2024-04-19
C275D180-3CDE-4FF8-AD95-3D03DCF13952,https://www.facebook.com/photo/?fbid=825877766235998&set=a.225670012923446,Turkey Hunting Active: 4/15 - 5/5/2024,OZAR,"The spring turkey firearm season is now active in Ozark National Scenic Riverways. Hunters are reminded to follow all state/park regulations, and other visitors should wear bright clothes if hiking in remote areas.",Caution,[],2024-04-19 11:48:44.0,Ozark,Ozark National Scenic Riverways,National Scenic Riverways,MO,MWR,OZAR,1.0,No,2024-04-19
02F159B1-8154-4A20-B6A7-93013C3B1BBB,,Campground Reservation Window Changed for 2024,OZAR,Reservable sites are now only available by reservation. Reservations must be made through recreation.gov (online or by calling). Visitors should not occupy these sites without a prior reservation.,Information,[],2024-04-19 11:37:22.0,Ozark,Ozark National Scenic Riverways,National Scenic Riverways,MO,MWR,OZAR,1.0,No,2024-04-19
DFBD4523-DC99-43F8-A8DF-C17F470F7498,https://www.nps.gov/bicy/learn/news/big-cypress-national-preserve-issues-temporary-area-closure-for-interceptor-prescribed-fire-april-21-2024.htm,Big Cypress National Preserve Issues Temporary Area Closure for Interceptor Prescribed Fire,BICY,"Big Cypress National Preserve has issued a temporary closure during prescribed fire activity beginning Sunday, April, 21, 2024. To learn more about what areas and activities the closure entails, click the link!",Park Closure,[],2024-04-19 11:23:21.0,Big Cypress,Big Cypress National Preserve,National Preserve,FL,SER,BICY,1.0,No,2024-04-19
074FD5EB-0414-4023-9246-F305A9E378E1,https://www.nps.gov/ozar/learn/news/pulltite-cabin-closed-for-urgent-repairs-following-storm-damage.htm,Closure of Pulltite Cabin: Effective 07/19/23 until further notice,OZAR,"Around the Pulltite Cabin, a 100’ perimeter extending in all directions has been closed to the public. Closure of the area is deemed necessary as a large tree has fallen on the structure, causing damage.",Caution,[],2024-04-19 11:05:29.0,Ozark,Ozark National Scenic Riverways,National Scenic Riverways,MO,MWR,OZAR,1.0,No,2024-04-19
A470EC64-2664-41F6-81DA-3687870ACD17,https://www.nps.gov/yell/planyourvisit/parkroads.htm,Select Roads Open to Regular Vehicles,YELL,"West Entrance to Old Faithful, Mammoth Hot Springs to Old Faithful, and Norris Junction to Canyon Village are open for the summer season. Additional park roads will open throughout May, weather permitting.",Information,[],2024-04-19 10:58:31.0,Yellowstone,Yellowstone National Park,National Park,"ID,MT,WY",IMR,YELL,1.0,Yes,2024-04-19
164C0C83-61C6-4485-9437-0C01892B5E97,,Volcano Road Closure April 22-April 25 May 8 May 15 or 16,CAVO,"Volcano Road will be closed for construction April 22 through April 25, and short closures May 8, and May 15 or 16. The Visitor Center, Park Film, Museum, Boca and Lava Flow trails, and Bookstore will all be open.",Park Closure,[],2024-04-19 10:45:14.0,Capulin Volcano,Capulin Volcano National Monument,National Monument,NM,IMR,CAVO,1.0,Yes,2024-04-19
