Park Alpha,Status,park alpha,park,State,region,title,description,category,relatedRoadEvents,date,Park Name,Park Full Name,Type of Unit,Reg,Column Labels
ORPI,Using TDx feed and alerts,ORPI,Organ Pipe Cactus National Monument,AZ,IMR,"['West and East Border Roads closed for public safety', 'Gachado Line Camp open. Southeast border road and access roads closed', 'Pozo Nuevo Road to Bates Well Ranch High Clearance, 4-Wheel Drive Only']","['The border roads remain closed (the dirt roads directly along the border and all crossover roads leading from South Puerto Blanco Drive to the border) to all public vehicle and pedestrian traffic for public safety. South Puerto Blanco Drive remains open.', 'El Camino De Dos Republicas remains open from SR85 to Gachado Line Camp. Dos Lomitas is not accessible. The southeast border road from Lukeville Port of Entry eastward to the Santa Rosa Mountains is closed to public vehicle and pedestrian traffic.', 'High Clearance, 4-wheel drive is required from where Pozo Nuevo Road begins along South Puerto Blanch Drive to Bates Well Ranch area. The road is washed out in areas. Bates Well Ranch is still accessible from the north on Darby Well Road.']","['Park Closure', 'Park Closure', 'Caution']","[[], [{'title': 'Gachado to Dos Lomitas Closure', 'id': '26FB2023-E141-4E46-A913-0E0996048633', 'type': 'roadevent', 'url': 'https://www.nps.gov/orpi/planyourvisit/conditions.htm'}], []]",2024-11-13,,,,,
BUFF,Using TDx feed and alerts,BUFF,Buffalo National River,AR,MWR,"['Road Updates Due to Heavy Rains and Flooding', 'South Woolum Road Closed, Alternate Route Available', 'Parking is not permitted on the Kyles Landing Road (County Road 56)', 'Spring Creek Landing Closed to Vehicle-Assisted Launches']","['Due to recent flooding and heavy rain the Spring Creek Road is closed at the park boundary. The road system in the Erbie Historic District and surrounding area sustained significant damage too and is only passable with a 4x4, high clearance vehicle.', 'In the interest of safety, the South Woolum Road has been closed. The Woolum launch and campground remain open.', 'Parking will no longer be permitted on the road to allow space for emergency vehicles to safely enter the park. There will be ‘No Parking’ signs placed along the Kyles Landing Road, also known as County Road 56.', 'The Spring Creek Landing has been closed to vehicle-assisted launches. Watercraft may still be put in and take out at this point, but must be hand carried to and from the parking area. This is to ensure the safety of visitors and avoid continued erosion.']","['Caution', 'Park Closure', 'Information', 'Information']","[[], [{'title': 'South Woolum Road Closure', 'id': '83A17F44-C295-4B5D-82F4-C770BDB1CD1A', 'type': 'roadevent', 'url': 'https://www.nps.gov/buff/planyourvisit/conditions.htm'}], [], []]",2024-11-13,,,,,
OZAR,Using TDx feed and alerts,OZAR,Ozark National Scenic Riverways,MO,MWR,['River Ferry at Akers (on State Highway K) CLOSED until further notice'],['The Akers Ferry on State Highway K will not be in service until further notice.'],['Caution'],"[[{'title': 'Akers Ferry Closure', 'id': 'B6DEFC30-C21C-4E29-A626-5FFCEA446EA8', 'type': 'roadevent', 'url': 'https://www.nps.gov/ozar/planyourvisit/conditions.htm'}]]",2024-11-13,,,,,
CRLA,Using TDx feed and alerts,CRLA,Crater Lake National Park,OR,PWR,"['ALL ROADS CLOSED Due to Snowstorm', 'North Entrance Road and Rim Drive are CLOSED for the season.']","['Due to the latest winter storm and equipment challenges, ALL park roads are temporarily CLOSED to travel while the snowplow operators work to repair equipment and clear the roads.', 'Due to incoming snowstorms, the North Entrance Road and East & West Rim Drives are now closed for the season a few days ahead of the annual November 1st closure. The roads will not open again until mid to late June or July 2025. All other roads are open.']","['Park Closure', 'Park Closure']","[[{'title': 'All Park Roads CLOSED', 'id': 'F3C368C5-357C-4300-B7E4-84AEDD53FF0D', 'type': 'roadevent', 'url': 'https://www.nps.gov/crla/planyourvisit/conditions.htm'}], [{'title': 'Seasonal Closure of North Entrance Road and Rim Drive', 'id': '60D26BCB-B47D-4B38-8562-EF54ACF41B59', 'type': 'roadevent', 'url': 'https://www.nps.gov/crla/planyourvisit/conditions.htm'}]]",2024-11-13,,,,,
GRSM,Using TDx feed and alerts,GRSM,Great Smoky Mountains National Park,"TN,NC",SER,"['US 441/Newfound Gap Road is closed for high wind warning', 'Some park roads are closed for the season', 'Balsam Mountain, Cataloochee, and Big Creek areas closed', 'Several park trails are temporarily closed', 'US 441/Newfound Gap Road is open', 'Most visitors need a parking tag']","[""Due to forecasted high winds, US 441/Newfound Gap Road closed at 2 p.m. on Nov. 13. The website and the park's X account will be updated when it reopens."", 'Parson Branch and Rich Mountain roads are closed for the season.', 'While park staff address damage after Hurricane Helene, Balsam Mountain, Cataloochee, and Big Creek areas, campgrounds, and roads remain closed.', 'For closure information and details on other trail cautions, please check the ""Trail and Backcountry Closures, Warnings & Cautions"" section of the Current Road, Facility, Trail & Backcountry Updates page.', 'US 441/Newfound Gap Road is open to non-commercial vehicles. As always, commercial vehicles are prohibited on US 441/Newfound Gap Road.', 'All vehicles parking for longer than 15 minutes require a parking tag. Three tag durations are available for purchase for all vehicle sizes and types: Daily ($5), Weekly ($15), or Annual ($40).']","['Park Closure', 'Park Closure', 'Park Closure', 'Park Closure', 'Information', 'Information']","[[{'title': 'US 441/Newfound Gap Road is closed for high wind warning', 'id': 'AF24BDC5-960C-42DB-A259-FA2245ABDF2A', 'type': 'roadevent', 'url': 'https://www.nps.gov/grsm/planyourvisit/conditions.htm'}], [{'title': 'Some park roads are closed for the season', 'id': '59FE3FF5-72D8-4A65-81E6-E6F9D859A721', 'type': 'roadevent', 'url': 'https://www.nps.gov/grsm/planyourvisit/conditions.htm'}], [{'title': 'Balsam Mountain, Cataloochee, and Big Creek areas closed', 'id': '6F2E112E-F026-4429-9548-1DA9B81CE784', 'type': 'roadevent', 'url': 'https://www.nps.gov/grsm/planyourvisit/conditions.htm'}], [], [], []]",2024-11-13,,,,,
SHEN,Using TDx feed and alerts,SHEN,Shenandoah National Park,VA,NER,"['Red Gate Fire Road', 'Tanners Ridge Fire Road']","['Closed to vehicular traffic.', 'Closed to vehicular traffic.']","['Information', 'Information']","[[{'title': 'Red Gate Fire Road', 'id': 'B7AF53DA-FA44-4743-B579-FF81CB68EE33', 'type': 'roadevent', 'url': 'https://www.nps.gov/shen/planyourvisit/conditions.htm'}], [{'title': 'Tanners Ridge Fire Road', 'id': 'C509E46A-FE91-4AE4-9D13-9ECFEFC2F89D', 'type': 'roadevent', 'url': 'https://www.nps.gov/shen/planyourvisit/conditions.htm'}]]",2024-11-13,,,,,
YOSE,Using TDx feed and alerts,YOSE,Yosemite National Park,CA,PWR,['Tioga Road (Hwy 120 through the park) and Glacier Point Road are temporarily closed'],"['Tioga Road (continuation of Highway 120 through the park) and Glacier Point Road are temporarily closed due to snow. Call 209/372-0200 (then 1, 1) for updates.']",['Park Closure'],"[[{'title': 'Tioga Road and Glacier Point Road Temporary Closure', 'id': 'FB64E2E0-9870-44DF-B6B4-6053CA46D17C', 'type': 'roadevent', 'url': 'https://www.nps.gov/yose/planyourvisit/conditions.htm'}]]",2024-11-13,,,,,
SLBE,Using TDx feed and alerts,SLBE,Sleeping Bear Dunes National Lakeshore,MI,MWR,"['Pierce Stocking Scenic Drive Winter & Spring Vehicle Road Closure', 'CR675 Culvert Replacement']","['This road is closed to vehicles. It remains open to foot traffic. The seasonal reopening date is determined by the amount of sand, hazard trees, and debris that will need to be cleaned up or moved after winter storms. This is typically in mid-May.', 'Replacement of culvert on County Road 675 has started. Location of replacement is 0.25 miles West of S Westman Rd. S Dunns Farm Rd traffic will be rerouted. Kayakers, plan to paddle back upstream if launching at Fisher Road or put in North of CR 675.']","['Information', 'Information']","[[{'title': 'Pierce Stocking Seasonal Road Closure', 'id': '3B1D9BF0-A6F5-49FA-82CD-9534FED70F90', 'type': 'roadevent', 'url': 'https://www.nps.gov/slbe/planyourvisit/conditions.htm'}], [{'title': 'County Road 675 Culvert Replacement', 'id': 'A90AAAF0-13D6-47FF-86A8-269EB4929DEA', 'type': 'roadevent', 'url': 'https://www.nps.gov/slbe/planyourvisit/conditions.htm'}]]",2024-11-13,,,,,
GUMO,Using TDx feed and alerts,GUMO,Guadalupe Mountains National Park,TX,IMR,"['Williams Ranch Road Closed', ""Devil's Hall is a Strenuous Hike""]","['The Williams Ranch Road is currently impassable and closed to public access due to unsafe conditions.', ""The hike to Devil's Hall is rated as strenuous. The portion of the route in the wash requires rock scrambling and is dangerous when wet or if water is present. The wash surface is loose gravel and rocks and may be unstable.""]","['Information', 'Caution']","[[{'title': 'Williams Ranch Road Closure', 'id': 'E22F9CF8-0208-4993-A8B3-C3E25406C972', 'type': 'roadevent', 'url': 'https://www.nps.gov/gumo/planyourvisit/conditions.htm'}], []]",2024-11-13,,,,,
ACAD,Using TDx feed and alerts,ACAD,Acadia National Park,ME,NER,['Village Connector Trails from Great Meadow Loop to Great Meadow Drive'],"['Village connector trails outside the park, along Cromwell Harbor Road from Great Meadow Loop to Great Meadow Drive, are closed to improve safety and accessibility. Hikers can walk along the roadway to access trails into the Sieur de Monts area.']",['Information'],[[]],2024-11-13,,,,,
