id,url,title,parkCode,description,category,relatedRoadEvents,lastIndexedDate
83FCF166-F81F-4492-A1D1-3013CD2A09D3,https://www.nps.gov/grsm/planyourvisit/conditions.htm,Park Headquarters Road and part of the Gatlinburg Trail closed,grsm,"Park Headquarters Road and a portion of the Gatlinburg Trail are closed through September 2025 due to rehabilitation work on the Sugarlands water and wastewater systems. During this time, 0.6 miles of the Gatlinburg Trail remain open and accessible from the downtown Gatlinburg trailhead. There is no access to the trail from the Sugarlands Visitor Center. The full trail is expected to reopen on October 3.",Park Closure,"[{'title': 'Park Headquarters Road closed', 'id': '83FCF166-F81F-4492-A1D1-3013CD2A09D3', 'type': 'roadevent', 'url': 'https://www.nps.gov/grsm/planyourvisit/conditions.htm'}]",2025-09-30 00:00:00.0
0EBAC395-1B4F-43EE-B58B-DB07DB142E16,https://www.nps.gov/nace/learn/management/public-notice-keaq-parkinglot.htm,"Kenilworth Aquatic Gardens Parking Lot Closed until December 31, 2025",keaq,"Kenilworth Aquatic Gardens main entrance and parking lot will remain closed until December 31, 2025, at 11:59 pm. Visitors may enter through the gate at Anacostia Ave NE and Douglas St NE. Street parking is available.",Park Closure,[],2025-09-30 00:00:00.0
DEAA46AB-D403-4881-BA8D-565AF102883E,,Great Falls Entrance Road,choh,"On Tuesday, October 7, the Great Falls Entrance Road (MacArthur Blvd) will be reduced to a single lane.",Information,[],2025-09-30 00:00:00.0
208B93A1-629C-4A62-A0A8-D649CB307015,,Tower of Voices Closure 9/30/2025,flni,"The Tower of Voices is temporarily closed Tuesday, September 30 for maintenance on the access road.",Park Closure,[],2025-09-30 00:00:00.0
F29E4B87-4595-4B1F-9318-641FCDDDBCE9,,Wheeler Peak Scenic Drive Closed at Mather Overlook (6mi),grba,The Wheeler Peak Scenic Drive is Closed at Mather Overlook for seasonal winter closure as of 09/30/2025.,Park Closure,[],2025-09-30 00:00:00.0
9D047BC4-DC86-4A9D-AF1E-8299D40C6A71,https://www.nps.gov/noca/planyourvisit/road-conditions.htm,Cascade River Road Seasonal Closure,noca,Cascade River Road is closed at milepost 20 (Eldorado parking lot) three miles before the trailhead. Cascade River Road usually opens in mid-summer depending on snow and road damage. Foot and bicycle traffic is permitted beyond the gate.,Park Closure,[],2025-09-30 00:00:00.0
17B42D3F-84E4-4B78-900F-670C9D625658,,Sept. 29-Oct. 3 approved Uncrewed Aircraft System (drone) use,slbe,"Research under approved permit entitled ""Mapping dune erosion and sand transport at Sleeping Bear Dunes National Lakeshore"" will be conducted via Uncrewed Aircraft System (drone) that will be flown at the following locations: Dune Climb, Pierce Stocking Scenic Drive Overlook #9, Pyramid Point, Empire Bluff trail (boardwalk and bluff edge area).",Information,[],2025-09-29 00:00:00.0
36736D3B-B300-4DD0-B546-67C6374A7E1B,,Beach safety closure in place in northern Rodanthe,caha,"Due to the presence of threatened oceanfront structures, the beach in the village of Rodanthe, from East Point Drive south for approximately 0.15 miles to Surfside Drive, is closed.",Park Closure,[],2025-09-29 00:00:00.0
98CB65BD-C200-47D3-A9FD-B3B452B9DC5D,https://www.nps.gov/grsa/planyourvisit/medano-pass-road.htm,Medano Pass Primitive Road Impassible to Most Vehicles at Crossing Two,grsa,Erosion and deep mud near the second creek crossing are making the road impassible to most vehicles. Park road crews are repairing this section. Please check the park website here for updates before your trip.,Caution,[],2025-09-29 00:00:00.0
58E30F52-2D8A-44AE-902D-651FA61A04F4,,"Parking Closure of Fort Mason Bay Street Lot Starting October 6, 2025",goga,"Bay Street Parking Lot at upper Fort Mason will close to vehicles on October 6. Lot will be closed Fall 2025 through Fall 2026. Lot will be fenced and used as a staging area for utilities project occurring at Fort Mason. Do not park in lot after midnight on October 5, 2025. Vehicles will be towed at owner's expense.",Park Closure,"[{'title': 'Parking Closure of Fort Mason Bay Street Lot Starting October 6, 2025', 'id': '58E30F52-2D8A-44AE-902D-651FA61A04F4', 'type': 'roadevent', 'url': 'https://www.nps.gov/goga/planyourvisit/conditions.htm'}]",2025-09-29 00:00:00.0
